Date Reported,Holder,Percentage Held,Shares,Value
9/30/2023,Vanguard Group Inc,0.875,140054820,14400436592
9/30/2023,Blackrock Inc.,0.76,121643071,12507340560
9/30/2023,State Street Corporation,0.40099999999999997,64162483,6597186502
9/30/2023,"FMR, LLC",0.257,41078610,4223702680
9/30/2023,JP Morgan Chase & Company,0.224,35809867,3681970524
9/30/2023,"Geode Capital Management, LLC",0.194,31103595,3198071637
9/30/2023,"Fisher Asset Management, LLC",0.174,27768188,2855125090
9/30/2023,Jennison Associates LLC,0.159,25395283,2611142998
9/30/2023,Price (T.Rowe) Associates Inc,0.15700001000000002,25122292,2583074063
9/30/2023,Morgan Stanley,0.152,24351551,2503826473
