Date Reported,Holder,Percentage Held,Shares,Value
9/30/2023,Vanguard Total Stock Market Index Fund,0.31400003000000004,50297051,5171542783
9/30/2023,Vanguard 500 Index Fund,0.24300002,38823600,3991842552
11/30/2023,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",0.17600000000000002,28082356,3402458252
11/30/2023,Fidelity 500 Index Fund,0.117999995,18827105,2281092041
11/30/2023,SPDR S&P 500 ETF Trust,0.11499999999999999,18324826,2220235918
11/30/2023,iShares Core S&P 500 ETF,0.1,15923046,1929236253
9/30/2023,Vanguard Growth Index Fund,0.08800000000000001,14021976,1441739572
9/30/2023,Vanguard Institutional Index Fund-Institutional Index Fund,0.06799999999999999,10841050,1114676761
11/30/2023,Select Sector SPDR Fund-Technology,0.062,9929802,1203094810
8/31/2023,Vanguard Information Technology Index Fund,0.056,9027337,954370067
