date,low,high,mean,median,current
11/24/2024,146.0,250.0,185.02637,184.5,138.35
11/26/2024,146.0,250.0,185.14,184.5,141.13
11/27/2024,146.0,250.0,185.14,184.5,136.24
11/29/2024,146.0,250.0,185.14,184.5,136.24
11/30/2024,146.0,250.0,185.14,184.5,137.175
12/3/2024,146.0,250.0,185.02637,184.5,141.98
12/4/2024,146.0,250.0,185.02637,184.5,143.99
12/5/2024,146.0,250.0,184.91273,182.0,141.36
12/9/2024,146.0,250.0,184.34454,182.0,130.87
12/10/2024,146.0,250.0,184.34454,182.0,127.74
12/11/2024,146.0,250.0,184.34454,182.0,130.15
12/12/2024,146.0,250.0,184.34454,182.0,130.6
12/13/2024,146.0,250.0,184.34454,182.0,126.91
