Reported Date,Firm,FromGrade,ToGrade,Outlook
2/7/2012,Longbow Research,Buy,Hold,up
3/15/2012,Jefferies,Hold,Buy,up
4/17/2012,Sterne Agee,,Buy,main
4/20/2012,Deutsche Bank,,Hold,main
4/20/2012,Citigroup,,Buy,main
4/20/2012,JP Morgan,,Neutral,main
4/20/2012,Wedbush,,Outperform,main
4/20/2012,FBR Capital,,Outperform,main
4/20/2012,Williams Capital,,Buy,main
6/27/2012,Citigroup,,Buy,main
7/5/2012,Sterne Agee,,Neutral,down
7/10/2012,Citigroup,,Buy,main
7/10/2012,FBR Capital,,Outperform,main
7/10/2012,Williams Capital,,Buy,main
7/10/2012,Goldman Sachs,,Sell,main
7/10/2012,Citigroup,,Buy,main
7/10/2012,JP Morgan,,Neutral,main
7/10/2012,Jefferies,,Buy,main
7/10/2012,Canaccord Genuity,,Buy,main
7/10/2012,UBS,,Buy,main
7/20/2012,Deutsche Bank,,Hold,main
7/20/2012,Jefferies,,Buy,main
7/20/2012,Canaccord Genuity,Buy,Hold,down
7/20/2012,Wedbush,Outperform,Neutral,down
7/20/2012,Citigroup,,Buy,main
7/20/2012,UBS,,Buy,main
8/27/2012,Sterne Agee,,Neutral,main
9/5/2012,UBS,Buy,Neutral,down
9/10/2012,Goldman Sachs,Sell,Neutral,up
9/13/2012,Citigroup,Buy,Neutral,down
9/18/2012,Wedbush,,Neutral,main
9/25/2012,FBR Capital,,Outperform,main
10/4/2012,MKM Partners,Sell,Neutral,up
10/10/2012,Barclays,,Equal-Weight,main
10/12/2012,Jefferies,,Buy,main
10/12/2012,Wedbush,,Neutral,main
10/12/2012,Goldman Sachs,,Neutral,main
10/12/2012,Citigroup,,Neutral,main
10/12/2012,Sterne Agee,,Neutral,main
10/12/2012,Nomura,,Neutral,main
10/12/2012,FBR Capital,,Outperform,main
10/12/2012,Williams Capital,,Buy,main
10/12/2012,Barclays,,Equal-Weight,main
10/12/2012,UBS,,Neutral,main
10/19/2012,FBR Capital,Outperform,Market Perform,down
1/3/2013,Barclays,Equal-Weight,Underweight,down
1/23/2013,Maxim Group,,Market Perform,main
3/18/2013,Macquarie,Underperform,Outperform,up
5/2/2013,Macquarie,Outperform,Neutral,down
5/16/2013,Goldman Sachs,Neutral,Sell,down
6/24/2013,FBR Capital,Market Perform,Outperform,up
7/11/2013,B of A Securities,Underperform,Buy,up
7/11/2013,Canaccord Genuity,Hold,Buy,up
7/19/2013,Credit Suisse,Neutral,Underperform,down
7/19/2013,Morgan Stanley,Equal-Weight,Underweight,down
10/14/2013,Wedbush,Neutral,Outperform,up
10/18/2013,Citigroup,,Neutral,main
10/18/2013,B of A Securities,Buy,Neutral,down
10/22/2013,Bernstein,Market Perform,Underperform,down
11/14/2013,Citigroup,,Neutral,main
12/16/2013,Oppenheimer,Perform,Underperform,down
3/11/2014,Ascendiant Capital,,Buy,init
4/21/2014,FBR Capital,,Outperform,main
6/9/2014,Imperial Capital,,Outperform,init
6/23/2014,Pacific Crest,Sector Perform,Underperform,down
7/18/2014,FBR Capital,Outperform,Market Perform,down
7/18/2014,B of A Securities,Neutral,Underperform,down
7/19/2014,Deutsche Bank,,Hold,main
10/9/2014,Wedbush,Outperform,Neutral,down
10/10/2014,Imperial Capital,,Outperform,main
10/14/2014,Citigroup,,Buy,main
10/17/2014,Pacific Crest,Underperform,Sector Perform,up
10/17/2014,Jefferies,,Buy,main
10/17/2014,Canaccord Genuity,Buy,Hold,down
1/21/2015,Nomura,,Neutral,main
2/23/2015,Exane BNP Paribas,,Underperform,init
3/25/2015,UBS,Neutral,Sell,down
4/17/2015,Ascendiant Capital,Buy,Hold,down
5/7/2015,Canaccord Genuity,,Hold,main
6/9/2015,Northland Capital Markets,,Outperform,init
7/15/2015,Mizuho,,Neutral,init
7/17/2015,Mizuho,,Neutral,main
9/11/2015,Bernstein,Underperform,Market Perform,up
3/21/2016,UBS,,Sell,main
4/7/2016,Craig-Hallum,,Hold,init
4/22/2016,MKM Partners,Neutral,Buy,up
4/22/2016,Exane BNP Paribas,Underperform,Neutral,up
4/22/2016,Morgan Stanley,,Underweight,main
4/22/2016,Credit Suisse,,Underperform,main
4/22/2016,Jefferies,,Buy,main
4/22/2016,Canaccord Genuity,,Hold,main
4/22/2016,Craig-Hallum,Hold,Buy,up
4/22/2016,Macquarie,,Neutral,main
6/16/2016,Canaccord Genuity,Hold,,up
7/8/2016,Bernstein,,Underperform,down
7/22/2016,Credit Suisse,,Underperform,main
9/14/2016,Deutsche Bank,,Hold,main
9/20/2016,Bernstein,Underperform,Market Perform,up
9/20/2016,Susquehanna,,Neutral,init
10/12/2016,Credit Suisse,Underperform,Neutral,up
10/17/2016,Oppenheimer,Underweight,Perform,up
11/22/2016,MKM Partners,,Buy,main
12/6/2016,Loop Capital,,Buy,init
12/8/2016,B of A Securities,Underperform,Buy,up
12/12/2016,BMO Capital,Market Perform,Outperform,up
12/15/2016,Morgan Stanley,Underweight,Equal-Weight,up
12/20/2016,Mizuho,Neutral,Buy,up
3/31/2017,Macquarie,,Neutral,init
4/6/2017,Goldman Sachs,,Sell,init
5/2/2017,Macquarie,Neutral,Underperform,down
5/17/2017,Loop Capital,Buy,Hold,down
6/9/2017,Longbow Research,,Neutral,init
7/26/2017,BMO Capital,Outperform,Market Perform,down
7/26/2017,Baird,,Outperform,init
10/4/2017,Barclays,,Underweight,main
10/25/2017,Loop Capital,,Hold,main
10/25/2017,Credit Suisse,,Neutral,main
10/30/2017,Morgan Stanley,Equal-Weight,Underweight,down
12/18/2017,Macquarie,Underperform,Neutral,up
1/31/2018,Credit Suisse,Neutral,Neutral,main
2/1/2018,Argus Research,Hold,Buy,up
3/26/2018,Susquehanna,Neutral,Negative,down
4/5/2018,Stifel,Hold,Buy,up
4/5/2018,UBS,,Neutral,init
4/19/2018,Barclays,Underweight,Underweight,main
4/26/2018,Stifel,Buy,Buy,main
4/26/2018,JP Morgan,Neutral,Neutral,main
5/16/2018,Susquehanna,Negative,Neutral,up
5/17/2018,Cowen & Co.,,Outperform,init
6/1/2018,Stifel,Buy,Buy,main
