Date Reported,Holder,Percentage Held,Shares,Value
3/31/2024,GQG Partners LLC,0.10199999,10682133,1335159803
3/31/2024,"FMR, LLC",0.036000002,3819531,477403179
3/31/2024,Schroder Investment Management Group,0.031,3245019,405594924
3/31/2024,Citadel Advisors Llc,0.023999999,2528962,316094960
3/31/2024,"Shaw D.E. & Co., Inc.",0.023,2379839,297456076
3/31/2024,Blackrock Inc.,0.02,2091354,261398336
3/31/2024,Goldman Sachs Group Inc,0.02,2087121,260869253
3/31/2024,Alphabet Inc.,0.019,1960784,245078392
3/31/2024,Nvidia Corp,0.019,1960784,245078392
3/31/2024,Mubadala Investment Co PJSC,0.014,1501960,187729980
