date,low,high,mean,median,current
12/3/2024,66.0,200.0,144.10606,159.0,141.06
12/4/2024,66.0,200.0,144.10606,159.0,141.3
12/5/2024,66.0,200.0,144.10606,159.0,137.95
12/9/2024,66.0,200.0,144.10606,159.0,139.64
12/10/2024,66.0,200.0,144.10606,159.0,137.29
12/11/2024,66.0,200.0,144.10606,159.0,143.16
12/12/2024,66.0,200.0,144.10606,159.0,148.0
12/13/2024,66.0,200.0,144.10606,159.0,151.91
12/16/2024,66.0,200.0,144.10606,159.0,145.0
12/17/2024,66.0,200.0,144.10606,159.0,142.8
12/18/2024,66.0,200.0,144.56061,160.0,136.56
12/19/2024,66.0,200.0,144.56061,160.0,132.1
