Reported Date,Firm,FromGrade,ToGrade,Outlook
9/15/2023,Needham,,Hold,init
9/18/2023,Bernstein,,Underperform,init
9/19/2023,Redburn Atlantic,,Neutral,init
9/28/2023,Susquehanna,,Neutral,init
10/9/2023,Goldman Sachs,,Buy,init
10/9/2023,Citigroup,,Buy,init
10/9/2023,Barclays,,Overweight,init
10/9/2023,BMO Capital,,Market Perform,init
10/9/2023,JP Morgan,,Overweight,init
10/9/2023,Deutsche Bank,,Buy,init
10/9/2023,Jefferies,,Buy,init
10/9/2023,TD Cowen,,Outperform,init
10/9/2023,Guggenheim,,Buy,init
10/9/2023,Mizuho,,Buy,init
10/9/2023,B of A Securities,,Buy,init
10/9/2023,Wolfe Research,,Peer Perform,init
10/9/2023,Rosenblatt,,Buy,init
10/9/2023,Loop Capital,,Buy,init
10/10/2023,Daiwa Capital,,Buy,init
10/18/2023,Keybanc,,Overweight,init
11/10/2023,Morgan Stanley,,Equal-Weight,init
11/20/2023,Wells Fargo,,Overweight,init
12/18/2023,Deutsche Bank,Buy,Hold,down
12/26/2023,Rosenblatt,Buy,Buy,main
1/5/2024,Mizuho,Buy,Buy,main
1/16/2024,Keybanc,Overweight,Overweight,main
2/8/2024,Keybanc,Overweight,Overweight,main
2/8/2024,JP Morgan,Overweight,Overweight,main
2/8/2024,Susquehanna,Neutral,Neutral,main
2/8/2024,Mizuho,Buy,Buy,main
2/8/2024,Barclays,Overweight,Overweight,main
2/9/2024,Goldman Sachs,Buy,Buy,main
2/16/2024,Daiwa Capital,Buy,Neutral,down
2/26/2024,Rosenblatt,Buy,Buy,main
2/27/2024,New Street Research,Buy,Neutral,down
3/7/2024,Mizuho,Buy,Buy,main
4/4/2024,Susquehanna,Neutral,Neutral,main
4/8/2024,Keybanc,Overweight,Overweight,main
4/10/2024,Goldman Sachs,Buy,Buy,main
4/16/2024,Evercore ISI Group,,Outperform,init
4/19/2024,Exane BNP Paribas,Outperform,Neutral,down
4/29/2024,Wells Fargo,Overweight,Overweight,main
5/6/2024,Rosenblatt,Buy,Buy,main
5/9/2024,Evercore ISI Group,Outperform,Outperform,main
5/9/2024,Needham,,Hold,reit
5/16/2024,Bernstein,Underperform,Underperform,main
6/11/2024,Goldman Sachs,Buy,Buy,main
6/17/2024,B of A Securities,Buy,Buy,main
6/25/2024,Guggenheim,Buy,Buy,main
7/19/2024,Morgan Stanley,Equal-Weight,Overweight,up
7/29/2024,HSBC,Hold,Reduce,down
8/1/2024,Rosenblatt,Buy,Buy,main
8/1/2024,Needham,,Hold,reit
8/1/2024,Barclays,Overweight,Overweight,main
8/1/2024,Evercore ISI Group,Outperform,Outperform,main
8/1/2024,Deutsche Bank,Hold,Hold,main
8/1/2024,TD Cowen,Buy,Buy,main
8/1/2024,Citigroup,Buy,Buy,main
8/6/2024,Loop Capital,Buy,Buy,main
8/7/2024,Bernstein,Underperform,Market Perform,up
8/8/2024,Daiwa Capital,Neutral,Outperform,up
9/13/2024,Raymond James,,Outperform,init
9/16/2024,Benchmark,,Hold,init
9/18/2024,William Blair,,Outperform,init
10/31/2024,Bernstein,Market Perform,Underperform,down
11/7/2024,Needham,,Hold,reit
11/7/2024,Evercore ISI Group,Outperform,Outperform,main
11/7/2024,Barclays,Overweight,Overweight,main
11/7/2024,Susquehanna,Neutral,Neutral,main
11/7/2024,Goldman Sachs,Buy,Buy,main
11/7/2024,JP Morgan,Overweight,Overweight,main
11/11/2024,Loop Capital,Buy,Buy,main
11/22/2024,Wells Fargo,,Overweight,init
11/25/2024,UBS,,Buy,init
