Date Reported,Holder,Percentage Held,Shares,Value
3/31/2024,Vanguard Group Inc,8.672,2133356260,192761538228
3/31/2024,Blackrock Inc.,7.408,1822389250,164663803073
3/31/2024,"FMR, LLC",4.679,1151036980,104003097364
3/31/2024,State Street Corporation,3.678,904894170,81762617624
3/31/2024,"Geode Capital Management, LLC",2.134,524942990,47431748804
3/31/2024,Price (T.Rowe) Associates Inc,1.876,461499100,41699212679
3/31/2024,JP Morgan Chase & Company,1.543,379614540,34300451376
3/31/2024,Morgan Stanley,1.3769999999999998,338760640,30609056387
12/31/2023,Norges Bank Investment Management,1.1989999599999999,294947080,14606369295
3/31/2024,Northern Trust Corporation,0.986,242517530,21912913940
