Date Reported,Holder,Percentage Held,Shares,Value
3/31/2024,Vanguard Total Stock Market Index Fund,3.035,746562480,67456399442
3/31/2024,Vanguard 500 Index Fund,2.5300000000000002,622454960,56242540365
4/30/2024,Fidelity 500 Index Fund,1.216,299158240,25847870252
4/30/2024,SPDR S&P 500 ETF Trust,1.188,292231920,25249422351
4/30/2024,iShares Core S&P 500 ETF,1.034,254373150,21978348906
3/31/2024,Vanguard Growth Index Fund,0.90500005,222703250,20122574857
4/30/2024,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",0.74,182162080,15739168036
3/31/2024,Vanguard Institutional Index Fund-Institutional Index Fund,0.66,162436560,14677117815
4/30/2024,Fidelity Growth Company Fund,0.414,101941500,8807949483
4/30/2024,Fidelity Contrafund Inc,0.40700004,100184150,8656110928
