date,low,high,mean,median,current
11/21/2024,125.0,220.0,169.87192,175.0,146.67
11/26/2024,125.0,220.0,170.44038,175.0,136.02
11/27/2024,125.0,220.0,170.44038,175.0,135.34
11/29/2024,125.0,220.0,170.44038,175.0,135.34
11/30/2024,125.0,220.0,170.44038,175.0,138.25
12/3/2024,125.0,220.0,171.11925,175.0,140.26
12/4/2024,130.0,220.0,171.77962,175.0,145.14
12/5/2024,130.0,220.0,171.77962,175.0,145.06
12/9/2024,130.0,220.0,171.77962,175.0,138.81
12/10/2024,130.0,220.0,171.77962,175.0,135.07
12/11/2024,130.0,220.0,171.77962,175.0,139.31
12/12/2024,130.0,220.0,171.77962,175.0,137.34
12/13/2024,130.0,220.0,171.77962,175.0,134.25
12/16/2024,130.0,220.0,172.3763,175.0,132.0
12/17/2024,130.0,220.0,172.3763,175.0,130.39
12/18/2024,130.0,220.0,172.3763,175.0,128.91
12/19/2024,130.0,220.0,172.83926,175.0,130.68
