Reported Date,Firm,FromGrade,ToGrade,Outlook
2/13/2012,FBR Capital,Market Perform,Outperform,up
2/16/2012,B of A Securities,Buy,Neutral,down
2/16/2012,Evercore ISI Group,,Underweight,main
4/5/2012,Cantor Fitzgerald,,Buy,init
5/14/2012,Jefferies,,Hold,main
5/14/2012,Salman Partners,,Buy,main
5/31/2012,Morgan Stanley,,Equal-Weight,init
6/11/2012,UBS,Neutral,Buy,up
6/25/2012,Canaccord Genuity,Hold,Buy,up
6/28/2012,Lazard,,Neutral,init
7/10/2012,Raymond James,,Strong Buy,main
8/7/2012,FBR Capital,,Outperform,main
8/10/2012,Citigroup,,Hold,main
8/10/2012,Jefferies,,Hold,main
8/10/2012,Wedbush,,Outperform,main
8/10/2012,FBR Capital,,Outperform,main
8/10/2012,Stifel,,Buy,main
8/10/2012,UBS,,Buy,main
8/10/2012,Barclays,,Equal-Weight,main
9/13/2012,Citigroup,,Neutral,main
9/28/2012,Brean Capital,,Hold,init
10/10/2012,Deutsche Bank,,Hold,main
10/19/2012,FBR Capital,Outperform,Market Perform,down
11/5/2012,BMO Capital,,Market Perform,main
11/6/2012,UBS,,Buy,main
11/7/2012,Wedbush,,Outperform,main
11/9/2012,Jefferies,,Hold,main
11/9/2012,Nomura,,Buy,main
11/9/2012,FBR Capital,,Market Perform,main
12/5/2012,Oppenheimer,Outperform,Perform,down
1/3/2013,Barclays,,Equal-Weight,main
2/12/2013,FBR Capital,,Market Perform,main
2/14/2013,Deutsche Bank,,Hold,main
2/14/2013,Nomura,,Buy,main
2/14/2013,BMO Capital,,Market Perform,main
2/14/2013,Stifel,,Buy,main
2/14/2013,Needham,Buy,Hold,down
3/11/2013,Susquehanna,Neutral,Negative,down
5/23/2013,Topeka Capital,,Hold,init
7/31/2013,Wells Fargo,Outperform,Market Perform,down
8/9/2013,Nomura,,Buy,main
10/11/2013,Macquarie,Neutral,Underperform,down
11/8/2013,FBR Capital,,Market Perform,main
11/18/2013,Morgan Stanley,Equal-weight,Underweight,down
1/9/2014,Canaccord Genuity,Buy,Hold,down
1/21/2014,Evercore ISI Group,Underweight,Equal-weight,up
2/3/2014,Susquehanna,Negative,Neutral,up
2/13/2014,Stifel,,Buy,main
2/13/2014,FBR Capital,,Market Perform,main
2/13/2014,B. Riley Securities,Neutral,Buy,up
3/19/2014,Stifel,,Buy,main
3/21/2014,CLSA,,Underperform,init
4/1/2014,JMP Securities,Market Perform,Market Outperform,up
4/10/2014,ISI Group,,Neutral,init
5/9/2014,Citigroup,,Hold,main
5/9/2014,Jefferies,,Hold,main
5/9/2014,JP Morgan,,Neutral,main
5/9/2014,Stifel,,Buy,main
5/19/2014,RBC Capital,Sector Perform,Outperform,up
6/19/2014,B of A Securities,Neutral,Underperform,down
6/23/2014,Pacific Crest,Sector Perform,Underperform,down
8/8/2014,Needham,Hold,Buy,up
8/8/2014,Nomura,,Buy,main
11/3/2014,Pacific Crest,Underperform,Sector Perform,up
11/7/2014,Stifel,,Buy,main
11/7/2014,JP Morgan,,Neutral,main
11/25/2014,Nomura,,Buy,main
12/19/2014,B of A Securities,Underperform,Neutral,up
2/12/2015,Stifel,,Buy,main
3/10/2015,B of A Securities,Neutral,Buy,up
3/23/2015,Goldman Sachs,Neutral,Sell,down
5/8/2015,Roth Capital,Buy,Neutral,down
5/8/2015,Stifel,,Buy,main
6/10/2015,Nomura,Buy,Neutral,down
6/17/2015,Tigress Financial,Neutral,Buy,up
8/3/2015,Macquarie,Neutral,Outperform,up
8/7/2015,Morgan Stanley,,Underweight,main
8/7/2015,Roth Capital,Neutral,Buy,up
8/7/2015,Stifel,,Buy,main
8/7/2015,Canaccord Genuity,,Hold,main
9/17/2015,Jefferies,Hold,Buy,up
10/12/2015,Roth Capital,,Neutral,init
10/30/2015,Morgan Stanley,Underweight,Equal-Weight,up
11/3/2015,Needham,Buy,Hold,down
11/6/2015,Roth Capital,,Neutral,main
11/6/2015,Morgan Stanley,,Equal-Weight,main
11/6/2015,Wedbush,,Outperform,main
11/6/2015,MKM Partners,Neutral,Buy,up
11/6/2015,Deutsche Bank,,Hold,main
11/6/2015,Canaccord Genuity,,Hold,main
11/16/2015,Canaccord Genuity,Hold,Buy,up
1/14/2016,Barclays,Equal-Weight,Underweight,down
2/18/2016,Deutsche Bank,,Hold,main
2/18/2016,B. Riley Securities,,Buy,main
3/18/2016,Argus Research,,Buy,init
4/4/2016,Jefferies,,Buy,main
4/6/2016,Stifel,Buy,Neutral,down
4/6/2016,Deutsche Bank,,Hold,main
5/13/2016,Roth Capital,Neutral,Buy,up
5/13/2016,Topeka Capital,Hold,Buy,up
5/13/2016,Barclays,,Underweight,main
5/13/2016,Deutsche Bank,,Hold,main
5/13/2016,Jefferies,,Buy,main
6/2/2016,Goldman Sachs,,Buy,init
6/13/2016,Nomura,Neutral,Buy,up
7/15/2016,Mizuho,,Buy,init
7/15/2016,Wells Fargo,Market Perform,Underperform,down
8/8/2016,Jefferies,,Buy,main
8/10/2016,Barclays,,Underweight,main
8/12/2016,RBC Capital,Sector Perform,Outperform,up
8/12/2016,Deutsche Bank,,Hold,main
8/12/2016,Barclays,,Underweight,main
8/12/2016,Goldman Sachs,,Buy,main
8/12/2016,Jefferies,,Buy,main
8/12/2016,UBS,,Buy,main
8/15/2016,Argus Research,,Buy,main
9/20/2016,SunTrust Robinson Humphrey,,Neutral,init
9/20/2016,Susquehanna,,Neutral,init
10/25/2016,B. Riley Securities,Buy,Buy,main
11/2/2016,Citigroup,,Buy,init
11/11/2016,Barclays,Underweight,Equal-Weight,up
11/14/2016,Needham,Hold,Buy,up
11/22/2016,MKM Partners,,Buy,main
12/13/2016,Loop Capital,,Buy,init
12/14/2016,Evercore ISI Group,Hold,Buy,up
12/20/2016,Mizuho,,Buy,main
2/6/2017,Roth Capital,Buy,Neutral,down
2/22/2017,Nomura,Buy,Reduce,down
2/23/2017,BMO Capital,Market Perform,Underperform,down
3/31/2017,Macquarie,,Neutral,init
4/4/2017,Pacific Crest,,Underweight,down
5/19/2017,Bernstein,,Outperform,init
6/20/2017,Pacific Crest,Underweight,Sector Weight,up
7/10/2017,Jefferies,,Buy,main
7/12/2017,SunTrust Robinson Humphrey,Neutral,Buy,up
8/11/2017,Barclays,,Equal-Weight,main
8/11/2017,Nomura,,Reduce,main
8/11/2017,Citigroup,,Buy,main
8/14/2017,Canaccord Genuity,,Buy,main
9/18/2017,B of A Securities,,Buy,main
10/4/2017,Barclays,,Equal-Weight,main
11/8/2017,Deutsche Bank,,Hold,main
11/10/2017,Nomura,Reduce,Neutral,up
11/10/2017,Morgan Stanley,,Equal-Weight,main
11/10/2017,Loop Capital,,Buy,main
11/10/2017,BMO Capital,,Underperform,main
11/10/2017,B of A Securities,,Buy,main
11/10/2017,Barclays,,Equal-Weight,main
11/13/2017,BMO Capital,Underperform,Market Perform,up
11/17/2017,Canaccord Genuity,,Buy,main
2/9/2018,Citigroup,Buy,Buy,main
2/9/2018,Deutsche Bank,Hold,Hold,main
2/9/2018,Morgan Stanley,Equal-Weight,Equal-Weight,main
2/9/2018,B. Riley Securities,Buy,Buy,main
