Date Reported,Holder,Percentage Held,Shares,Value
9/30/2023,American Balanced Fund,0.046,23809522,2069047461
9/30/2023,VanEck ETF Trust-VanEck Semiconductor ETF,0.026,13625200,1184029880
5/31/2023,Vanguard/Wellington Fund Inc.,0.016999999999999998,8709323,858652154
7/31/2023,Vanguard International Stock Index-Emerging Markets Stk,0.016999999999999998,8753253,867885034
7/31/2023,JP Morgan Emerging Markets Equity Fund,0.014,7217004,715565946
6/30/2023,Europacific Growth Fund,0.011999999,6167604,622434595
7/31/2023,Vanguard/Windsor II,0.011999999,5968485,591775287
8/31/2023,Fidelity OTC Portfolio,0.011999999,6242092,584072548
8/31/2023,Fidelity Select Portfolios - Semiconductors Portfolio,0.011999999,6171100,577429827
9/30/2023,Fundamental Investors Inc,0.011999999,6175535,536653991
