date,low,high,mean,median,current
12/3/2024,180.0,265.0,229.96333,240.0,196.93
12/4/2024,180.0,265.0,229.96333,240.0,200.69
12/5/2024,180.0,265.0,229.96333,240.0,204.3
12/9/2024,180.0,265.0,229.96333,240.0,199.17
12/10/2024,180.0,265.0,229.96333,240.0,191.94
12/11/2024,180.0,265.0,229.96333,240.0,194.6
12/12/2024,180.0,265.0,229.96333,240.0,191.46
12/13/2024,180.0,265.0,229.96333,240.0,200.99
12/16/2024,180.0,265.0,229.96333,240.0,202.22
12/17/2024,180.0,265.0,229.96333,240.0,200.66
12/18/2024,180.0,265.0,231.46562,240.035,195.56
12/19/2024,180.0,265.0,232.40312,240.035,194.64
