Date Reported,Holder,Percentage Held,Shares,Value
7/31/2023,Vanguard International Stock Index-Total Intl Stock Indx,0.13899999999999998,24745041,569135943
6/30/2023,Vanguard Tax Managed Fund-Vanguard Developed Markets Index Fund,0.082,14659991,311744708
9/30/2023,New Perspective Fund Inc,0.08099999999999999,14403731,327396805
6/30/2023,Europacific Growth Fund,0.07400000000000001,13271756,282223891
8/31/2023,iShares Core MSCI EAFE ETF,0.057,10092502,227737307
6/30/2023,Causeway International Value Fund,0.056,9950344,211594065
9/30/2023,iShares MSCI Eafe ETF,0.032,5791726,131645931
7/31/2023,Fidelity Series Overseas Fund,0.03,5441500,125154500
5/31/2023,Fidelity International Index Fund,0.028,5030491,90116215
7/31/2023,Fidelity International Discovery Fund,0.028,4998771,114971733
