date,low,high,mean,median,current
11/26/2024,35.0,57.0,46.79722,47.5,36.275
11/27/2024,35.0,57.0,46.79722,47.5,35.815
11/29/2024,35.0,57.0,46.79722,47.5,36.22
11/30/2024,35.0,57.0,46.79722,47.5,36.385
12/3/2024,35.0,57.0,46.80278,47.5,37.5
12/4/2024,35.0,57.0,46.91389,48.15,37.565
12/5/2024,35.0,57.0,46.91389,48.15,39.455
12/9/2024,35.0,57.0,46.85833,48.15,38.72
12/10/2024,35.0,57.0,46.85833,48.15,38.835
12/11/2024,35.0,57.0,46.85833,48.15,39.165
12/12/2024,35.0,57.0,46.85833,48.15,39.24
12/13/2024,35.0,57.0,46.76389,47.85,38.93
12/16/2024,35.0,57.0,46.76389,47.85,38.88
12/17/2024,35.0,57.0,46.76389,47.85,38.2
12/18/2024,35.0,57.0,46.76389,47.85,38.25
12/19/2024,35.0,57.0,46.76389,47.85,37.595
