Date Reported,Holder,Percentage Held,Shares,Value
6/30/2023,Vanguard Total Stock Market Index Fund,0.312,50202073,11921988296
6/30/2023,Vanguard 500 Index Fund,0.23800000000000002,38279045,9090507606
5/31/2023,Fidelity 500 Index Fund,0.11299999999999999,18183391,4019074912
8/31/2023,SPDR S&P 500 ETF Trust,0.111,17829579,4380370968
8/31/2023,iShares Core S&P 500 ETF,0.094,15135474,3718483252
6/30/2023,Vanguard Growth Index Fund,0.083,13322929,3163929178
8/31/2023,Select Sector SPDR Fund-Financial,0.07099999600000001,11409887,2803181038
6/30/2023,Vanguard Institutional Index Fund-Institutional Index Fund,0.069,11046797,2623393351
7/31/2023,Vanguard Specialized-Dividend Appreciation Index Fund,0.054000000000000006,8751179,2080417783
5/31/2023,Vanguard Information Technology Index Fund,0.050999997,8199587,1812354714
