date,low,high,mean,median,current
11/25/2024,272.0,350.0,321.74628,325.0,309.92
11/26/2024,272.0,350.0,321.74628,325.0,313.19
11/27/2024,272.0,360.0,322.60342,325.0,314.7
11/29/2024,272.0,360.0,322.60342,325.0,314.7
11/30/2024,272.0,360.0,322.60342,325.0,315.08
12/3/2024,272.0,360.0,323.26056,326.0,313.01
12/4/2024,272.0,360.0,323.26056,326.0,309.9
12/5/2024,272.0,360.0,323.26056,326.0,309.08
12/9/2024,272.0,360.0,323.97485,326.0,308.3
12/10/2024,272.0,360.0,323.97485,326.0,312.38
12/11/2024,272.0,375.0,325.00342,326.0,313.79
12/12/2024,272.0,375.0,325.00342,326.0,314.23
12/13/2024,272.0,375.0,325.00342,326.0,314.74
12/16/2024,274.12,375.0,326.48914,326.0,315.89
12/17/2024,274.12,375.0,326.48914,326.0,318.3
12/18/2024,274.12,375.0,327.77487,327.0,309.78
12/19/2024,274.12,375.0,329.91772,329.0,314.88
