Reported Date,Firm,FromGrade,ToGrade,Outlook
2/8/2012,Stifel,,Buy,main
2/9/2012,Wedbush,,Neutral,main
2/9/2012,Citigroup,,Neutral,main
2/9/2012,Deutsche Bank,,Buy,main
2/9/2012,Oppenheimer,,Outperform,main
2/9/2012,Goldman Sachs,,Buy,main
2/9/2012,Stifel,,Buy,main
2/9/2012,Morgan Keegan,,Outperform,main
2/9/2012,Meredith Whitney Advisory Group,,Outperform,main
3/1/2012,UBS,,Neutral,init
4/5/2012,Oppenheimer,,Outperform,main
4/13/2012,Citigroup,,Neutral,main
5/1/2012,JP Morgan,,Overweight,main
5/3/2012,Deutsche Bank,,Buy,main
5/3/2012,Guggenheim,,Neutral,main
5/3/2012,Canaccord Genuity,,Neutral,main
5/3/2012,Stifel,,Buy,main
5/3/2012,Meredith Whitney Advisory Group,,Outperform,main
5/17/2012,Goldman Sachs,,Buy,main
6/21/2012,Morgan Stanley,,Overweight,main
7/9/2012,UBS,Neutral,Sell,down
7/26/2012,Barclays,,Overweight,main
9/21/2012,Sterne Agee,,Buy,main
10/11/2012,Citigroup,,Neutral,main
10/19/2012,Jefferies,,Buy,main
11/1/2012,Credit Suisse,,Outperform,main
11/1/2012,Nomura,,Buy,main
11/1/2012,Stifel,,Buy,main
11/1/2012,Barclays,,Overweight,main
11/1/2012,UBS,,Sell,main
12/13/2012,Oppenheimer,,Outperform,main
1/9/2013,Goldman Sachs,,Buy,main
1/18/2013,Baird,Outperform,Neutral,down
1/23/2013,Barclays,,Overweight,main
2/7/2013,Wells Fargo,Outperform,Market Perform,down
2/21/2013,UBS,Sell,Neutral,up
2/21/2013,UBS,Sell,Neutral,up
2/22/2013,Guggenheim,Neutral,Buy,up
3/1/2013,Argus Research,Buy,Hold,down
3/18/2013,Exane BNP Paribas,,Hold,init
4/1/2013,Jefferies,,Buy,main
4/12/2013,Sterne Agee,Buy,Neutral,down
5/2/2013,Nomura,,Buy,main
5/2/2013,Stifel,,Buy,main
5/14/2013,Deutsche Bank,,Buy,main
5/17/2013,Nomura,,Buy,main
6/10/2013,Stifel,,Buy,main
6/18/2013,Morgan Stanley,,Overweight,init
7/15/2013,Deutsche Bank,,Buy,main
7/25/2013,Barclays,,Overweight,main
10/24/2013,Jefferies,,Buy,main
10/28/2013,Baird,,Neutral,main
10/31/2013,Stifel,,Buy,main
12/16/2013,B of A Securities,,Buy,main
1/13/2014,Citigroup,Neutral,Buy,up
1/27/2014,Piper Sandler,,Buy,init
1/30/2014,Raymond James,Strong Buy,Outperform,down
4/14/2014,Pacific Crest,,Outperform,init
4/15/2014,Baird,,Outperform,up
4/15/2014,Janney Montgomery Scott,Neutral,Buy,up
4/25/2014,Nomura,,Buy,main
7/25/2014,JP Morgan,,Overweight,main
7/25/2014,Stifel,,Buy,main
8/13/2014,JP Morgan,,Overweight,main
8/28/2014,Raymond James,Outperform,Market Perform,down
9/16/2014,Bernstein,,Outperform,init
9/16/2014,Piper Sandler,,Overweight,init
9/16/2014,Sterne Agee,,Buy,init
9/22/2014,Atlantic Equities,,Neutral,init
10/30/2014,FBR Capital,Market Perform,Outperform,up
10/30/2014,Stifel,,Buy,main
11/11/2014,Sterne Agee,,Buy,main
11/11/2014,Topeka Capital,,Hold,init
11/12/2014,Topeka Capital,,Hold,init
12/1/2014,Evercore ISI Group,,Buy,main
12/17/2014,Citigroup,,Buy,main
1/12/2015,Barclays,,Overweight,main
1/15/2015,JP Morgan,,Overweight,main
1/16/2015,Deutsche Bank,,Buy,main
1/21/2015,Jefferies,,Buy,main
1/23/2015,Oppenheimer,,Outperform,main
1/26/2015,JP Morgan,,Overweight,main
1/30/2015,FBR Capital,Outperform,Market Perform,down
1/30/2015,Stifel,,Buy,main
3/20/2015,"Keefe, Bruyette & Woods",,Outperform,main
3/31/2015,Deutsche Bank,,Buy,main
4/6/2015,JP Morgan,,Overweight,main
4/21/2015,Barclays,,Overweight,main
5/20/2015,CLSA,,Outperform,init
7/20/2015,Oppenheimer,,Outperform,main
8/12/2015,Bernstein,,Outperform,main
8/14/2015,JP Morgan,,Overweight,main
9/30/2015,Cowen & Co.,,Outperform,init
10/19/2015,Oppenheimer,,Outperform,main
10/22/2015,Wells Fargo,,Outperform,init
10/23/2015,Jefferies,,Buy,main
11/3/2015,Pacific Crest,,Overweight,main
11/3/2015,Piper Sandler,,Overweight,main
11/3/2015,Susquehanna,,Positive,main
12/8/2015,"Keefe, Bruyette & Woods",,Outperform,main
12/15/2015,Goldman Sachs,,Buy,main
12/16/2015,UBS,,Buy,init
12/17/2015,Sterne Agee,,Buy,init
1/5/2016,Barclays,,Overweight,main
1/29/2016,Credit Suisse,,Outperform,main
2/11/2016,B of A Securities,Buy,Neutral,down
2/29/2016,Nomura,,Buy,main
4/15/2016,Compass Point,,Neutral,init
4/22/2016,Goldman Sachs,,Buy,main
4/22/2016,Cowen & Co.,,Outperform,main
5/16/2016,Barclays,,Overweight,main
6/10/2016,Oppenheimer,,Outperform,main
7/7/2016,Barclays,,Overweight,main
9/6/2016,Baird,,Outperform,main
9/12/2016,Barclays,,Overweight,main
10/24/2016,Drexel Hamilton,,Hold,main
10/25/2016,UBS,,Buy,main
12/5/2016,Guggenheim,Neutral,Buy,up
12/15/2016,B of A Securities,Neutral,Buy,up
2/15/2017,Loop Capital,,Buy,init
6/28/2017,Mizuho,,Buy,init
