Date of Article,name,position,text,PTR Sentiment,Flair Sentiment,Flair Score
2024-11-24,Arsh.ai,438 followers,Better Artificial Intelligence Stock: Broadcom vs. AMD - sharewise: Better Artificial Intelligence Stock: Broadcom vs. AMD  sharewise http://dlvr.it/TGMcQF  hashtag #ai  hashtag,0.6111,NEGATIVE,0.9505
2024-11-24,💥Biljana M.,#HIRING Let's talk about your career!!,"At AMD, we live our core values through our actions. Being a socially and environmentally responsible business is an important part of AMD’s culture. If you want to work for a company that cares, click on the link to apply now.   Learn more about our Principal Hardware Emulation Verification Engineer (Graphics) role in Boxborough, MA:",0.5587,POSITIVE,0.9782
2024-11-24,Ken Everett,Ken's Blogspot,"Temperatures soar as heatwave moves in https://lnkd.in/g_MVTDVw  The Conversation- This Course Uses Crime Novels  The Galaxy Z Flip 6 Drops to $349 Instead of $1  The Great AMD Ryzen 7 5700X Processor Is 50% Of  This Lenovo Chromebook Is Only $149 For Black F  Total Wireless Black Friday Deals: Get 4 Free P  Trump picks ex-NFL CB Turner as HUD secretary  Unusual Gashapons from Tokyo: Hilarious and Wei  UP: Akhilesh Yadav congratulates two SP candida  UP: Seers of Varanasi extend support to Bageshw  Viral pet toy that entertains your furry friend  Voter is with spirit of 'Nation First', not wit  Would you live on a cruise ship for four years  You’re Packing Your Carry-On All Wrong. Here’s  ‘Gladiator II’ ending: Who lives, who dies and  ‘RHOBH’s Kyle Richards On Why She Would Want ‘R  ‘Wolfs’ sequel canceled because director ‘no lo  17-year-old driver dies in Albert County crash  A fully electric Chrysler Pacifica is in the wo  Andy Cohen On Possible Jen Shah & Monica Garcia  Andy Murray to coach Novak Djokovic from Austra  Anti-NATO protest in Montreal continues as poli  Arlo Guthrie Mourns Restaurateur Who Inspired H  BC Hydro says power almost fully restored after  Bear killed after attacking man walking on Metr  Best Black Friday Blu-Ray Box Set Deals - Movie  Big crowds take in Amherstburg Santa Claus Para  Book excerpt- 'Climate Anxiety and the Kid Ques  Book Riot’s Deals of the Day for November 23, 2",0.5138,NEGATIVE,0.9986
2024-11-24,Debbie de Haas,Talent Consultant @ AMD | Building High-Performing Semiconductor Teams,"At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance technologies. Join our team and help change the world.   Learn more about our RTL DESIGN ENGINEER role in San Jose, CA:",0.5385,POSITIVE,0.9984
2024-11-24,Nihar Panna,Freelancer and affiliate marketing,"ASUS Vivobook 15 E1504FA 15.6"" Full HD Laptop (AMD Ryzen 3-7320U, 8GB RAM, 512GB SSD, Windows 11 Home)   #1  ASUS Vivobook 15 E1504FA 15.6"" Full HD Laptop (AMD Ryzen 3-7320U, 8GB RAM, 512GB SSD, Windows 11 Home)  4.4 out of 5 stars 511  £239.99",0.5328,POSITIVE,0.9922
2024-11-24,Shawna Elliott - Morales,Office Manager,"Our U13 Vipers came out with a tournament win this weekend!  Unfortunately we are the only team in our league without a sponsor, we are looking for any company willing to step up amd support our boys. Sponsors would be helping us get more ice time, more development and help some players who are in need of assistance with the team fees.",0.5533,POSITIVE,0.8876
2024-11-24,Raunak Saha,Co-Founder of TechnoSports Media Group & Tech2Sports & IndiaEVNews | System Engineer | PGDM,AMD Zen 5 Threadripper 'Shimada Peak' 96-Core and 16-Core Leak  Read more:,0.5633,NEGATIVE,0.9989
2024-11-24,Dawn Parker,Talent Consultant @ AMD,"High performance computing needs high performance people. If you are looking to push the boundaries of what is possible, join AMD.  hashtag #TogetherWeAdvance   Learn more about our Logic Design Engineer role in Vancouver, BC:",0.5352,POSITIVE,0.889
2024-11-24,Priti Agarwal,Talent Acquisition Consultant @ AMD,"At AMD, we’re looking for those who embrace the challenge of transforming the future and redefining an entire industry, one innovation at a time. Click on the link to apply.   Learn more about our STA Engineer role in Santa Clara, CA:",0.5352,POSITIVE,0.979
2024-11-24,Nihar Panna,Freelancer and affiliate marketing,"Dell Inspiron 15 3535 15.6 inch FHD+ (1920 x 1080) Laptop, AMD Ryzen 5 7520U Processor, AMD Radeon Graphics, 8GB RAM, 512GB SSD, Windows 11 Home, English Keyboard, Carboon Black  #6  Dell Inspiron 15 3535 15.6 inch FHD+ (1920 x 1080) Laptop, AMD Ryzen 5 7520U Processor, AMD Radeon Graphics, 8GB RAM, 512GB SSD, Windows 11 Home, English Keyboard, Carboon Black  4.2 out of 5 stars 69  £299.00",0.5415,POSITIVE,0.9982
