Date of Article,name,position,text,PTR Sentiment,Flair Sentiment,Flair Score
2024-11-23,Doug Meiser,Partner at AMEND Consulting,"NVDA continues to lead the AI charge. This technology continues to help run GenAI better on small devices.   If you want to know what is next for AI, continue to follow them. NVDA is not just a great stock pick for the last ten years. It is not just GPUs.",0.5706,POSITIVE,0.9993
2024-11-23,Chris Porter,CEO Viral Wave Studio 🌊 | AI Automation Expert 🤖 | Automation Wizard 🧙 | Authflow.ai 🔒 | CAIO Creator Unlock 💪,"📰 Tech News Snippet #1452  NVIDIA Corp.’s stock has been on a remarkable upward trajectory, creating significant ramifications for CEO Jensen Huang’s charitable foundation.  As NVIDIA’s share prices soar, the foundation faces a unique challenge related to its financial giving obligations.  NVIDIA’s stock surge has substantially increased the value of the foundation's holdings.  This rising value necessitates a doubling in its charitable contributions to align with regulatory requirements.  This situation highlights an intriguing intersection between corporate success and philanthropy.  The NVIDIA Foundation will need to strategize effectively to meet its enhanced giving targets while supporting impactful causes.  Jensen Huang, known for his strategic vision, will undoubtedly steer toward solutions that balance continued success for NVIDIA and meaningful societal impact.  As we watch this unfold, it’s a potent reminder of the complexities linking business success, stock performance, and charitable responsibilities.  Stay tuned to see how NVIDIA’s strategic moves will influence both market trends and philanthropic endeavors.",0.5404,POSITIVE,0.967
2024-11-23,Bharath kumar,"Computer Vision, Deep Learning, iot, EdgeAI, ADAS, STEM, medical image processing","hashtag #3D Bounding Boxes in Top-Down  hashtag #BEV View  ""Take a moment to enjoy the beauty of computer vision with 3D bounding boxes visualized in the Bird's Eye View (BEV). 🌐✨  🌟 ""    YOLOv8-3D is a and lightweight and user-friendly library designed for efficient 2D and 3D bounding box object detection. This Simplified API provides a straightforward API that allows you to quickly understand , fine tune and implement object detection in your ADAS system. api supports added augmentations for 3d, instance segmentations and , nets, , .. clone repo.. select model and start training for plot..  yolov8-3d sys req : ubuntu 22.04 / python3.8~10    Integrated 3D Bounding Box Detection and Depth Estimation for Object Localization                            simple and easy Object Detection with Bird's Eye View and Tracking//               Alexey SapozhnikovPrithivi Da",0.5046,POSITIVE,0.9995
2024-11-23,Rene van Pelt,Co-Founder @ Bidvise | Building software for auction houses,"CoreWeave is aiming for a valuation of over $35 billion in its U.S. IPO planned for 2025.  The New Jersey-based AI cloud platform plans to raise more than $3 billion from its share sale, possibly launching in the second quarter of 2025, depending on market conditions.  CoreWeave provides access to such infrastructure, primarily using Nvidia chips, and competes with major cloud services like Microsoft's Azure and Amazon's AWS.  The company recently completed a $650 million secondary share sale, valuing it at $23 billion, with investments from firms likeand.  Read more:",0.5735,NEGATIVE,0.517
2024-11-23,ProPakistani,"82,767 followers","This not only helps Amazon grow the market for its AWS AI chips but also aids in reducing reliance on Nvidia, which has previously claimed the title of the most valuable company in the world thanks to its AI chip business.  Read More:",0.6107,POSITIVE,0.9892
2024-11-23,Iyed Hosni,Software engineering and information systems student passionate about web and mobile development. Currently seeking a final-year internship starting in January 2025.,"🌟 À la recherche d'un stage pour valider ma licence en informatique ! 🌟 Bonjour à tous, Je suis actuellement étudiant en licence à l'Université Centrale de Tunis, spécialisé en génie logiciel et systèmes d'information. 🎓 Je suis à la recherche d’un stage de fin d’études d'une durée minimale de 4 mois, à partir de février 2025, afin de valider mon diplôme et de mettre en pratique mes compétences techniques. ✅ Mes points forts : Expérience en développement web et mobile Connaissances en Python, Java, C#, SQL, et frameworks comme Django et Laravel Certifications IBM, Nvidia, Honoris 🔗 Mon CV est ci-joint pour plus de détails. Si vous connaissez des opportunités ou si vous pouvez partager cette publication, cela m’aiderait énormément ! 🙏 📩 N'hésitez pas à me contacter directement via LinkedIn ou à partager cette publication pour m'aider dans ma recherche. Merci d'avance pour votre soutien !",0.5072,POSITIVE,0.999
2024-11-23,Helen CY Kan,Seasoned Banker / Board Director/ Fintech/ Consumer Bank/ Private Bank/ SME/ Wealth Mgt/ Education/ President HKWPEA/ All- China Women’s Federation / Culture& Drama,"HKUST Honorary Doctorate Awardee Jensen Huang delivered an inspirational message today in HK today.  He was awarded as HKUST Honorary Doctorate in Engineering .  “The world is reset “ he remarked. Nvidia reinvented computing. We are in a new Industrial Revolution. AI, machine learning and data science meant we have these new instruments to create new industries, create new solutions in virtually every field, from climate science to health science and physical science ….AI is integrated into physics , biology , arts .   The fireside chat between HKUST Council Chairman Prof Harry Shum and Jensen on “ Technology , Leadership and Entrepreneuship” was most uplifting and inspirational.  Jensen believes GBA possesses unique advantages of the R& D flywheel with high volumes mainly in three areas : cars, drones and human robots .  He furthered remarked that the opportunity of a third medical school that HKUST is submitting its application for can create a new hospital model where the domain expertise is AI and technology and not just adding AI to a traditional hospital model.  On leadership , his core message was leaders need confidence and strength, yet cannot know all and be all. Embrace uncertainties and learn every day. Be transparent , synthesize team ideas and align with clear vision and purpose.  Huang      development",0.5402,POSITIVE,0.9908
2024-11-23,Darshal Jaitwar,AI & Tech Content Creator | Driving Innovation with Cutting-Edge AI Tools & Insights | 15K+ Twitter,"🎯 Transform Your Sales Game: The Psychology of Selling Anything to Anyone  Here are the game-changing principles that have revolutionized my approach to sales:  🔹 𝐃𝐢𝐯𝐞 𝐈𝐧𝐭𝐨 𝐓𝐡𝐞𝐢𝐫 𝐖𝐨𝐫𝐥𝐝 Success in sales begins with empathy. Before you pitch, understand their: • Daily challenges • Deepest fears • Ultimate aspirations Remember: People don't buy from strangers—they buy from those who understand them.  🔹 𝐄𝐦𝐨𝐭𝐢𝐨𝐧𝐬 𝐃𝐫𝐢𝐯𝐞 𝐃𝐞𝐜𝐢𝐬𝐢𝐨𝐧𝐬 Logic makes people think, but emotions make them act. 💡 Key insight: People don't buy products—they buy better versions of themselves.  🔹𝐒𝐞𝐥𝐥 𝐓𝐫𝐚𝐧𝐬𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧𝐬, 𝐍𝐨𝐭 𝐅𝐞𝐚𝐭𝐮𝐫𝐞𝐬 Instead of saying: ""Our software has AI capabilities"" Say: ""You'll win back 10 hours every week""  🔹 𝐏𝐫𝐞𝐜𝐢𝐬𝐢𝐨𝐧 𝐏𝐞𝐫𝐬𝐮𝐚𝐝𝐞𝐬 Vague promises create doubt. Specific promises create trust. Example: ""Generate 50 qualified leads in your first 30 days, guaranteed.""  🔹 𝐋𝐞𝐯𝐞𝐫𝐚𝐠𝐞 𝐒𝐜𝐚𝐫𝐜𝐢𝐭𝐲 Time-bound offers work because they mirror real life—opportunities don't last forever. 🔥 Pro tip: Always make your deadlines real and stick to them.  🔹 𝐁𝐫𝐢𝐧𝐠 𝐘𝐨𝐮𝐫 𝐏𝐞𝐫𝐬𝐨𝐧𝐚𝐥𝐢𝐭𝐲 In a world of corporate robots, authenticity is your secret weapon. Be professional, but be yourself—your unique perspective is your competitive advantage.  𝐀𝐦𝐚𝐳𝐨𝐧 𝐢𝐬 𝐨𝐟𝐟𝐞𝐫𝐢𝐧𝐠 𝐅𝐑𝐄𝐄 𝐜𝐨𝐮𝐫𝐬𝐞𝐬 𝐨𝐧 𝐀𝐈.  7000+ Course Free Access :  Google Data Analytics:   ❶ Getting Started with Data Analytics on AWS   ❷ Practical Data Science on the AWS Cloud Specialization   ❸ Introduction to Machine Learning on AWS   ❹ Hands-on Machine Learning with AWS and NVIDIA   ❺ AWS Fundamentals Specialization   ❻ Exam Prep: AWS Certified Cloud Practitioner Foundations   ❼ AWS Cloud Technical Essentials   ❽ AWS Fundamentals: Addressing Security Risk   ❾ AWS Cloud Solutions Architect Professional Certificate   ❿ Architecture Solutions on AWS   𝐀𝐠𝐫𝐞𝐞? Share this with a sales professional who needs to see this!  ♻️Repost to inspire your network and follow me,for more! 👥✨",0.5274,POSITIVE,0.9461
2024-11-23,Paul Graham,Senior Solutions Architect at NVIDIA,Google Quantum AI is performing the largest  hashtag #quantum simulations using NVIDIA  hashtag #CUDA-Q functionality. Learn how dynamics simulations take advantage of the scalability offered by multi-GPU capabilities.,0.5281,POSITIVE,0.951
2024-11-23,Claudio Polla,NVIDIA Telco Solutions - UKI & Africa,"🔢 ⚡ Achieve stable out-of-core GPU computing and maximum performance with RAPIDS Dask. Tech blog ➡️ https://nvda.ws/3Z3MnDl  Learn how optimal memory settings, accelerated networking with UCX, and multi-hardware backend support make scaling multi-GPU data analysis faster and seamless.",0.512,POSITIVE,0.9991
