Date of Article,Company / Person,Followers,text,PTR Sentiment,Flair Sentiment,Flair Score
11/26/2024,TSMC,"628,491 followers","At TSMC, we are privileged to have a diverse pool of talented employees who willingly serve as internal trainers and play a vital role in supporting talent development. Our ""Internal Trainer Program"" is designed to enhance our employees’ teaching capabilities, and the ""TSMC Excellent Trainer Award"" honors those who excel in disseminating their knowledge. Last year, over 4,000 internal trainers educated 460,000 participants, enabling TSMCers to unlock their potential and foster collective growth. Click to learn more!",0.525,POSITIVE,0.9986
11/26/2024,TSMC,"628,491 followers","TSMC Arizona is paving new pathways into the semiconductor industry by expanding its Registered Semiconductor Technician Apprenticeship program, creating fresh job opportunities for Arizonans. Announced during National Apprenticeship Week, TSMC Arizona President Rose Castaneres unveiled this workforce initiative alongside Arizona Governor Katie Hobbs and Phoenix Mayor Kate Gallego. The event also celebrated the first cohort of Facilities Technician Apprentices, who are now eight months into their program.  TSMC Arizona was also joined by education leaders to announce these new programs: - Equipment Technician Apprenticeships, supported with in-classroom learning at(part of). - Process Technician Apprenticeships, supported with curriculum throughand. - An Intensive Program for Manufacturing Specialists, with training offered throughand. - Additional Facilities Technician Apprenticeships, with continued in-classroom learning at Estrella Mountain Community College.  TSMC Arizona is investing more than $5M representing on-the-job training hours and education tuition support for its nearly 130 new apprentice employees. The program is also supported by sponsorship and funding from the City of Phoenix and the.  To learn more about this program, and all open jobs at TSMC Arizona – visit:",0.5313,POSITIVE,0.9971
11/26/2024,TSMC,"628,491 followers","Exciting news from TSMC! Our ""Recycled Box Alliance,"" a winner of the TSMC ESG AWARD, launched in 2023, transforms waste plastics into eco-friendly boxes. This initiative reduces disposable cartons, partners with suppliers to build a green supply chain, and creates job opportunities for the underprivileged. It is a win-win for the planet and all parties involved! Click to learn more!",0.5143,POSITIVE,0.9996
11/19/2024,TSMC,"628,491 followers","hashtag #TSMC  hashtag #Arizona is at the forefront of onshoring  hashtag #semiconductor manufacturing, playing a crucial role in boosting national economic competitiveness and ensuring leadership in the 5G/6G and AI era. As the largest foreign direct investment in a greenfield project in the U.S. history, TSMC Arizona is expected to create more than 6,000 high-tech, high-wage jobs while showcasing the most advanced chipmaking technology in the U.S. Furthermore, according to the Greater Phoenix Economic Council, our Arizona facilities will generate more than 20,000 unique construction jobs and tens of thousands of indirect jobs this decade, forming a leading-edge cluster in Arizona.  Entering this phase of the U.S. CHIPS and Science Act marks a pivotal step in strengthening the advanced semiconductor manufacturing ecosystem in the United States. We have made tremendous progress in Arizona and we are grateful to the ongoing collaboration with our customers, partners, local communities and the U.S. government beginning in early 2020.    Learn more about the news:",0.5224,POSITIVE,0.9992
11/19/2024,TSMC,"628,491 followers","In 2023, TSMC initiated the ""Copper-Manganese Alloy Target (CuMn) Recycling Project"" to address the growing need for CuMn targets in advanced semiconductor manufacturing. We've revamped the entire process flow from inspection to final machining through supplier partnerships. Together, we turn old targets into electronic-grade CuMn alloy targets, working toward green manufacturing! Click to learn more!",0.5199,POSITIVE,0.9968
11/12/2024,TSMC,"628,491 followers","In the United States, Veterans Day is not only a time to remember those who have defended our freedoms but also to express our deepest gratitude to the families who support them, the communities who uplift them, and the employers who stand by them. At TSMC Arizona, we recently joined with our construction partners to honor and celebrate our military veteran trade workers on our construction site in Phoenix where they were treated to lunch and dozens of fabulous prizes donated by many of our construction site vendors.  In order to support a diverse and inclusive workforce, we also launched our first Veterans@TSMC employee resource group with veteran employees, and employee allies, representing TSMC Arizona and other North America TSMC sites. The mission of TSMC’s Veterans Employee Resource Group (VERG) is to foster career growth, community outreach, and personal development. This commitment encompasses veteran recruitment, career development, outward engagement, and retention, ensuring that those who have bravely served continue to thrive and succeed in their professional careers.  To all veterans: Thank you for your , your sacrifice, and your unwavering dedication to safeguarding our homes. We are forever grateful.",0.523,POSITIVE,0.9924
11/12/2024,TSMC,"628,491 followers","At TSMC, we are committed to collaborating with suppliers to foster a sustainable, low-carbon supply chain. Tetra-methyl Ammonium Hydroxide (TMAH), a highly alkaline aqueous solution, is crucial in semiconductor photolithography process. Following the development of Cyclopentanone in 2023, we are now transforming TMAH waste into electronics-grade solutions. This initiative aims to cut new TMAH procurement by 24,000 metric tons and decrease carbon emissions by 2,496 metric tons annually. Click to learn more!",0.5239,POSITIVE,0.9986
11/12/2024,TSMC,"628,491 followers","What an incredible homecoming! Thank you to everyone who joined us at the 2024 TSMC Taiwan OIP Ecosystem Forum in Hsinchu.  The day began with opening remarks from Ray Wan, Director of TSMC Asia Pacific Business, who celebrated another remarkable year of partnership success in Taiwan, particularly in AI chip development and AI-enabled chip design. He emphasized how OIP, through its design enablement, 3Dblox standard, and 3DFabric Alliance, is instrumental in driving computational innovations.  We were honored to have Dr.,'s Head of HBM Process Integration, as our guest keynote speaker. In the era of AI, High-bandwidth Memory (HBM) has become crucial for processing massive data volumes. Dr. Kwon shared SK hynix's exciting HBM roadmap and vision, emphasizing that ""open collaboration is essential for the memory-centric era and ecosystem change."" We want to thank Dr. Kwon once again for his presence and for SK hynix's close collaboration with TSMC.  This collaborative vision was reinforced by TSMC keynote speaker Lie-Szu Juang, Senior Director of Design and Technology Platform. She highlighted how 3DIC represents a fundamental ecosystem shift requiring end-to-end solutions - from IP and design planning to physical design, analysis, and testing - with our ecosystem ready to deliver.  The technical presentations throughout the day covered cutting-edge topics including AI-driven EDA solutions, silicon photonics, and diverse design applications. While attendees absorbed these thought-provoking insights, they enjoyed a taste of Taiwan through our signature bubble tea service.  We're grateful for everyone's enthusiastic participation and hope you found the day as enriching as we did. It's been wonderful to recharge at home before continuing our journey.  Join us at the remaining stops of our 2024 Global OIP Event Tour:  🔸 China: 11/13 (Wed) at Hyatt Regency Beijing Wangjing 🔹 Europe: 11/19 (Tue) at Hilton Amsterdam Airport Schiphol",0.5267,POSITIVE,0.9988
11/26/2024,TSMC,"628,491 followers","After launching our first TSMC Taiwan OIP Ecosystem Forum in Hsinchu last year, it's time for our much-anticipated return on November 6. While our recent stops in Santa Clara and Tokyo have been met with tremendous enthusiasm, nothing compares to bringing this celebration of innovation back to where it all began.  The timing couldn't be better. With TSMC's leadership highlighting that we are just at the start of the AI wave, our OIP ecosystem partners stand at the forefront of enabling these groundbreaking AI innovations while transforming our own industry.  We're honored to welcome Dr.,'s Head of HBM Process Integration, as our guest keynote speaker in Taiwan this year. He'll share fascinating insights into High Bandwidth Memory (HBM) innovations and their crucial role in advancing AI chip technology.  Join us to exchange ideas with the OIP community and be part of this exciting journey shaping our industry's future. This is one homecoming you won't want to miss!  See you tomorrow! 明天見!",0.5409,POSITIVE,0.9994
11/26/2024,TSMC,"628,491 followers","As we connect with Asia's vibrant design community, we're also gearing up for our next exciting destination - Amsterdam! The TSMC global OIP tour is heading west, and you won't want to miss what's coming.  Date: November 19, 2024 (Tuesday) Time: 9:30a.m. - 5:00p.m. Venue: Hilton Amsterdam Airport Schiphol  Get your travel plans ready! This isn't just another conference – it's where Europe's brightest minds in IC design converge to shape the future of technology.  Key Highlights: 🔺 Over 30 leading experts sharing groundbreaking semiconductor innovation technologies 🔺 Insights into next-gen chip design and AI-driven technologies 🔺 Networking with ~30 cutting-edge ecosystem partners  Beyond TSMC's keynote speech and technical presentations, we are honored to welcome distinguished guest speakers from two long-standing collaborators: 🔹, Executive Vice-President of the General-Purpose Microcontrollers Sub-Group at 🔸, Vice President of Automotive System Marketing at  Together with these industry leaders, we'll explore the semiconductor landscape with AI as a transformative catalyst, reaffirming our commitment to open innovation.  This is your last chance to connect, learn, and inspire before the year winds down. Register now:",0.5405,POSITIVE,0.9992
