Date of Article,Company / Person,Followers,text,PTR Sentiment,Flair Sentiment,Flair Score
11/19/2024,UniCredit,"499,749 followers","🎨 Empowering Culture, Empowering People 💪  📚 UniCredit’s commitment to art and culture spans Europe, creating connections and celebrating creativity. From CineLibri Festival in Bulgaria to the Diploma Show in Romania and exhibitions in Prague and UniCredit Studio in Sofia, we’ve supported diverse artistic initiatives all across the continent.  🖼️ Through the UniCredit Art Collection, we bring masterpieces to life, making art accessible to everyone while promoting emerging talent.  📌",0.5067,POSITIVE,0.9994
11/19/2024,UniCredit,"499,749 followers",✅ We announce today the completion of the 2024 share buy-back anticipation programme communicated to the market on 16 September 2024 and initiated on the same date.  🗞 Check the press release for further details on the execution of the programme:,0.5507,POSITIVE,0.6173
11/19/2024,UniCredit,"499,749 followers","✅ As a pan-European bank, united by our common values and purpose to empower communities to progress, we recognise that our clients are on different ESG journeys.  ⏩ We are committed to being a reliable banking partner to them that will meet their specific needs in the sustainability transition.  🌎 Today we discussed this important and urgent topic in our second   👀 Watch the full event here: 👉 Our website: 👉 YouTube: 👉 LinkedIn: 👉 Facebook:  📌",0.5128,POSITIVE,0.9989
11/12/2024,UniCredit,"499,749 followers","⏩ A challenged future: choosing the path ahead   🌎 At ESG Day 2024, we want to put the focus firmly on the need for greater progress in tackling some of the toughest issues facing our society today. From climate change to social inequality, we need action and we need answers. Urgently.  🤝 The future of our planet depends on all of us - clients, colleagues, competitors, governments and many other influential bodies and organisations. We must band together, be prepared to stand up and make a concerted effort to change our behaviour.  📌",0.5113,POSITIVE,0.997
11/19/2024,UniCredit,"499,749 followers","📢 UniCredit has successfully issued a EUR 1 billion floating rate Senior Preferred Bond with 4 years maturity, callable after 3 years, targeted to institutional investors.  ✅ The book building process gathered demand of more than EUR 2.3 billion from over 135 institutional investors globally.  ⏩ The transaction allows UniCredit to pre-fund next year's MREL Funding Plan, confirming once more fixed income investors' appreciation and its broad market access in different formats.  🗞 Find out more:  📌",0.5587,POSITIVE,0.9985
11/19/2024,UniCredit,"499,749 followers","🎧 Our sponsorship of the Youth America's Cup brought the sailing and banking worlds together, and this is the main topic of the 3rd Episode of  hashtag #ConversationsUnlocked, the UniCredit podcast.  💪 What made our partnership work, and what lessons in teamwork can we take from the America’s Cup? Our very special guest in this episode is none other than, Head of Sponsorship for the 37th America’s Cup and son of Grant Dalton, the America’s Cup CEO, who we heard from in the first episode of this series.  ⏩ His number one recipe for success? “The team that wins the America’s Cup has got to be such a tight unit and … a group of individuals that has each other’s backs” says Mack.  🎙 With our co-hostsand, we keep us updated, discovering also the latest news from across the Group and featuring a special edition of our ""Culture Corner""  👀 Discover more:  📌",0.5216,POSITIVE,0.8655
11/12/2024,UniCredit,"499,749 followers","👀  hashtag #UniCreditESGDay | 📅 14 November | 09.30 CET  Check out the agenda and register here:  👉 https://lnkd.in/d5deE5Mg  👉 LINKEDIN LIVE:  🌎 At our forthcoming ESG Day, we want to put the focus firmly on the need for greater progress in tackling some of the toughest issues facing our society today. From climate change to social inequality, we need action and we need answers. Urgently.  ⏩ Discover more our panelists in the carousel below  💭 Curious to learn more? Visit  📌",0.5061,NEGATIVE,0.6399
11/12/2024,UniCredit,"499,749 followers","💡 Empowering the next generation through financial education.  🌍 On the 100th anniversary of World Savings Day, we organized events across Europe, focusing on the importance of saving and responsible money habits.  🎈 In Bosnia and Herzegovina, more than 600 children participated in fun workshops and activities, learning vital financial skills. Through games and interactive lessons, we’re teaching the value of responsible finance from an early age.  📌",0.5192,POSITIVE,0.9972
11/12/2024,UniCredit,"499,749 followers","📅 Join us for  hashtag #UniCreditESGDay live https://lnkd.in/d5deE5Mg to discuss the future of sustainable investments and the challenges of aligning climate action with societal priorities.  🌱 How can we balance investment in clean energy with other pressing needs like digitalisation and defense?  💭 Before the event, we want to hear from you! Your insights matter—let’s shape the future together!  📌",0.5104,POSITIVE,0.8595
11/12/2024,UniCredit,"499,749 followers","🔎 Trump’s return could shape economic landscapes domestically and abroad. While uncertainty remains, investors may find opportunities in this evolving scenario.   📊 For a full assessment, read the comprehensive analysis on our website, elaborated by Group Investment Strategy team at UniCredit where we explore the nuanced effects of the US election results on global markets and economic trends alongside impacts on investment strategies.  👉  📌",0.5271,NEGATIVE,0.6744
11/12/2024,UniCredit,"499,749 followers","🎻 The 2025 Concert Season of the Filarmonica della Scala, its forty-third edition, will open on Monday, January 27, and run through November, featuring a remarkable lineup of distinguished musicians, conductors, and soloists from across generations.  ✅ Starting today, UniCredit clients can purchase tickets at a discount! Visit:  ⏩ The Season will begin with Principal Conductor Riccardo Chailly leading Gustav Mahler’s Symphony No. 7. The year will also bring esteemed conductors to the stage, including Gianandrea Noseda (February 17), Daniele Gatti (March 24), Conductor Emeritus Myung-Whun Chung (October 12), and Austrian conductor Manfred Honeck (November 3), returning to the Filarmonica podium for the first time since 2018.  🎼 Among the Filarmonica’s new conductors are Lahav Shani (April 14), and, for the first time, Barbara Hannigan (October 26), who will appear in the unique dual role of conductor and singer. Making his debut is Japanese conductor Kazuki Yamada (May 26), a protégé of Seiji Ozawa, while Philippe Herreweghe (March 10) will lead the acclaimed baroque ensemble.  👀 Find out more here:  📷 Credits: Veroni, Gori, Hanninen  📌",0.5209,POSITIVE,0.9994
11/12/2024,UniCredit,"499,749 followers",📊 UniCredit: 3Q24 and 9M24 Group Results  👉 Ushering in a new era of sustainable quality growth  🔗 Find all the materials and listen to the audio webcast:  📌,0.5523,POSITIVE,0.9984
11/12/2024,UniCredit,"499,749 followers","🎙️ ""We reported our fifteenth consecutive quarter of profitable growth and record financial results. All our regions are contributing to our success while they reap the benefits of a larger Group.  It is clear that we have rebuilt our capacity to transform, adapt and excel, underpinned by a clear, consistent and simple strategic vision. As a signal of confidence in our quality sustainable growth we will increase our cash dividend to 50% of net profit from 2025, up from 40%, given the strength of our earnings and organic capital generation.  Over the cycle we will continue to demonstrate strong profitability and superior distributions.""  🗣️- UniCredit Group CEO commenting our 3Q24 and 9M24 Group Results  🔗 Click to find all the materials and listen to the audio webcast:  📌",0.5554,POSITIVE,0.9962
11/12/2024,UniCredit,"499,749 followers",📢 UniCredit: 3Q24 and 9M24 Group Results  👉 Fifteenth consecutive quarter of profitable growth and sequential improvements to our KPIs: demonstrates 𝗮 𝗻𝗲𝘄 𝗲𝗿𝗮 𝗼𝗳 𝘀𝘂𝘀𝘁𝗮𝗶𝗻𝗮𝗯𝗹𝗲 𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗴𝗿𝗼𝘄𝘁𝗵.  🗞 Read the press release:  📌,0.5325,POSITIVE,0.9964
11/12/2024,UniCredit,"499,749 followers","🗓️  hashtag #HeadsUp: tomorrow morning, 6th November 2024 at 07.00 CET, UniCredit will release its 3Q24 and 9M24 Group Results Presentation.  🎙️ Live audio webcast and conference call from 10.00 CET.  👉 Check the link for more details:  📌",0.5187,NEGATIVE,0.9902
