Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/21/2024,POLITICO.eu,Oxford University’s China dilemma,https://www.politico.eu/article/oxford-university-china-uk-nobel-winners-diplomat-hong-kong-power-play-ceremony-spies-alumni-chancellor/,Politicians are among those vying to run the elite institution — and they're squaring off over Beijing's influence on Britain.,0.52,NEGATIVE,0.996,0.51,NEGATIVE,0.982
11/21/2024,Financial Times,Will China win the clean-energy era?,https://www.ft.com/content/525e557d-d571-4581-a0da-5db860a33513,Trump loves fossil fuels but his sidekick Musk wants a piece of the action.,0.535,NEGATIVE,0.828,0.507,POSITIVE,0.832
11/21/2024,The Guardian,Transgender woman wins record payout in China after electroshock treatment,https://www.theguardian.com/world/2024/nov/21/transgender-woman-wins-record-payout-in-china-after-electroshock-treatment,Case marks first time a trans person has successfully challenged use of such conversion practices in country. Amy Hawkins senior China...,0.52,NEGATIVE,0.771,0.526,NEGATIVE,0.931
11/21/2024,The Spectator,Will China soon rule the waves?,https://www.spectator.co.uk/article/will-china-soon-rule-the-waves/,"On Sunday morning, a communications cable between Sweden and Lithuania was damaged, almost certainly deliberately.",0.523,NEGATIVE,0.546,0.519,POSITIVE,0.767
11/21/2024,The Economist,Is China really a nation of slackers?,https://www.economist.com/finance-and-economics/2024/11/21/is-china-really-a-nation-of-slackers,A new survey raises the question | Finance & economics.,0.521,NEGATIVE,1.0,0.513,NEGATIVE,0.998
11/21/2024,WSJ,"China Is Building 30,000 Miles of High-Speed Rail—That It Might Not Need",https://www.wsj.com/world/china/xi-high-speed-trains-china-3ef4d7f0,"The train system is one of the biggest public works in history, and it's becoming a giant money pit.",0.52,NEGATIVE,0.842,0.531,NEGATIVE,0.699
11/21/2024,NBC News,"A Siberian tiger bit a man in China and remains on the loose, authorities say",https://www.nbcnews.com/news/world/siberian-tiger-bit-man-northern-china-remains-loose-authorities-say-rcna181129,"Authorities in northern China are searching for a wild tiger, after it attacked two men and left one of them needing surgery.",0.506,NEGATIVE,0.956,0.519,NEGATIVE,0.97
11/21/2024,Foreign Affairs,The True Aims of China’s Nuclear Buildup,https://www.foreignaffairs.com/china/true-aims-chinas-nuclear-buildup,"Since 2018, American defense analysts have repeatedly identified China as the greatest threat to U.S. national security.",0.512,NEGATIVE,0.72,0.519,NEGATIVE,0.956
11/21/2024,Reuters,"Exclusive: China advisers call for steady 5% 2025 economic growth goal, stronger stimulus",https://www.reuters.com/markets/asia/china-advisers-call-steady-5-2025-economic-growth-goal-stronger-stimulus-2024-11-21/,"Chinese government advisers are recommending that Beijing should maintain an economic growth target of around 5.0% for next year,...",0.539,NEGATIVE,0.685,0.54,NEGATIVE,0.619
11/21/2024,Times of India,China announces policy measures to shield exports from Trump's tariff threat,https://timesofindia.indiatimes.com/business/international-business/china-announces-policy-measures-to-shield-exports-from-trumps-tariff-threat/articleshow/115536540.cms,International Business News: China is bolstering its export sector to counter potential US tariff hikes threatened by President-elect Donald...,0.512,NEGATIVE,0.996,0.545,NEGATIVE,0.746
11/21/2024,The Guardian,Howard Lutnick’s China ties draw fire after Trump taps him to lead trade war,https://www.theguardian.com/business/2024/nov/21/howard-lutnick-china-commerce-secretary,"Commerce secretary pick has substantial business links with China, raising questions of possible conflict of interest.",0.511,NEGATIVE,0.937,0.544,POSITIVE,0.839
11/21/2024,France 24,"Hybrid warfare? China sabotaging Baltic Sea cables would be ‘super surprising’, experts say",https://www.france24.com/en/europe/20241121-hybrid-warfare-china-sabotaging-baltic-sea-cables-would-be-super-surprising-experts-say,A Chinese vessel has sparked major interest after it was tracked travelling near the two internet cables that were mysteriously severed on...,0.509,NEGATIVE,0.957,0.512,NEGATIVE,0.648
11/21/2024,Financial Times,Temu owner PDD misses sales estimates amid China slowdown,https://www.ft.com/content/b3a4be64-136d-48b1-937e-76110090f29d,"Shares in PDD Holdings fell on Thursday after it missed revenue estimates and warned about “intensified competition”, as it became the...",0.572,NEGATIVE,0.999,0.506,POSITIVE,0.874
11/21/2024,Vitol.com,China medium term oil demand outlook – Vitol’s view,https://www.vitol.com/china-medium-term-demand-outlook-vitols-view/,In the last 20 years China has been a primary driver of oil demand. From 2004 to 2024 Chinese oil demand has nearly tripled accounting for...,0.541,NEGATIVE,0.751,0.527,NEGATIVE,0.809
11/18/2024,GOV.UK,PM meeting with President Xi Jinping of China: 18 November 2024,https://www.gov.uk/government/news/pm-meeting-with-president-xi-jinping-of-china-18-november-2024,The Prime Minister met with Chinese President Xi Jinping at the G20 Summit in Brazil today.,0.522,POSITIVE,0.991,0.525,POSITIVE,0.719
11/20/2024,BBC,Car driven into crowd outside primary school in China,https://www.bbc.com/news/articles/c2dl8yey0l8o,Multiple injuries are feared after a car was driven into a crowd of people outside a primary school in China's southern Hunan province.,0.516,NEGATIVE,0.997,0.519,POSITIVE,0.953
11/18/2024,中华人民共和国外交部,"Foreign Ministry Spokesperson Lin Jian’s Regular Press Conference on November 18, 2024",https://www.fmprc.gov.cn/mfa_eng/xw/fyrbt/202411/t20241118_11528465.html,"At the invitation of Premier of the State Council Li Qiang, Prime Minister of the Independent State of Samoa Fiame Naomi Mata'afa will pay...",0.517,NEGATIVE,0.58,0.5,POSITIVE,0.98
11/21/2024,BBC,Chinese farmer has near miss with tiger,https://www.bbc.com/news/videos/cjdlgnzpm2mo,"Surveillance footage captured the moment a Siberian tiger rammed into a farm gate, moments after a man closed it. News website China Daily...",0.502,NEGATIVE,0.998,0.519,POSITIVE,0.956
11/21/2024,POLITICO.eu,Even higher China tariffs,https://www.politico.eu/newsletter/china-watcher/even-higher-china-tariffs/,"Hi, China Watchers. Today we look at draft U.S. legislation that would impose sky-high tariffs on Chinese imports and detail Texas' efforts...",0.546,NEGATIVE,0.95,0.525,NEGATIVE,0.907
11/21/2024,The Guardian,‘Resurgence’ in China aid to Pacific amid tussle with US for influence,https://www.theguardian.com/world/2024/nov/21/china-pacific-islands-aid-us-relationship-influence,"Thinktank's report says Beijing has emerged from Covid-induced lull with a 'more competitive, politically targeted model' of engagement in...",0.522,NEGATIVE,0.878,0.53,POSITIVE,0.611
11/21/2024,Financial Times,China’s solar stranglehold and Taiwan’s AI aims,https://www.ft.com/content/fa118345-987a-43b3-8d0c-839acd4f0a8c,"The inside story on the Asia tech trends that matter, from Nikkei Asia and the Financial Times.",0.557,POSITIVE,0.74,0.506,POSITIVE,0.904
11/18/2024,BBC,What is behind Keir Starmer's meeting with China's president?,https://www.bbc.com/news/articles/c0rgx9vrv18o,The PM wants to improve UK-Chinese relations but the re-election of Donald Trump could hinder his efforts.,0.521,NEGATIVE,0.991,0.519,POSITIVE,0.916
11/21/2024,Financial Times,Jimmy Lai case tests red lines of UK-China relations,https://www.ft.com/content/c7958ea4-9456-42bb-96c0-71947ea2cc12,British national's supporters hope human rights will be prioritised over UK push for strong relationship with Beijing.,0.514,POSITIVE,0.926,0.507,POSITIVE,0.958
11/18/2024,BBC,"UK wants 'strong' relationship with China, says Keir Starmer",https://www.bbc.com/news/articles/c1dp6wgk72ro,"Sir Keir Starmer has met President Xi Jinping at the G20 summit, and emphasised the importance of a ""strong UK-China relationship"" for both...",0.551,NEGATIVE,0.962,0.519,POSITIVE,0.913
11/19/2024,Financial Times,China rushes to connect with potential Trump officials,https://www.ft.com/content/38a01943-9d6f-4074-99d6-12971fc1a2f6,China's ambassador to the US has been rushing to connect with potential Trump administration officials after several years of struggling to...,0.519,NEGATIVE,0.872,0.507,POSITIVE,0.804
11/20/2024,Financial Times,Chinese vessel spotted where Baltic Sea cables were severed,https://www.ft.com/content/383516a5-02db-46cf-8caa-a7b26a0a1bb2,"Investigators of two severed data cables in the Baltic Sea are looking at the movements of a Chinese bulk carrier, the second such probe in...",0.504,NEGATIVE,0.998,0.506,POSITIVE,0.93
11/21/2024,Financial Times,Chinese satellite company to challenge Elon Musk’s Starlink in Brazil,https://www.ft.com/content/af680581-9944-40aa-aeeb-30bc6a302aca,"A Chinese state-backed company plans to launch a satellite service to compete with Elon Musk's Starlink in Brazil, in the latest challenge...",0.597,POSITIVE,0.738,0.507,POSITIVE,0.869
11/18/2024,Financial Times,"If China’s statistics can’t be scrutinised, doubts about the economy will only grow",https://www.ft.com/content/de9af759-2b94-4b7e-98e4-42698900efeb,"The writer is an independent commercial arbitrator with Arbitration Chambers in Hong Kong. China's official statistics, particularly its...",0.506,NEGATIVE,0.976,0.507,POSITIVE,0.739
11/19/2024,Financial Times,Britain needs a coherent China strategy,https://www.ft.com/content/b9504882-516a-4689-a552-9b8e6a49a046,"The handshake with which Xi Jinping, China's leader, greeted UK Prime Minister Sir Keir Starmer on Monday was anything but warm.",0.539,NEGATIVE,0.997,0.507,POSITIVE,0.885
11/21/2024,Reuters,"China crude oil imports set for November rebound, but it's price not demand",https://www.reuters.com/markets/commodities/china-crude-oil-imports-set-november-rebound-its-price-not-demand-russell-2024-11-21/,"China's crude imports are on track to rebound in November to the highest in three months, but the increasing appetite of the world's largest...",0.542,NEGATIVE,0.994,0.534,NEGATIVE,0.908
11/21/2024,SentinelOne,DPRK IT Workers | A Network of Active Front Companies and Their Links to China,https://www.sentinelone.com/labs/dprk-it-workers-a-network-of-active-front-companies-and-their-links-to-china/,SentinelLabs has identified multiple deceptive websites linked to businesses in China fronting for North Korea's fake IT workers scheme.,0.534,POSITIVE,0.989,0.525,POSITIVE,0.851
11/21/2024,Lowy Institute,"Will North Korea annoy China, having sent troops to fight alongside Russia?",https://www.lowyinstitute.org/the-interpreter/will-north-korea-annoy-china-having-sent-troops-fight-alongside-russia,"A month after the first report on North Korean troops being deployed to Russia, the United States and South Korea have confirmed that these...",0.531,NEGATIVE,0.998,0.52,NEGATIVE,0.999
11/19/2024,Sky News,Over 100 politicians from multiple countries condemn China over detention of tycoon Jimmy Lai,https://news.sky.com/story/over-100-politicians-from-multiple-countries-condemn-china-over-detention-of-tycoon-jimmy-lai-13256499,"More than 100 politicians from 24 different countries, including the UK, the US and the EU, have written a joint letter condemning China...",0.516,NEGATIVE,0.997,0.52,NEGATIVE,0.999
11/19/2024,BBC,Popular weight-loss drug Wegovy goes on sale in China,https://www.bbc.com/news/articles/c7487y7x0vwo,"There are 180 million people living with obesity in China, who will now be able to purchase the treatment.",0.519,NEGATIVE,0.54,0.519,POSITIVE,0.876
11/19/2024,Financial Times,The global race to break China’s grip on graphite,https://www.ft.com/content/b6a5e923-3eb2-4f8a-9b4f-c24999cdfa8c,A new facility in Malaysia takes a novel approach to creating the crucial material for electric vehicle batteries.,0.523,NEGATIVE,0.904,0.506,POSITIVE,0.947
11/18/2024,Financial Times,Keir Starmer promises better UK relations with China after Xi Jinping meeting,https://www.ft.com/content/c19636bf-8777-4db7-94df-936ff0276b2c,"UK Prime Minister Sir Keir Starmer has met China's President Xi Jinping, promising to build relations between the two countries that are...",0.52,NEGATIVE,0.992,0.507,POSITIVE,0.939
11/19/2024,Financial Times,EU to demand technology transfers from Chinese companies,https://www.ft.com/content/f4fd3ccb-ebc4-4aae-9832-25497df559c8,Brussels is planning to force Chinese companies to transfer intellectual property to European businesses in return for EU subsidies as part...,0.573,POSITIVE,0.68,0.507,POSITIVE,0.985
11/21/2024,Bloomberg.com,Odd Arne Westad on how China First Joined the Global Capitalist Economy,https://www.bloomberg.com/news/audio/2024-11-21/odd-lots-how-china-joined-the-capitalist-economy-podcast,"How did China become the economic behemoth that it is today? One pivotal moment was, obviously, it's ascension into the WTO.",0.53,POSITIVE,0.969,0.517,NEGATIVE,0.56
11/19/2024,The Guardian,"China and India should not be called developing countries, several Cop29 delegates say",https://www.theguardian.com/environment/2024/nov/19/china-india-developing-countries-cop29-climate-talks,Delegates from poorer nations say classifications that date back to 1992 are obsolete and two countries 'should be contributing',0.531,NEGATIVE,0.997,0.525,NEGATIVE,0.8
11/19/2024,Carbon Brief,Analysis: China’s emissions have now caused more global warming than EU,https://www.carbonbrief.org/analysis-chinas-emissions-have-now-caused-more-global-warming-than-eu/,"China's historical emissions have now caused more global warming than the 27 member states of the EU, according to Carbon Brief analysis.",0.525,NEGATIVE,0.902,0.516,NEGATIVE,0.944
11/20/2024,Nature,How ‘Made in China 2025’ helped supercharge scientific development in China’s cities,https://www.nature.com/articles/d41586-024-03522-y,"The policy has boosted tech transfer and economic growth in some regions, but challenges remain around innovation in key technologies.",0.521,POSITIVE,0.981,0.505,POSITIVE,0.995
11/18/2024,Financial Times,Why Labour will struggle to reset the UK-China relationship,https://www.ft.com/content/a1cc706a-0766-4738-9553-1c6e25a402c2,This article is an on-site version of our Inside Politics newsletter. Subscribers can sign up here to get the newsletter delivered every...,0.523,NEGATIVE,0.936,0.509,POSITIVE,0.834
11/21/2024,Reuters,China announces policy measures to boost trade amid worries over Trump tariffs,https://www.reuters.com/world/china/china-announces-policy-measures-boost-trade-amid-worries-over-trump-tariffs-2024-11-21/,"China's commerce ministry on Thursday announced a series of policy measures aimed at boosting the country's foreign trade,...",0.516,NEGATIVE,0.997,0.525,NEGATIVE,0.846
11/21/2024,The Independent,Chinese Pizza Hut launches deep fried frog pizza for a limited time,https://www.independent.co.uk/life-style/china-pizza-hut-frog-fried-new-menu-b2650994.html,"China's Pizza Hut franchise is serving customers deep-fried frogs on top of their pies. David Henke, a global food trendwatcher and industry...",0.511,NEGATIVE,0.992,0.537,NEGATIVE,0.748
11/21/2024,The Business of Fashion,Temu Owner PDD’s Sales Slow Sharply After China Market Sputters,https://www.businessoffashion.com/news/retail/temu-owner-pdds-sales-slow-sharply-after-china-market-sputters/,PDD Holdings missed third-quarter revenue and profit estimates as a price war and sluggish consumer confidence in China weighed on its...,0.592,NEGATIVE,0.999,0.567,NEGATIVE,0.999
11/20/2024,Financial Times,China’s economy braces for Trump,https://www.ft.com/content/2e184d12-5b2d-4bc4-960e-9bea27483a7d,"Lately, China's economy has been in the doldrums, with the risk of a “deflationary spiral” lurking. Plus, toss in the election of Donald...",0.502,NEGATIVE,0.929,0.506,POSITIVE,0.794
11/18/2024,中华人民共和国外交部,Xi Jinping Arrives in Rio de Janeiro to Attend the 19th G20 Summit and Pay a State Visit to Brazil,https://www.fmprc.gov.cn/mfa_eng/xw/zyxw/202411/t20241118_11528456.html,"On the afternoon of November 17, 2024 local time, President Xi Jinping arrived in Rio de Janeiro by special plane to attend the 19th G20...",0.502,POSITIVE,0.981,0.5,POSITIVE,0.98
11/21/2024,Reuters,China claims 'wipe-out' of large telecom fraud centres in northern Myanmar,https://www.reuters.com/world/asia-pacific/china-claims-wipe-out-large-telecom-fraud-centres-northern-myanmar-2024-11-21/,"China and Myanmar's law enforcement agencies have ""wiped out"" all large-scale telecom fraud centres operating in northern Myanmar,...",0.518,NEGATIVE,0.999,0.525,NEGATIVE,0.987
11/20/2024,Nature,China’s regional cities are now major players in world science,https://www.nature.com/articles/d41586-024-03523-x,Provincial capitals such as Hefei are outscoring some established science cities in the Nature Index — here's why.,0.525,POSITIVE,0.999,0.506,POSITIVE,0.995
11/16/2024,Sky News,China: Eight dead and 17 injured after 'student carries out stabbing attack',https://news.sky.com/story/china-eight-dead-and-17-injured-after-student-carries-out-stabbing-attack-13255184,Authorities said the 21-year-old student is alleged to have went on a stabbing spree in the eastern Chinese city of Wuxi.,0.511,NEGATIVE,0.999,0.518,NEGATIVE,0.998
