Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/21/2024,Financial Times,Japan urgently needs to plug its CFO deficit,https://www.ft.com/content/7f9dafb6-18e9-4e47-a860-0dd7262a01fb,"Over the past 10, eye-straining years, annual Japanese imports of contact lenses have soared by more than 60 per cent.",0.509,NEGATIVE,0.984,0.508,POSITIVE,0.944
11/19/2024,BBC,Why nudity is a rule in Japan's traditional onsens,https://www.bbc.com/reel/video/p0k5bb5w/why-nudity-is-a-rule-in-japan-s-traditional-onsens,"Japan's popular hot spring baths come with a unique requirement, full nudity for anyone entering the onsen.",0.505,NEGATIVE,0.836,0.507,NEGATIVE,0.929
11/21/2024,Sporting Life,Auguste Rodin and Goliath head European raid on Japan Cup,https://www.bbc.com/sport/rugby-union/articles/c98erp7emrmo,John Ingles looks at a strong challenge from Europe for Sunday's Japan Cup which last went overseas in 2005.,0.517,NEGATIVE,0.528,0.504,POSITIVE,0.936
11/21/2024,The Register,"Put your usernames and passwords in your will, advises Japan's government",https://www.skysports.com/rugby-union/video/33732/13258025/england-v-japan-steve-borthwicks-pivotal-match-against-eddie-jones,"Japan's National Consumer Affairs Center on Wednesday suggested citizens start ""digital end of life planning"" and offered tips on how to do...",0.509,POSITIVE,0.971,0.506,POSITIVE,0.977
11/21/2024,Japan Today,"Japan ramps up tech ambitions with ¥10 tril for AI, chips",https://www.espn.co.uk/rugby/story/_/id/42519608/england-vs-japan-tom-curry-working-tackling-technique-avoid-head-injuries,Japan is readying a big push in microchips and artificial intelligence aimed at reclaiming its status as a global tech leader and meeting...,0.549,POSITIVE,0.66,0.517,POSITIVE,0.968
11/21/2024,Speedhunters,Patrolling Japan’s Expressways In A Porsche 912 Police Car,https://www.ruck.co.uk/fin-smith-finally-involved-prediction-steve-borthwicks-england-team-to-play-japan-autumn-nations-series/,"Explore the story of Japan's Porsche 912 patrol cars, which policed expressways from 1968 to 1974.",0.498,POSITIVE,0.985,0.508,POSITIVE,0.933
11/21/2024,Daily Mail,"American father, 65, arrested in Japan after carving his family's names into wooden shrine with his pinky nail",https://www.sportinglife.com/racing/news/auguste-rodin-and-goliath-head-european-raid-on-japan-cup/221956,"Steven Lee Hayes, 65, was arrested on November 13 for allegedly carving his family members' names into Tokyo's Meiji Shrine with his...",0.504,NEGATIVE,0.993,0.519,POSITIVE,0.992
11/21/2024,Sky Sports,England vs Japan: Cadan Murley and Tom Curry called up for Test against Japan in Autumn Nations Series,https://euroweeklynews.com/2024/11/20/japans-26bn-discovery/,England conclude Autumn Nations Series campaign against Japan at Allianz Stadium on Sunday (4.10pm); Steve Borthwicks side suffered fifth...,0.51,POSITIVE,0.998,0.507,POSITIVE,0.771
11/21/2024,European Bank for Reconstruction and Development (EBRD),"Up to €4 million EBRD, EU and Japan support energy-saving investments in North Macedonia",https://www.joe.co.uk/news/japan-makes-20803631000-discovery-thatll-keep-its-economy-booming-for-a-decade-465325,EBRD loan of up to €4 million for NLB Bank AD Skopje for on-lending to residential sector.,0.561,POSITIVE,0.989,0.52,POSITIVE,0.927
11/21/2024,Toyota Europe Newsroom,Rally Japan: Day 1,https://www.unilad.com/news/world-news/japan-deep-sea-discovery-environmental-impact-564244-20241119,TOYOTA GAZOO Racing World Rally Team has launched its Rally Japan ambitions in the spectacular opening super special inside the Toyota...,0.528,POSITIVE,0.991,0.528,POSITIVE,0.968
