Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/20/2024,CNN,They relocated to Spain six years ago. Now this couple say they’d be ‘very depressed’ if they ever had to move back to the United States,https://www.cnn.com/travel/american-couple-relocated-spain-valencia-malaga/index.html,"Gail and Greg Warner left Florida for a new life in Spain in 2018. The couple say there are some things they can't adjust to, but they're...",0.513,NEGATIVE,0.99,0.507,POSITIVE,0.876
11/20/2024,Financial Times,Spain’s EU commissioner candidate shifts blame for deadly floods,https://www.ft.com/content/de66fbc2-db48-42e8-953e-94e1af8dab3b,Teresa Ribera succeeds in securing Brussels job despite recriminations over role as Spanish environment minister.,0.499,NEGATIVE,0.994,0.507,POSITIVE,0.871
11/20/2024,Sky News,Spain floods: Gruelling cleanup in town still haunted by the ghosts of deadly floods,https://news.sky.com/story/spain-floods-gruelling-cleanup-in-town-still-haunted-by-the-ghosts-of-deadly-floods-13257459,Catarroja in Valencia province was ravaged by deadly floods which hit Spain at the end of October. Volunteers are helping with the...,0.503,NEGATIVE,0.539,0.511,NEGATIVE,0.937
11/20/2024,inews.co.uk,Spain abandoned plans to reduce flood risk in aim to cut spending,https://news.sky.com/story/spain-to-legalise-about-300-000-undocumented-migrants-a-year-13257320,"The devastation seen in Valencia could have been reduced if flood proposals suggested years ago had been carried out, experts have said.",0.505,NEGATIVE,0.998,0.576,NEGATIVE,0.936
11/20/2024,Murcia Today,Spain announces big changes to motorway driving from 2025,https://www.reuters.com/world/europe/spain-regularise-about-300000-undocumented-migrants-per-year-2024-11-19/,"So far, 2024 has been a fairly quiet year when it comes to the ever-changing traffic laws in Spain but with just a few weeks left,...",0.508,POSITIVE,0.948,0.58,POSITIVE,0.91
11/20/2024,Daily Express,'Panic' in Spain as EU law could kill big city's plans to 'keep tourists out’,https://abcnews.go.com/International/wireStory/spain-legalize-hundreds-thousands-undocumented-migrants-3-years-116044490,Spain's plan to ban 10000 holiday lets in Barcelona in the next five years could be scuppered as Airbnb pushes back over a breach of EU law.,0.517,NEGATIVE,0.999,0.511,NEGATIVE,0.803
11/19/2024,Chelsea Football Club,Internationals: Blues help England and Spain move closer to Under-19 Euros | News | Official Site,https://www.voanews.com/a/spain-will-legalize-hundreds-of-thousands-of-undocumented-migrants/7870581.html,"Several young Blues were involved as England cruised into the next round of qualifying for the European Under-19 Championship undefeated,...",0.521,POSITIVE,0.955,0.501,NEGATIVE,0.584
11/19/2024,GOV.UK,"Joint Declaration by the Foreign Ministers of Germany, France, Poland, Italy, Spain and the United Kingdom in Warsaw, 19 November",https://inews.co.uk/news/world/spain-plans-prevent-flooding-abandoned-spending-3389120,"We, the Foreign Ministers of France, Germany, Italy, Poland, Spain and the United Kingdom, have come together today, recognizing that our...",0.509,POSITIVE,0.983,0.529,NEGATIVE,0.768
11/20/2024,European Civil Protection and Humanitarian Aid Operations,Flash floods in Spain: joining forces for rapid recovery,https://murciatoday.com/spain-announces-big-changes-to-motorway-driving-from-2025_1000161444-a.html,"In late October 2024, a high-altitude isolated depression (DANA in Spanish) struck eastern Spain, bringing severe weather,...",0.503,POSITIVE,0.996,0.51,NEGATIVE,0.619
11/20/2024,London Evening Standard,Davis Cup Finals LIVE! Spain knocked out to end Nadal's career,https://www.express.co.uk/news/world/1978600/panic-spain-eu-law-kill-city-plans-tourists-barcelona,Davis Cup Finals LIVE! Rafael Nadal on Tuesday night bid an emotional farewell to tennis as Spain were knocked out of the Davis Cup by...,0.507,POSITIVE,0.97,0.524,NEGATIVE,1.0
11/20/2024,France 24,Under-fire Spain minister defends agencies' role in floods,https://www.chelseafc.com/en/news/article/internationals-england-and-spain-step-closer-to-under-19-euros,"Spain's under-fire ecological transition minister, a candidate for a top European Commission post, said Wednesday that questioning the role...",0.499,POSITIVE,0.874,0.517,NEGATIVE,0.57
11/20/2024,Broadband TV News,24-hour news channel Actualidad 360 launches in Spain,https://www.espn.co.uk/tennis/story/_/id/42492215/rafael-nadal-career-ends-spain-eliminated-davis-cup,"Love TV Channels, a Spanish start-up specialised in the production of thematic channels, has launched a new TV channel, Actualidad 360.",0.516,POSITIVE,0.905,0.507,NEGATIVE,0.798
11/20/2024,BBC,Rafael Nadal retires: What the 22-time Grand Slam champion means to Spain,https://www.bbc.com/sport/tennis/articles/c0k82v4n25vo,"Rafael Nadal retires from professional tennis after a 23-year career like no other. On a night of gratitude and grief, Spain led the world...",0.509,NEGATIVE,0.859,0.506,POSITIVE,0.922
11/20/2024,The Independent,Nadal beaten in potential Davis Cup farewell - live updates,https://www.standard.co.uk/sport/tennis/rafael-nadal-retires-tennis-spain-davis-cup-b1195040.html,The hosts fell behind in their quarter-final after Nadal was beaten in straight sets by Botic van de Zandschulp.,0.507,NEGATIVE,0.998,0.508,NEGATIVE,0.951
11/20/2024,AP News,"Spain to grant residency, work permits to hundreds of thousands of migrants in the country illegally",https://www.theguardian.com/sport/2024/nov/19/rafael-nadal-davis-cup-finals-tennis-spain-netherlands-farewell,Spain will grant residency and work permits to about 300000 migrants in the country illegally each year for the next three years.,0.499,NEGATIVE,0.863,0.506,NEGATIVE,0.996
11/20/2024,Al Jazeera,Retiring Rafael Nadal’s career ends as Spain is ousted at Davis Cup,https://www.google.com/search?q=Spain&sca_esv=7007c42d54e7c1db&biw=929&bih=865&tbm=nws&story=Gi8SLVJhZmFlbCBOYWRhbCB0byByZXRpcmUgYWZ0ZXIgRGF2aXMgQ3VwIGZpbmFsczIxCieV-9qe3bmdu6gB7fGN2Oytt894opK8h6XxlPGYAdKa3JG75KuawwEQx6_t3AwYBXICEAI&fcs=ACgqzec0JN2nUrzl3vZ-CsMmYZLHZ6OSaw&sa=X&ved=2ahUKEwiL073fheyJAxWzX0EAHU5rJE8Q7IUHegQIHBAF,Nadal's superlative career was celebrated in front of his home crowd after Netherlands upset Spain in the Davis Cup.,0.5,POSITIVE,0.694,0.503,POSITIVE,0.971
11/18/2024,BBC,"Spain find late winner to edge Switzerland in the Nations League, while Denmark claim last-eight spot",https://www.gov.uk/government/news/joint-declaration-by-the-foreign-ministers-of-germany-france-poland-italy-spain-and-the-united-kingdom-in-warsaw-19-november,"Spain score a dramatic late winner to edge Switzerland in the Nations League, while Denmark also reach the last eight.",0.515,NEGATIVE,0.671,0.515,POSITIVE,0.588
11/18/2024,The Home of Rugby League,England Wheelchair squads announced to play France & Spain,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/stories/flash-floods-spain-joining-forces-rapid-recovery_en,Adam Rigby of Wigan Warriors has been appointed to captain an England Wheelchair team including three debutants in Thursday's international against Spain in...,0.514,NEGATIVE,0.571,0.506,NEGATIVE,0.534
11/20/2024,France 24,Spain's Mata joins owners group of new San Diego MLS team,https://www.standard.co.uk/sport/tennis/davis-cup-finals-2024-live-nadal-spain-vs-netherlands-latest-score-updates-alcaraz-b1194936.html,"Spanish World Cup winner Juan Mata has joined the ownership group for San Diego FC, the MLS expansion team making its debut next year,...",0.572,POSITIVE,0.967,0.51,NEGATIVE,0.698
11/20/2024,Sky News,Spain floods: Inside 'hellish' Valencia underground car park,https://www.france24.com/en/live-news/20241120-under-fire-spain-minister-defends-agencies-role-in-floods,"Adam Parsons reports from an underground car park in Valencia, that is ""full of mud and abandoned cars"", following the severe floods that...",0.501,NEGATIVE,0.995,0.508,NEGATIVE,0.905
