Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/30/2024,Wccftech,Apple CEO Tim Cook Was Unimpressed With Intel’s Chipmaking Services In 2011 Reveals TSMC Founder,https://wccftech.com/apple-ceo-tim-cook-was-unimpressed-with-intels-chipmaking-services-in-2011-reveals-tsmc-founder/,Apple. CEO Tim Cook did not think that Intel was a good OEM in 2011 when he was negotiating with TSMC to make the iPhone's processors.,0.544,NEGATIVE,0.949,0.537,NEGATIVE,0.998
12/3/2024,TrendForce,[News] These Advanced 12-Inch Wafer Fabs Enter a New Stage,https://www.trendforce.com/news/2024/12/03/news-these-advanced-12-inch-wafer-fabs-enter-a-new-stage/,"TSMC: Steady Progress in Advanced Nodes, Reduced Revenue Share from Mature Nodes On November 26, TSMC held an equipment installation cere...",0.576,POSITIVE,0.998,0.557,POSITIVE,0.945
12/3/2024,Wccftech,Intel’s Race For “CEO Succession” Begins; Names Such As TSMC’s Former CEO Mark Liu & Ex-AMD Victor Peng Starts Popping Up,https://wccftech.com/intels-race-for-ceo-succession-begins-names-such-as-tsmcs-former-ceo-mark-liu-ex-amd-victor-peng-starts-popping-up/,"Intel is rumored to have contacted former TSMC CEO Mark Liu to replace Pat Gelsinger, fueling the ""buzz"" around the next CEO.",0.536,NEGATIVE,0.994,0.538,NEGATIVE,0.845
12/2/2024,TrendForce,"[News] NVIDIA’s Drive Thor Chips Set for Robust Growth in 2025, with TSMC and MediaTek Poised to Benefit",https://www.trendforce.com/news/2024/12/02/news-nvidias-drive-thor-chips-set-for-robust-growth-in-2025-with-tsmc-and-mediatek-poised-to-benefit/,"While NVIDIA may be better known for its latest advancements in AI accelerators such as Blackwell, the tech giant's automotive chips are...",0.533,POSITIVE,0.963,0.531,NEGATIVE,0.798
11/26/2024,The Information,TSMC’s Push to Be Tech’s Switzerland in Doubt as U.S.-China Tensions Grow,https://www.theinformation.com/articles/tsmcs-push-to-be-techs-switzerland-in-doubt-as-u-s-china-tensions-grow,"If Taiwan Semiconductor Manufacturing Co. had its way, the chip manufacturing powerhouse would be a neutral party in the battle between the...",0.511,NEGATIVE,0.989,0.51,NEGATIVE,0.988
11/26/2024,Tom's Hardware,"TSMC 1.6nm update: Tangible improvements, but new challenges emerge",https://www.tomshardware.com/tech-industry/tsmc-1-6nm-update-tangible-improvements-but-new-challenges-emerge,"TSMC's A16 SPR with backside power delivery network is on track for production in late 2026, but while BSPDN solves some problems it...",0.551,POSITIVE,0.761,0.543,POSITIVE,0.978
11/29/2024,MacRumors,Apple Orders M5 Chips From TSMC Ahead of Late 2025 Production,https://www.macrumors.com/2024/11/29/apple-orders-m5-chips-from-tsmc/,"Apple has ordered M5 chips from TSMC as the company begins production development of its next-generation processor for future devices,...",0.534,NEGATIVE,0.959,0.521,NEGATIVE,0.941
11/26/2024,Business Insider,TSMC's Phoenix chip factories likely won't erase the US's reliance on Taiwan,https://www.businessinsider.com/tsmc-us-factories-wont-erase-reliance-taiwan-made-advanced-chips-2024-11,"TSMC's US factories likely won't produce the company's most advanced chips, but the Taiwan factories will.",0.532,NEGATIVE,0.992,0.519,NEGATIVE,0.896
11/29/2024,Reuters,"TSMC founder Morris Chang offered top job to Jensen Huang, memoir shows",https://www.reuters.com/technology/tsmc-founder-morris-chang-offered-top-job-jensen-huang-memoir-shows-2024-11-29/,TSMC's founder Morris Chang asked Nvidia's Jensen Huang to consider becoming the chief executive of the Taiwanese chip giant more than a...,0.505,NEGATIVE,0.553,0.521,NEGATIVE,0.538
11/12/2024,Financial Times,TSMC to close door on producing advanced AI chips for China from Monday,https://www.ft.com/content/a736beeb-b38a-484e-bbe9-98e92ecb66d9,World's biggest contract chipmaker acts to ensure it is in line with US restrictions on Chinese access to latest processors.,0.547,POSITIVE,0.974,0.506,POSITIVE,0.797
12/3/2024,Focus Taiwan,Taiwan shares end sharply higher as TSMC steams further ahead,https://focustaiwan.tw/business/202412030017,"Taipei, Dec. 3 (CNA) Shares in Taiwan extended momentum from a session earlier, moving higher by almost 300 points to close above the 23,000...",0.528,POSITIVE,0.86,0.576,POSITIVE,0.974
12/3/2024,Wccftech,TSMC Founder Had Predicted In 2021 That Intel CEO Would Be Unable To Drive Change At Company,https://wccftech.com/tsmc-founder-had-predicted-in-2021-that-intel-ceo-would-be-unable-to-drive-change-at-company/,TSMC founder Morris Chang had predicted in 2021 that Intel CEO would be too old to drive meaningful change at the company.,0.598,NEGATIVE,0.992,0.579,NEGATIVE,0.992
12/3/2024,DIGITIMES Asia,TSMC presents awards to outstanding suppliers at 2024 supply chain forum,https://www.digitimes.com/news/a20241203PD205/tsmc-2024-supply-chain-supply-capacity.html,"TSMC gathered industry partners at its 2024 Supply Chain Management Forum on December 2, presenting awards to 27 outstanding suppliers,...",0.527,POSITIVE,0.996,0.548,POSITIVE,0.977
12/3/2024,Tom's Hardware,"TSMC engineer boasts of recent 6% boost to 2nm yields, passing 'billions in savings' to customers",https://www.tomshardware.com/tech-industry/tsmc-engineer-boasts-of-recent-6-percent-boost-to-2nm-yields-passing-billions-in-savings-to-customers,"Improving TSMC's N2 yield by 6% could save billions for its customers, says employee.",0.529,POSITIVE,0.996,0.543,POSITIVE,0.962
12/3/2024,TrendForce,[News] TSMC Reportedly Enlists U.S. Legal Experts to Conduct Strict Contract Reviews on 7nm and Below,https://www.trendforce.com/news/2024/12/03/news-tsmc-reportedly-enlists-u-s-legal-experts-to-conduct-strict-contract-reviews-on-7nm-and-below/,"Amid stringent regulations on China's semiconductor development, TSMC is said to be requested by the U.S. to suspend shipments of all its...",0.524,NEGATIVE,0.995,0.524,NEGATIVE,1.0
11/29/2024,The Register,TSMC bets big on 2nm by 2025 – but can it deliver?,https://www.theregister.com/2024/11/29/tsmc_2nm_mass_production/,"analysis Over the last couple of weeks, TSMC's ambitious roadmap for its 2nm manufacturing process has sparked significant attention.",0.529,POSITIVE,0.969,0.511,NEGATIVE,0.785
11/29/2024,Finimize,How Morris Chang Almost Brought Nvidia's Star CEO To TSMC,https://finimize.com/content/how-morris-chang-almost-brought-nvidias-star-ceo-to-tsmc,TSMC founder Morris Chang recounts his friendship with Jensen Huang and their crucial roles in shaping the tech landscape.,0.537,POSITIVE,0.979,0.516,POSITIVE,0.964
11/30/2024,Yahoo Finance,"TSMC Founder Offered Nvidia's Jensen Huang CEO Role Over a Decade Ago, Memoir Reveals",https://finance.yahoo.com/news/tsmc-founder-offered-nvidias-jensen-194955233.html,"Morris Chang, founder of TSMC, offered Nvidia's Jensen Huang the position of TSMC CEO over a decade ago.",0.53,POSITIVE,0.575,0.513,POSITIVE,0.956
12/3/2024,South China Morning Post,Intel CEO Gelsinger forced out as chip giant falls behind Nvidia,https://www.scmp.com/tech/big-tech/article/3289075/intel-ceo-gelsinger-forced-out-chip-giant-falls-behind-nvidia-tsmc,"The company board has lost confidence in Gelsinger's turnaround plan and told him he could retire or be removed, a source says.",0.546,NEGATIVE,1.0,0.537,NEGATIVE,0.997
11/29/2024,TechNode,TSMC considers overseas 2nm production after 2025,https://technode.com/2024/11/29/tsmc-considers-overseas-2nm-production-after-2025/,"TSMC could consider overseas production of 2nm chips after it begins mass production using the process in 2025, Chairman of Taiwan's...",0.509,NEGATIVE,0.988,0.511,NEGATIVE,0.596
12/3/2024,ABC15 Arizona,Three major homebuilders acquire land near TSMC,https://www.abc15.com/news/business/three-major-homebuilders-acquire-land-near-tsmc,"Three major homebuilders have teamed up to buy nearly 300 acres of state land in Peoria. The trio was the sole bidder for the parcel,...",0.518,POSITIVE,0.94,0.543,POSITIVE,0.89
11/12/2024,Capacity Media,US orders TSMC to halt shipments of 7nm AI chips to China: report,https://www.capacitymedia.com/article/us-orders-tsmc-to-halt-shipments-of-7nm-ai-chips-to-china-report,Taiwan Semiconductor Manufacturing Co. (TSMC) has been ordered to halt shipments of AI-related chips to Chinese customers by US export...,0.558,NEGATIVE,0.999,0.542,NEGATIVE,0.998
12/3/2024,TheStreet Pro,"TSMC Ties With Nvidia, Apple to Grow as U.S.-China Chip War Intensifies",https://pro.thestreet.com/market-commentary/tsmc-ties-with-nvidia-apple-to-grow-as-u-s-china-chip-war-intensifies,"Chinese tech stocks dipped after the latest U.S. curbs on high-end chips, a move that should guide the stance of the Trump administration.",0.535,POSITIVE,0.912,0.541,NEGATIVE,0.585
11/19/2024,Financial Times,TSMC secures $11.6bn in funding as US Chips Act faces uncertain future,https://www.ft.com/content/a250d87c-8e74-47ad-a981-d6ee0faf3358,"The deal with the world's biggest chipmaker, which includes up to $6.6bn in grants and up to $5bn in loans, is the first major award under the...",0.516,POSITIVE,0.65,0.507,POSITIVE,0.835
12/3/2024,DIGITIMES Asia,"Biden's final chip salvo hits China: TSMC steady, UMC-VIS gain",https://www.digitimes.com/news/a20241203PD203/tsmc-umc-vis-equipment-ban.html,"The US government is preparing to expand restrictions on semiconductor equipment and related chip sales to China, particularly targeting AI...",0.52,POSITIVE,0.996,0.522,POSITIVE,0.581
11/29/2024,TrendForce,[News] TSMC Could Begin 2nm Chip Production in the U.S. No Earlier than 2028,https://www.trendforce.com/news/2024/11/29/news-tsmc-could-begin-2nm-chip-production-in-the-u-s-no-earlier-than-2028/,"The U.S. government's efforts to boost domestic semiconductor manufacturing continue to gain momentum. According to a report from TechNews,...",0.524,NEGATIVE,0.665,0.525,NEGATIVE,0.984
12/3/2024,DIGITIMES Asia,Five crises facing Intel amid CEO departure; board rumored to consider former TSMC executive for top role,https://www.digitimes.com/news/a20241203PD210/intel-ceo-pat-gelsinger-tsmc-ic-manufacturing.html,"Intel's CEO Pat Gelsinger has announced his retirement, effective December 1, amid the company's struggles with design and manufacturing...",0.526,NEGATIVE,0.991,0.53,POSITIVE,0.862
11/29/2024,Yahoo Finance,TSMC Founder: Nvidia CEO Refused Leadership Role in Just 10 Minutes,https://finance.yahoo.com/news/tsmc-founder-nvidia-ceo-refused-151320932.html,"TSMC founder reveals Nvidia CEO turned down leadership offer, highlights decades-long friendship and industry insights.",0.536,NEGATIVE,0.997,0.537,NEGATIVE,0.758
12/3/2024,GuruFocus,Mixed Performance for Chinese Stocks; Notable Gains for TSMC and Miniso,https://www.gurufocus.com/news/2620585/mixed-performance-for-chinese-stocks-notable-gains-for-tsmc-and-miniso,"On Monday, Chinese stocks showed mixed results. The Nasdaq Golden Dragon China Index (HXC) rose by 0.98%.",0.521,POSITIVE,0.565,0.523,NEGATIVE,0.946
12/2/2024,DIGITIMES Asia,"TSMC evolves CoWoS technology, to challenge 9x reticle sizes in 2027",https://www.digitimes.com/news/a20241202PD210/tsmc-cowos-technology-performance-2027.html,TSMC announced at the Open Innovation Platform (OIP) Ecosystem Forum in Europe that its CoWoS packaging technology will achieve...,0.531,POSITIVE,0.994,0.537,POSITIVE,0.989
12/2/2024,The Motley Fool,"What Intel, Qualcomm, TSMC, and Other Semiconductor Investors Need to Know About Recent Updates",https://www.fool.com/investing/2024/12/02/what-intel-qualcomm-tsmc-and-other-semiconductor-i/,You're reading a free article with opinions that may differ from The Motley Fool's Premium Investing Services. Become a Motley Fool member...,0.531,POSITIVE,0.986,0.521,NEGATIVE,0.972
12/2/2024,Fudzilla,TSMC ahead with its 2nm production,https://fudzilla.com/news/60176-tsmc-ahead-with-its-2nm-production,Installed six months early TSMC's flashy new 2nm fab in Kaohsiung has just hit a massive milestone with an equipment installation ceremony...,0.526,POSITIVE,0.999,0.529,POSITIVE,0.994
12/2/2024,DIGITIMES Asia,Trump's America First raises stakes for TSMC's advanced processes,https://www.digitimes.com/news/a20241129PD206/donald-trump-tsmc-2025-taiwan-production.html,"President-elect Donald Trump, who will take office on January 20, 2025, has voiced strong criticism of the Biden administration's CHIPS Act...",0.534,POSITIVE,0.953,0.515,POSITIVE,0.922
11/5/2024,Financial Times,TSMC profits jump 54% on back of AI chip boom,https://www.ft.com/content/164dfcc2-1d1d-4de6-bfba-7d346a9f8bab,World's biggest chipmaker says demand has recovered across all segments despite fears of industry slump.,0.555,NEGATIVE,0.935,0.506,POSITIVE,0.844
