Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/25/2024,Investing.com,"Scott Bessent, retail sector, UniCredit's purchase - what's moving markets",https://www.ft.com/content/37eca3f4-ed3d-4ccc-ae71-86312d156f35,"Scott Bessent, retail sector, UniCredit's purchase - what's moving markets.",0.529,POSITIVE,0.793,0.506,POSITIVE,0.994
11/25/2024,Finimize,UniCredit Launches Bold Bid For Banco BPM In Industry Shake-Up,https://www.cnbc.com/2024/11/25/unicredit-offers-to-buy-rival-italian-lender-banco-bpm-for-10point5-billion.html,The merger aims to enhance UniCredit's market share in northern Italy while realizing significant financial benefits.,0.512,NEGATIVE,0.962,0.52,NEGATIVE,0.986
11/25/2024,Banking Dive,Italy’s UniCredit to buy domestic rival Banco BPM in €10.1B deal,https://www.ft.com/content/fe9e4222-264f-4de3-804e-6daec78ca98b,The move pauses speculation that UniCredit was considering a bid for Commerzbank. It also foils a plan by the Italian government to boost...,0.529,NEGATIVE,0.957,0.506,POSITIVE,0.912
11/25/2024,FinTech Alliance,UniCredit Proposes $10.5 Billion Acquisition of Banco BPM,https://www.reuters.com/business/finance/italys-unicredit-offers-buy-banco-bpm-1057-bln-2024-11-25/,"Italian banking giant UniCredit has offered $10.5 billion to acquire Banco BPM, Italy's third-largest bank. The proposal aligns with...",0.533,NEGATIVE,0.998,0.543,NEGATIVE,0.806
11/25/2024,AML Intelligence,LATEST: EU court dismisses UniCredit claim over Russia in initial win for ECB,https://www.wsj.com/business/deals/unicredit-launches-11-billion-all-share-offer-for-banco-bpm-a8933824,THE EU's General Court has rejected UniCredit's request to suspend a European Central Bank order to scale back its presence in Russia.,0.52,NEGATIVE,0.964,0.549,POSITIVE,0.724
11/25/2024,Daily Sabah,UniCredit bids $10.5B for rival Banco BPM after Commerzbank move | Daily Sabah,https://finance.yahoo.com/news/unicredit-ceo-not-surprised-governments-195058047.html,"Italy's second-largest bank, UniCredit, said Monday it had bid 10.1 billion euros ($10.5 billion) in an all-share deal for smaller domestic...",0.501,NEGATIVE,0.993,0.525,NEGATIVE,0.907
11/25/2024,International Finance Corporation (IFC),IFC Partners with UniCredit Bank to Boost Access to Climate Finance in Romania,https://www.bloomberg.com/news/articles/2024-11-25/unicredit-launches-takeover-bid-for-domestic-rival-banco-bpm,"A new IFC investment in senior bonds issued by UniCredit Bank S.A., the Romanian subsidiary of UniCredit S.p.A., representing the first tranche of the total...",0.515,POSITIVE,0.959,0.511,NEGATIVE,0.888
11/25/2024,TheBanker.com,Banco BPM merger would boost UniCredit’s position among largest EU banks,https://www.euronews.com/business/2024/11/25/unicredit-makes-surprise-offer-for-italian-rival-banco-bpm,UniCredit's acquisition streak adds a new chapter with bid for rival Italian lender.,0.518,POSITIVE,0.791,0.534,POSITIVE,0.729
11/25/2024,Financial News London,UniCredit bids €10.1bn to buy rival Banco BPM amid Commerzbank talks,https://www.marketwatch.com/story/unicredit-makes-10-1-billion-bid-for-banco-bpm-e8e3de21,UniCredit has made an offer to acquire domestic rival Banco BPM in a €10.1bn all-stock deal that would create a major Italian bank with broader European...,0.517,NEGATIVE,0.982,0.514,NEGATIVE,0.952
11/25/2024,Best Execution,UniCredit could rebuild fund business with Banco BPM acquisition,https://www.google.com/search?q=Unicredit&sca_esv=a67a64356a29d00d&biw=929&bih=865&tbm=nws&story=GhcSFVVuaUNyZWRpdCBiaWQgZm9yIEJQTTIxCifZzLGg1bX_rOsBjPzjiqWO_8j3AcSZ6LPBjN_u8gGNvLCBkIXr7wUQ6ffR5AwYBXICEAI&fcs=ACgqzedVVlz0vB1rHJ74NdpYQOlLeMlVXg&sa=X&ved=2ahUKEwj1_f3jofmJAxVXWUEAHQZlNocQ7IUHegQICBAF,"For the first time since selling its asset management arm to French fund management giant Amundi seven years ago, Unicredit will now have a...",0.559,NEGATIVE,0.999,0.503,POSITIVE,0.956
11/25/2024,Reuters,Italian politicians take dim view of UniCredit bid for Banco BPM,https://www.investing.com/news/economy/scott-bessent-retail-sector-unicredits-purchase--whats-moving-markets-3738741,Italy reserves the right to use its golden power legislation aimed at shielding strategic assets in regards to UniCredit's plans to take...,0.502,NEGATIVE,0.997,0.527,POSITIVE,0.939
11/25/2024,TheBanker.com,UniCredit offers €10bn for rival Banco BPM; Barclays fined £40mn over ‘reckless’ capital raising,https://finimize.com/content/unicredit-launches-bold-bid-for-banco-bpm-in-industry-shake-up,"Italy's UniCredit has launched a €10bn all-share bid for its smaller rival Banco BPM, in its latest move to strengthen its domestic presence...",0.504,NEGATIVE,0.99,0.514,NEGATIVE,0.951
11/25/2024,Financial Times,UniCredit’s Orcel is just working the angles on European bank mergers,https://www.bankingdive.com/news/unicredit-banco-bpm-italy-orcel-commerzbank-anima-monte-paschi-siena/733925/,Lowball offer for BPM is unlikely to succeed but gives UniCredit's chief room for manoeuvre.,0.526,NEGATIVE,0.749,0.509,NEGATIVE,0.618
11/25/2024,Reuters,EU court dismisses UniCredit claim over Russia in initial win for ECB,https://fintech-alliance.com/news-insights/article/unicredit-proposes-10-5-billion-acquisition-of-banco-bpm,The European Union's General Court has rejected UniCredit's request to suspend a European Central Bank order to scale back its presence in...,0.52,NEGATIVE,0.741,0.525,NEGATIVE,0.671
11/25/2024,Reuters,What would a UniCredit-Banco BPM combination look like?,https://www.amlintelligence.com/2024/11/latest-eu-court-dismisses-unicredit-claim-over-russia-in-initial-win-for-ecb/,Italy's third-largest bank Banco BPM has been on UniCredit CEO and veteran dealmaker Andrea Orcel's wish list since he took up his current...,0.509,NEGATIVE,0.981,0.517,NEGATIVE,0.996
11/25/2024,Reuters,UniCredit CEO not surprised by government's reaction to Banco BPM deal,https://www.dailysabah.com/business/finance/unicredit-bids-105b-for-rival-banco-bpm-after-commerzbank-move,UniCredit CEO Andrea Orcel said the Italian government's initial response to his bank's unsolicited bid for rival Banco BPM is only natural...,0.528,NEGATIVE,0.989,0.526,NEGATIVE,0.981
11/24/2024,Reuters,German minister expects UniCredit will ditch Commerzbank takeover plan,https://www.ifc.org/en/pressroom/2024/ifc-partners-with-unicredit-bank-to-boost-access-to-climate-finance-in-romania,German Finance Minister Joerg Kukies said on Sunday he did not expect UniCredit to go ahead with plans for a takeover of Germany's...,0.514,NEGATIVE,0.999,0.509,POSITIVE,0.635
11/25/2024,Reuters,UniCredit CEO says relationship with Amundi is 'solid',https://www.thebanker.com/Banco-BPM-merger-would-boost-UniCredit-s-position-among-largest-EU-banks-1732536783,"UniCredit Chief Executive Andrea Orcel said on Monday relations with Amundi , Europe's biggest asset manager, were solid after the group...",0.542,POSITIVE,0.972,0.516,NEGATIVE,0.668
11/25/2024,Reuters,EU court rejects UniCredit's request to suspend ECB's Russian demands,https://www.fnlondon.com/articles/unicredit-bids-10-1bn-to-buy-rival-banco-bpm-amid-commerzbank-talks-a6489f1a,The European Union's General Court has rejected UniCredit's request to temporarily suspend a European Central Bank order to scale back its...,0.506,NEGATIVE,0.952,0.514,NEGATIVE,0.998
11/25/2024,Law360,Italy's UniCredit Makes €10B Offer For Rival Banco BPM,https://www.globaltrading.net/unicredit-eyes-growth-with-banco-bpm-offer/,UniCredit SpA said Monday that it has offered to buy rival Italian lender Banco BPM SpA for €10 billion ($10.5 billion) in an all-share deal...,0.511,NEGATIVE,0.948,0.574,POSITIVE,0.584
11/25/2024,Bloomberg,UniCredit Surprises With $11 Billion Bid for Banco BPM,https://www.reuters.com/business/finance/italian-politicians-frown-unicredit-bid-banco-bpm-2024-11-25/,"UniCredit made an unsolicited $11 billion bid for domestic rival Banco BPM, raising the prospect of a new force in Italian banking.",0.513,NEGATIVE,0.985,0.528,NEGATIVE,0.93
11/25/2024,Yahoo Finance,Italy’s UniCredit makes buyout offer for Banco BPM,https://www.thebanker.com/UniCredit-offers-10bn-for-rival-Banco-BPM-Barclays-fined-40mn-over-reckless-capital-raising-1732532936,Italian banking group UniCredit has initiated an all-share bid for domestic competitor Banco BPM. The move is part of UniCredit's strategy...,0.515,NEGATIVE,0.968,0.506,NEGATIVE,0.997
11/25/2024,Yahoo Finance,"UniCredit Informed Government, Banco BPM Ahead of Making Bid",https://www.ft.com/content/5bfc98ca-ba34-4d6a-8171-f69c9cd43dc0,(Bloomberg) -- UniCredit SpA informed top officials in the Italian government and Banco BPM SpA Chairman about its intention to make a...,0.517,NEGATIVE,0.877,0.507,POSITIVE,0.984
11/25/2024,AskTraders.com,UniCredit Shares Fall as Firm Bids for Banco BPM,https://www.reuters.com/world/europe/eu-court-dismisses-unicredit-claim-over-russia-initial-win-ecb-2024-11-25/,"UniCredit (BIT: UCG), one of Italy's top banks, has made a bid to take over its rival Banco BPM with an offer valued at €10.1 billion.",0.501,NEGATIVE,1.0,0.527,NEGATIVE,0.983
11/25/2024,Reuters,EU court rejects UniCredit's request to suspend ECB's Russian demands,https://www.reuters.com/markets/deals/what-would-unicredit-banco-bpm-combination-look-like-2024-11-25/,The European Union's General Court has rejected UniCredit's request to suspend a decision by the European Central Bank affecting the...,0.506,NEGATIVE,0.952,0.519,NEGATIVE,0.922
11/25/2024,SWI swissinfo.ch,Italy’s UniCredit launches surprise $11 billion all-share bid for Banco BPM,https://www.reuters.com/markets/deals/unicredit-ceo-not-surprised-by-governments-reaction-banco-bpm-deal-2024-11-25/,By Valentina Za. MILAN (Reuters) -Italy's UniCredit on Monday launched a surprise 10 billion euro ($11 billion) bid for domestic peer Banco...,0.532,NEGATIVE,0.981,0.527,NEGATIVE,0.989
11/25/2024,Yahoo,UniCredit CEO says relationship with Amundi is 'solid',https://www.reuters.com/markets/deals/german-minister-sees-unicredit-ditching-commerzbank-tie-up-plans-2024-11-24/,"MILAN (Reuters) -UniCredit Chief Executive Andrea Orcel said on Monday relations with Amundi, Europe's biggest asset manager, were solid...",0.542,POSITIVE,0.972,0.521,NEGATIVE,0.999
11/25/2024,Barron's,"Awaiting Commerzbank, Italy's UniCredit Bids For Italian Rival",https://www.reuters.com/markets/europe/unicredit-ceo-says-relationship-with-amundi-is-solid-2024-11-25/,"With its plans for Germany's Commerzbank seemingly stalled, UniCredit, Italy's second-largest lender, on Monday launched a bid to buy its...",0.5,NEGATIVE,0.983,0.542,POSITIVE,0.983
11/25/2024,MSN,UniCredit Bids 10 Billion for Banco BPM,https://www.reuters.com/world/europe/eu-court-rejects-unicredits-request-suspend-ecbs-russian-demands-2024-11-25/,"UniCredit has started an all-share takeover bid for domestic rival Banco BPM, valued at 10.1 billion ($10.6 billion).",0.514,NEGATIVE,0.969,0.519,NEGATIVE,0.989
11/25/2024,PYMNTS.com,French Government in Talks to Acquire Atos’ Key Technology Assets for €500 Million,https://www.law360.com/financial-services-uk/articles/2265095/italy-s-unicredit-makes-10b-offer-for-rival-banco-bpm,Italian banking giant UniCredit has launched an unexpected €10 billion takeover bid for domestic competitor Banco BPM.,0.582,POSITIVE,0.888,0.538,NEGATIVE,0.862
11/25/2024,Proactive Investors,UK banks unfazed by UniCredit's €10bn bid for Italian rival,https://www.bloomberg.com/news/newsletters/2024-11-25/unicredit-surprises-with-11-billion-bid-for-banco-bpm,UK banking stocks were subdued following what looks to be the first stirrings of consolidation in the sector with Italy's UniCredit bidding...,0.507,NEGATIVE,0.961,0.517,NEGATIVE,0.891
11/25/2024,Sharecast News,UniCredit offers to buy rival Banco BPM in €10bn all-stock deal,https://finance.yahoo.com/news/italy-unicredit-makes-buyout-offer-114420404.html,Italy's UniCredit said on Monday that it has offered to buy rival Banco BPM in a €10.1bn (£8.4bn) all-stock deal.,0.576,NEGATIVE,0.992,0.522,NEGATIVE,0.77
11/25/2024,Bloomberg,"UniCredit Informed Government, Banco BPM Ahead of Making Bid",https://finance.yahoo.com/news/unicredit-informed-government-banco-bpm-105838534.html,UniCredit SpA informed top officials in the Italian government and Banco BPM SpA Chairman about its intention to make a takeover bid for its...,0.517,NEGATIVE,0.877,0.514,NEGATIVE,0.659
11/25/2024,ZAWYA,Italy's UniCredit offers to buy Banco BPM for $10.57bln,https://www.asktraders.com/analysis/unicredit-shares-fall-as-firm-bids-for-banco-bpm/,"UniCredit, the country's second-largest bank, offered 0.175 of its common stock for each BPM share, which equates to 6.67 euros per share,...",0.528,NEGATIVE,0.998,0.508,NEGATIVE,0.991
11/25/2024,ANSA Brasil,Banco BPM board meeting to discuss UniCredit's bid,https://www.reuters.com/world/europe/european-court-rejects-unicredits-requests-over-its-russian-exit-2024-11-25/,"The board meeting, which was already on the agenda, is expected to discuss the surprise all-share bid launched by UniCredit on Monday...",0.509,NEGATIVE,0.852,0.522,NEGATIVE,0.934
11/21/2024,UnicreditGroup.eu,One Student at a Time. A series by UniCredit Foundation,https://www.swissinfo.ch/eng/italy%27s-unicredit-launches-surprise-%2411-billion-all-share-bid-for-banco-bpm/88315588,"UniCredit Foundation has renewed its commitment to education with a clear mission: to create a more equitable and inclusive future, one student...",0.527,NEGATIVE,0.898,0.519,POSITIVE,0.831
11/25/2024,Sharecast News,Europe open: Stoxx up with UniCredit bid for BPM in focus,https://uk.finance.yahoo.com/news/unicredit-ceo-says-relationship-amundi-091010429.html,"European shares opened higher on Monday, extending gains from Friday, with bank stocks in focus after Italy's UniCredit offered to buy rival...",0.523,NEGATIVE,0.955,0.536,POSITIVE,0.545
11/25/2024,Axios,UniCredit offers to buy rival Italian bank for €10 billion,https://www.barrons.com/news/italy-s-unicredit-bids-10-1-bn-euros-for-rival-bpm-aca8dce8,"UniCredit wants to become one of Europe's top banks, even if that means ruffling government feathers.",0.544,NEGATIVE,0.989,0.517,POSITIVE,0.78
11/25/2024,Yahoo Finance,Italy's UniCredit makes surprise $11 bln bid for Banco BPM,https://www.msn.com/en-gb/money/other/unicredit-bids-10-billion-for-banco-bpm/vi-AA1uH9rF,STORY: Italy's UniCredit on Monday (November 25) launched a surprise $11 billion all-share offer for rival Banco BPM.,0.506,NEGATIVE,0.991,0.51,NEGATIVE,0.971
