Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/20/2024,BBC,Zelensky says Ukraine will lose war if US cuts funding,https://www.bbc.com/news/articles/ckglpy95nxwo,US President-elect Donald Trump has campaigned on a promise to end America's involvement in wars.,0.525,NEGATIVE,0.979,0.519,POSITIVE,0.903
11/20/2024,The Guardian,US Senate to vote on Bernie Sanders effort to block arms sales to Israel,https://www.theguardian.com/us-news/2024/nov/20/bernie-sanders-israel-gaza-resolution,Joint resolutions of disapproval would prevent Pentagon from sending $20bn to Israel as it continues assault on Gaza.,0.562,NEGATIVE,0.631,0.523,NEGATIVE,0.793
11/20/2024,Sky News,United States of Emergency? Rachel Maddow on her fears for the US under Trump,https://news.sky.com/story/united-states-of-emergency-rachel-maddow-on-her-fears-for-the-us-under-trump-13257382,Millions interned in camps? Assassinations? Political imprisonments? That is what one of America's leading liberal commentators Rachel...,0.516,NEGATIVE,0.765,0.52,NEGATIVE,0.77
11/20/2024,CNN,"Live updates: Ukraine-Russia war, Kyiv launches US-made missiles into Russia’s Bryansk region",https://www.cnn.com/world/live-news/ukraine-russia-war-11-20-24/index.html,Ukraine has fired US-made ATACMS missiles into Russia. Follow for live news updates.,0.528,NEGATIVE,0.983,0.534,POSITIVE,0.68
11/20/2024,Al Jazeera,US vetoes UN Security Council resolution demanding Gaza ceasefire,https://www.aljazeera.com/news/2024/11/20/us-vetoes-un-security-council-resolution-demanding-gaza-ceasefire,"The United States has vetoed a resolution at the United Nations Security Council (UNSC) demanding an “immediate, unconditional and...",0.516,NEGATIVE,0.978,0.52,NEGATIVE,0.987
11/20/2024,POLITICO.eu,US Embassy in Kyiv closes over anticipated ‘significant’ air attack,https://www.politico.eu/article/u-s-embassy-in-kyiv-closes-over-anticipated-air-attack/,Announcement comes after Washington lifted restrictions on use of American long-range missiles on Russian territory.,0.512,NEGATIVE,0.864,0.499,NEGATIVE,0.988
11/20/2024,NBC News,U.S. shuts Kyiv embassy over 'significant air attack' threat,https://www.nbcnews.com/news/world/us-shuts-kyiv-embassy-significant-air-attack-threat-russia-ukraine-war-rcna180938,"The United States said Wednesday that its embassy in Ukrainian capital Kyiv closed after receiving ""specific information of a potential...",0.508,NEGATIVE,0.999,0.532,NEGATIVE,0.966
11/19/2024,The Guardian,"To protect US democracy from tyrants, we must protect the truly free press",https://www.theguardian.com/commentisfree/2024/nov/20/protect-democracy-free-press,No billionaire or corporation controls us: the Guardian answers only to the public. Please help us raise the $4m we need to hold power to...,0.519,POSITIVE,0.868,0.516,POSITIVE,0.571
11/20/2024,Al Jazeera,Biden has pivoted to allow Ukraine to use US missiles in Russia. Why now?,https://www.aljazeera.com/news/2024/11/20/biden-has-pivoted-to-allow-ukraine-to-use-us-missiles-in-russia-why-now,"United States President Joe Biden has made unceasing support for Ukraine during Russia's invasion a hallmark of his one-term presidency,...",0.542,NEGATIVE,0.997,0.536,NEGATIVE,0.989
11/20/2024,Al Jazeera,Ukraine to get US land mines for use against Russian forces: Reports,https://www.aljazeera.com/news/2024/11/20/ukraine-to-get-us-land-mines-for-use-against-russian-forces-reports,US President Biden's decision to provide antipersonnel mines comes after Ukraine fired ATACMS missiles into Russia.,0.525,NEGATIVE,0.997,0.525,NEGATIVE,0.991
11/20/2024,Tonbridge School,Sixth Formers explore US history and politics on Social Sciences trip,https://www.tonbridge-school.co.uk/about/news/post/~board/school-news/post/social-sciences-trip,"In October, Tonbridge's Sixth Form Social Sciences students visited the United States to explore the country's political and cultural...",0.515,POSITIVE,1.0,0.525,POSITIVE,0.753
11/20/2024,Financial Times,Live news: Gautam Adani indicted in the US for bribery,https://www.ft.com/content/a4842118-d7be-4f94-8460-eae3e95c3668,Indian billionaire Gautam Adani has been charged by federal prosecutors in New York over an alleged years-long scheme to bribe Indian...,0.525,NEGATIVE,0.741,0.507,POSITIVE,0.926
11/20/2024,EEAS,"1,000 Days of Ukrainian Resilience",https://www.eeas.europa.eu/delegations/united-states-america/1000-days-ukrainian-resilience_en,"November 19 marked 1000 days since the start of Russia's full-scale invasion of Ukraine. Every day of war is one too many, and every day of...",0.503,POSITIVE,0.986,0.509,POSITIVE,0.985
11/18/2024,Chatham House,Trump’s Latin America policy will be shaped by an ideological network of ‘Trumpista’ strongmen,https://www.chathamhouse.org/2024/11/trumps-latin-america-policy-will-be-shaped-ideological-network-trumpista-strongmen,The region's right-wing populists are ready to cooperate based on mutual admiration for the MAGA project. But their effectiveness as...,0.523,NEGATIVE,0.598,0.516,POSITIVE,0.519
11/20/2024,United States Mission to the United Nations (.gov),Explanation of Vote on a UN Security Council Resolution on the Situation in the Middle East,https://usun.usmission.gov/explanation-of-vote-on-a-un-security-council-resolution-on-the-situation-in-the-middle-east/,"Hamas would have seen it as a vindication of its cynical strategy, to hope and pray the international community forgets about the fate of...",0.507,NEGATIVE,0.64,0.505,NEGATIVE,0.685
11/18/2024,GOV.UK,UK and US join forces to speed up advanced nuclear technologies,https://www.gov.uk/government/news/uk-and-us-join-forces-to-speed-up-advanced-nuclear-technologies,"New agreement for civil nuclear collaboration signed by UK and US at COP29 in Baku, helping strengthen energy security.",0.534,POSITIVE,0.974,0.531,POSITIVE,0.948
