date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-10-31T13:00:01.000Z,"The king of gaming processors is back Featuring new 2nd generation AMD 3D V-Cache technology, the Ryzen 7 9800X3D processor will be available starting November 7th, 2024.Learn more: https://amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9800x3d.html…",0.5719,POSITIVE,0.662,0,[]
2024-11-22T17:00:55.000Z,Need a laptop that can handle anything? The @ASUS_ROG Zephyrus G16 Copilot+ PC with an AMD Ryzen AI 9 HX 370 processor delivers. Discover what makes this laptop a fan favorite: https://bit.ly/4fDKbK7,0.5336,POSITIVE,0.9992,0,[]
2024-11-20T18:34:43.000Z,"""The top ten best selling CPUs on Amazon are all AMD chips""Learn why gamers and creators are choosing AMD for their systems in this article from @pcgamer ",0.5806,POSITIVE,0.8299,0,[]
2024-11-19T19:30:27.000Z,"What feature of the @ASUS ProArt P16 laptop most excites you?  • Great performance, thanks to the AMD Ryzen AI 300 Series processor • On-device AI with Copilot+ • Lightweight, vivid colors, great design See what other reviewers like most! https://bit.ly/3UVXWeI",0.5421,POSITIVE,0.9988,0,[]
2024-11-14T18:41:33.000Z,"Experience Innovation with @AMD at #EndixExpoAMD understands the future of gaming—pushing boundaries and driving innovation, bringing the power of Ryzen directly to our digital event space. Are you ready to feel the speed?”",0.5327,POSITIVE,0.9963,0,['#EndixExpoAMD']
2024-11-07T15:01:01.000Z," Giveaway Alert  To celebrate the launch of the Ryzen 7 9800X3D, we're giving some away! Learn how to enter:  https://bit.ly/4fC2XAY",0.5063,NEGATIVE,0.9939,0,[]
2024-11-07T14:07:23.000Z,Available Now!!!,0.53,POSITIVE,0.9936,0,[]
2024-11-07T13:01:00.000Z,Pushing limits! The AMD Ryzen 7 9800X3D with our MEG X870E GODLIKE just hit a blazing 7.241 GHz. Power like never before—get ready to take on any game or task! Learn more:  http://msi.gm/X870_X,0.522,POSITIVE,0.9996,0,[]
2024-11-07T14:06:00.000Z,"Streets are saying, this is the best gaming processor to ever hit the market...And it genuinely is. Compared to its predecessor, this new line of CPUs come fully unlocked, allowing you to overclock them for some insane numbers.Here at Newegg, on top of carrying just the CPUs,",0.543,POSITIVE,0.9997,0,[]
2024-11-07T14:04:14.000Z,The Ryzen 7 9800X3D is now available.Get yours: https://bit.ly/4f57PPp,0.5081,POSITIVE,0.7121,0,[]
2024-11-07T14:00:26.000Z,"Elite gaming awaits on the AMD Ryzen™ 7 9800X3D Series processor, powered by AMD 3D V-Cache™ technology for up to 104 MB of on-chip memory.Details: https://bit.ly/4fsmNj7",0.5595,POSITIVE,0.9987,0,[]
2024-11-06T21:15:02.000Z,"The king of gaming processors is almost here!Here's why the Ryzen 7 9800X3D is a ""no-compromise processor for gamers"" and a recipient of @HotHardware's Editor's Choice  ",0.5046,POSITIVE,0.9993,0,[]
2024-11-06T19:10:07.000Z,Tomorrow.,0.495,POSITIVE,0.8703,0,[]
2024-11-01T19:23:57.000Z,Ready for an upgrade?The Ryzen 7 9800X3D arrives November 7th.,0.5179,NEGATIVE,0.8762,0,[]
2024-09-26T17:10:41.000Z,"Time is everything in filmmaking. Hear from Alex Vo, Director of Film and Photography at Elevative Media, on how AMD Ryzen AI PCs and @Adobe AI tools have streamlined production and changed the game.",0.5557,POSITIVE,0.9973,0,[]
2024-09-16T16:00:30.000Z,"Gamers using systems featuring @AMDRyzen AI 300 Series processors can get a serious upgrade in performance with AFMF 2 and Variable Graphics Memory.@pcworld calls the performance improvements ""impressive"" saying ""frame rates shot up dramatically."" Read more!",0.5231,POSITIVE,0.9708,0,[]
2024-09-10T08:30:16.000Z,"The new Swift 14 AI packs the latest AI power from @AMD Ryzen™ into a stunningly sleek & light design, with up to 27hr battery life & a display that’s pure eye candy! Learn More: https://acer.link/3To7D4T#NextAtAcer #IFA2024 #Swift14AI",0.5533,POSITIVE,0.9999,0,"['#NextAtAcer', '#IFA2024', '#Swift14AI']"
2024-09-11T13:37:54.000Z,See how to maximize gaming performance on AMD Ryzen AI 300 Series processors using AFMF 2 and Variable Graphics Memory (VGM) in games like Cyberpunk 2077! https://bit.ly/3z3Q7fr,0.5395,POSITIVE,0.9945,0,[]
2024-09-09T21:02:10.000Z,"Introducing the new Lenovo ThinkPad T14s, featuring next-gen @AMDRyzen AI PRO processors & Copilot+ compatibility – make this your ultimate on-the-go AI companion! Learn more: https://lnv.gy/4e1yhcg | #LenovoInnovationWorld",0.5434,POSITIVE,0.9898,0,['#LenovoInnovationWorld']
2024-09-05T15:39:07.000Z,"Get ready for peak gaming performance with the AMD Ryzen 5 7600X3D! Available exclusively at your local Micro Center, learn more from Micro Center News: https://micro.center/5s9p",0.5519,POSITIVE,0.9979,0,[]
2024-09-03T17:29:14.000Z,More productivity. More creativity. Better collaboration.@Microsoft Copilot+ PC powered by the @AMD Ryzen AI 300 Series processors are the gateway to a transformational new era for consumers and businesses everywhere.Read more: https://bit.ly/4cZyvzi,0.555,POSITIVE,0.7411,0,[]
2024-09-03T16:28:50.000Z,1 CPU. 96 Cores. Maximum overclocking.Watch @OverclockersUK smash through productivity benchmarks with their Supernova MK3 featuring AMD Ryzen Threadripper PRO ,0.5334,POSITIVE,0.702,0,[]
2024-08-27T21:34:34.000Z,Today we have an update for the community following last week's gaming performance blog. Optimizations are now available for all Windows 11 users via an optional Windows update.Details: https://bit.ly/4cLkUeL,0.5273,POSITIVE,0.7304,0,[]
2024-08-26T18:00:13.000Z,"“It's clear that the Zen 5 architecture is efficient, power frugal, and sports decent IPC gains over the previous generation...in lightly-threaded workloads and games.”@Forbes reviews the AMD Ryzen 5 9600X and Ryzen 7 9700X, check it out!",0.5271,POSITIVE,0.9998,0,[]
2024-08-09T20:00:07.000Z,Gamers looking for their next upgrade may want to consider the AMD Ryzen 5 9600X and Ryzen 7 9700X! @tomshardware says they “deliver large generational gaming improvements that exceed price-comparable” models by the competition. Read more!,0.5408,POSITIVE,0.9909,0,[]
2024-08-08T18:00:24.000Z,AMD Ryzen 7 9700X “is another testament to AMD’s triumphs in higher performance at a much lower wattage than the competition and sets a new standard for single-core scores.”See why @WindowsCentral says AMD takes the mid-range gaming CPU crown.,0.5552,POSITIVE,0.9968,0,[]
2024-08-08T13:00:49.000Z,SURPASS ORDINARY. PLAY EXTRAORDINARY.The AMD Ryzen 7 9700X & Ryzen 5 9600X are now available.Get yours: https://bit.ly/4fsmNj7,0.5387,POSITIVE,0.9966,0,[]
2024-08-07T19:55:42.000Z,"I'm super excited to share that the @AMD Ryzen 7 9700X and Ryzen 5 9600X processors are here! Retailers and e-tailers around the world, like @microcenter, @JD_Corporate, and @Newegg and so many more, are stocked and ready to go on-sale tomorrow on 8/8.  Some fun behind the scenes",0.5488,POSITIVE,0.9968,0,[]
2024-08-07T19:14:41.000Z,"""The Ryzen 5 9600X and Ryzen 7 9700X are clearly faster and more efficient than their predecessors, and the architecture is better-equipped for some of the most common and emerging compute workloads.""Read the full review from @HotHardware!",0.5129,POSITIVE,0.946,0,[]
2024-08-06T22:55:16.000Z,AMD Ryzen 9000 Series processors are ready to deliver world class gaming and creator performance. Available Aug 8: • Ryzen 7 9700X• Ryzen 5 9600X Available Aug 15: • Ryzen 9 9950X• Ryzen 9 9900X,0.5383,POSITIVE,0.9995,0,[]
2024-08-06T15:00:37.000Z,"""The ASUS Zenbook S 16, powered by AMD's Strix Point Ryzen AI 300 Series processors, is an excellent all-around performer, built with premium materials, that offers great battery life and a strong NPU for future AI workloads."" Read @HotHardware's review!",0.5495,POSITIVE,0.9976,0,[]
2024-08-02T20:00:07.000Z,"AMD Ryzen AI 300 Series processors ""brings some serious performance chops to this new generation of thin, long-lasting, AI-infused Copilot+ laptops,"" according to @pcworld's review. Check it out!",0.5807,POSITIVE,0.9999,0,[]
2024-08-02T14:30:05.000Z,"“Whether it was basic productivity tasks, demanding graphics benchmarks, or advanced AI workloads, the AMD Ryzen AI 9 HX 370 proved a worthy contender in the ongoing AI laptop title fight.”See why @PCMag calls the AMD Ryzen AI 9 HX 370 an AI powerhouse.",0.5797,POSITIVE,0.7539,0,[]
2024-08-01T20:00:09.000Z,"“AMD has firmly positioned itself at the forefront of the notebook market with the launch of the Ryzen AI 300 series, with ""Zen 5"" being the star of the show.”See @anandtech's review of the ASUS Zenbook S 16 featuring AMD Ryzen AI 9 HX 370 processors. https://bit.ly/4cbOdXk",0.5496,POSITIVE,0.973,0,[]
2024-07-19T15:00:28.000Z,"There’s lots of 2-in-1 laptops on the market, but the @Lenovo Yoga 7 2-in-1 powered by an AMD Ryzen 7 8840HS is a great affordable option with a big display, according to @mattmoniz. Check out the review!",0.5516,POSITIVE,0.9972,0,[]
2024-07-18T20:00:26.000Z,"""Sleek design and impressive performance"" See why reviewers call the @ASUS_ROG Zephyrus G14 featuring AMD Ryzen 9 8945HS processors a standout in the gaming laptop arena. https://bit.ly/46dLKdW",0.5271,POSITIVE,0.9988,0,[]
2024-07-18T19:54:32.000Z,Check out overclocking with GamersNexus!,0.5,POSITIVE,0.8878,0,[]
2024-07-18T18:00:19.000Z,"AMD Ryzen AI 300 Series and Ryzen 9000 Series processors powered by ""Zen 5"" architecture ""brings a host of improvements in performance and efficiency.""@anandtech goes under the hood on all things AMD ""Zen 5"", check it out! https://bit.ly/3WakBUn",0.5546,POSITIVE,0.995,0,[]
2024-07-15T12:30:00.000Z,"At our #HPImagineAI event, we introduced the first HP OmniBook Ultra, and explored the endless possibilities of AI solutions for creativity, productivity, and collaboration. Learn more: https://bit.ly/4673N59",0.5288,POSITIVE,0.9965,0,['#HPImagineAI']
2024-07-18T16:00:02.000Z,"Next up: our sights are set on #SIGGRAPH2024.   #Media & #entertainment folks, it's go time! We can’t wait to showcase just how handy @Lenovo's ThinkStation P8 and ThinkPad P1 are for your creative needs at @TheFoundryTeam booth, powered by @AMD.  @siggraph, see you soon!",0.5278,POSITIVE,0.9993,0,"['#SIGGRAPH2024', '#Media', '#entertainment']"
2024-07-18T15:00:33.000Z,"The fusion of art and technology  Multimedia artist Filippo Nassetti used an AMD Ryzen AI laptop to enhance the creative process and handle intensive workflows like 3D modeling, rendering, and animation. Check it out!",0.5465,POSITIVE,1.0,0,[]
2024-07-17T18:00:26.000Z,AMD Ryzen 9 AI HX 370 is a beast ,0.65,NEGATIVE,0.9192,0,[]
2024-07-17T15:00:33.000Z,That performance! “Zen 5” and AMD Ryzen 9000 Series are beasts. ,0.5764,POSITIVE,0.9995,0,[]
2024-07-12T15:00:28.000Z,"“The new @Lenovo Yoga 7, a true 2-in-1 unibody laptop housing a blazing fast AMD Ryzen 7 8840HS processor with Ryzen AI and Radeon 780M graphics.”See why @GregSalazarYT calls the Yoga 7 2-in1 a productivity workhorse. ",0.5463,POSITIVE,0.9975,0,[]
2024-07-11T16:30:13.000Z,.@EposVox creates 80s and 90s inspired videos with the help of an AMD Ryzen AI laptop! See how a light-weight AI-enabled laptop with features like impressive battery life helps with the creative process.,0.5468,POSITIVE,0.9998,0,[]
2024-07-10T15:00:44.000Z,“It really is all of the best technology on one chip.” See how 3rd Gen AMD Ryzen AI is ready to deliver next-gen AI PC experiences.,0.5878,POSITIVE,0.9988,0,[]
2024-07-09T15:00:36.000Z,"“The fastest consumer CPU in the world”  Get a preview of the top-of-the line, AMD Ryzen 9 9950X processor.",0.5581,POSITIVE,0.9974,0,[]
2024-06-10T20:30:05.000Z,"At Computex 2024, @pcworld caught up with Donny Woligroski, Sr. Technical Marketing Manager at AMD, to talk about many of the announcements including Ryzen 9000 and Ryzen AI 300 Series processors, and more. Check it out! https://bit.ly/45jqkeM",0.539,POSITIVE,0.9929,0,[]
2024-06-06T12:45:04.000Z,A sneak peek at the next-gen.  The X870E motherboard is here. Can you guess what it's capable of?  #GIGABYTEComputex2024 #AORUSINFINITY #X870E #AMD,0.5508,POSITIVE,0.9533,0,"['#GIGABYTEComputex2024', '#AORUSINFINITY', '#X870E', '#AMD']"
2024-06-09T16:00:23.000Z,"Unmatched socket longevity.  When you buy AMD, you buy upgradability. AMD Socket AM4 launched in 2016, and we're still building on its legacy.",0.5957,POSITIVE,0.9942,0,[]
2024-06-06T16:00:30.000Z,"""The new Ryzen AI chips will eventually find homes in over 100 Windows Copilot+ laptops starting in July."" And we're excited for it!  Read more from Digital Trends on our announcement at Computex 2024.",0.5432,POSITIVE,0.9986,0,[]
2024-06-05T20:30:20.000Z,"Get an early look at the world’s fastest consumer PC processors, AMD Ryzen 9000 Series.  Available July 2024.",0.5523,POSITIVE,0.8694,0,[]
2024-06-04T21:22:29.000Z,"""AMD’s Ryzen AI series not only breaks ground in terms of AI, but in CPU capabilities as well."" See @pcworld's coverage of our AMD Ryzen AI 300 Series announcement at Computex 2024!",0.572,POSITIVE,0.9988,0,[]
2024-06-04T16:30:37.000Z,Surpass ordinary. Play extraordinary.  AMD Ryzen 9000 Series processors coming July 2024.,0.559,POSITIVE,0.9987,0,[]
