date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-12-03T11:51:21.000Z,"In the  episode of the Tech Unheard podcast, Rene Haas and @PalantirTech's @RepGallagher share how turning mistakes into opportunities has been pivotal to their growth. Listen to the full episode now to hear why - just search for Arm Tech Unheard: https://okt.to/tvxcTM",0.5256,NEGATIVE,0.697,0,[]
2024-12-02T16:43:05.000Z,It's time for #AWSReInvent! Discover how Arm Neoverse-based AWS Graviton processors deliver the performance and power-efficiency needed for modern AI workloads  saving costs and improving your carbon footprint at the same time: https://okt.to/3snIuTWill we see you there?,0.5317,POSITIVE,0.9742,0,['#AWSReInvent']
2024-11-29T14:00:04.000Z,#AWSReinvent is just around the corner!  Discover how to optimize the performance of your AI/ML workloads with Amazon EC2 instance types running on Arm-based Graviton processors- all while prioritizing sustainability and cost savings. More details: https://okt.to/Gu59Bl,0.5279,POSITIVE,0.594,0,['#AWSReinvent']
2024-11-29T09:30:03.000Z, We’re seeing great strides in XR adoption thanks to significant innovation from the tech industry. Parag Beeraka shares how it’s happened and what that means for businesses and consumers alike: https://okt.to/SNDhoL via @TechRadarPro,0.5156,POSITIVE,0.9906,0,[]
2024-11-21T22:31:49.000Z,"Where is on-device AI headed next?  In @talkandroid, James McNiven, VP of Product Management, shares details on what to expect from the next-generation of AI-driven smartphone experiences and how the Arm compute platform is enabling these. ",0.5491,NEGATIVE,0.52,0,[]
2024-11-20T23:30:04.000Z,"With the momentum we've seen at #MSIgnite around Azure Cobalt 100 VMs, we're excited to work with the ecosystem to enable the AI-accelerated future in a sustainable, scalable way on Arm Neoverse.Get up to speed on what you might have missed from the show https://newsroom.arm.com/blog/arm-and-microsoft-igniting-a-new-era-of-cloud-computing-for-ai?utm_source=twitter&utm_medium=social-organic&utm_content=blog&utm_campaign=mk03_infrastructure_na…",0.5292,POSITIVE,0.9906,0,['#MSIgnite']
2024-11-20T21:31:04.000Z,"As proud investors in Enfabrica following its Series C Round, we look forward to supporting the team’s incredible growth on Arm Neoverse, enabling scalable networking solutions that meet the needs of demanding AI workloads. Congratulations, @enfabrica_!",0.5367,POSITIVE,0.9908,0,[]
2024-11-19T21:21:11.000Z,"Perseverance is a fundamental part of who we are as a company. In the new State of European Tech documentary from @atomico, Rene Haas shares how this has enabled us to become the industry's highest-performing and most power-efficient compute platform ",0.5717,POSITIVE,0.9998,0,[]
2024-11-19T16:30:07.000Z,"Hello, #MSIgnite!Discover how to reduce costs and boost cloud workload performance and efficiency #onArm Neoverse. Join us online to explore the Arm-Neoverse powered Microsoft Azure Cobalt 100 VMs: https://okt.to/MRpQBe Head to our Ignite page: https://okt.to/QUy6jw",0.5127,POSITIVE,0.9197,0,"['#MSIgnite', '#onArm']"
2024-11-18T14:45:41.000Z,"This is what a day in the life looks like for Graduate Product Manager, Conall Farney.  Since joining us as a Sales Intern, Conall moved into a new role matching his growing passions.Discover your path with us: https://okt.to/KdWshB",0.55,POSITIVE,0.9918,0,[]
