date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-01-09T17:00:54.000Z,We'll see you in the cloud.  Play now: https://nvda.ws/3S9SJ21,0.505,POSITIVE,0.7932,0,[]
2024-11-27T18:06:35.000Z,Grab Nightingale in the Steam Autumn Sale and jump into the Realms with GeForce Now @NVIDIAGFN #Nightingale #SteamSale #GeForceNow,0.505,POSITIVE,0.9981,0,"['#Nightingale', '#SteamSale', '#GeForceNow']"
2024-11-27T19:00:01.000Z,We’re thankful for you and for @SteelSeries controllers. GFN members can enjoy 30% off on the Stratus+ or Nimbus+ controllers. Check your account email for more details! ,0.5025,POSITIVE,0.8052,0,[]
2024-11-27T19:00:02.000Z,(Offer can't be combined with other SteelSeries promotions.),0.5225,POSITIVE,0.9885,0,[]
2024-11-27T17:00:01.000Z,Black Friday came early. Enjoy 50% off your first 3 months of an Ultimate or Performance monthly membership!Offer available for new & upgrading members—grab it today!  https://nvda.ws/499XEqw,0.5439,POSITIVE,0.9245,0,[]
2024-11-19T19:00:07.000Z," Time to gear up and get growing! @farmingsim 25 has it all—from realistic crop cycles to immersive weather. Farm from the cloud, anytime, anywhere! ",0.5121,POSITIVE,0.9984,0,[]
2024-11-18T23:03:50.000Z,"#LifeIsStrange Double Exposure is now available on GeForce Now! As the supernaturally-empowered photographer Max Cauflield, delve into the mysteries of Caledon University. Shift between two parallel timelines to solve - and prevent - the murder of a friend!",0.5086,POSITIVE,0.9997,0,['#LifeIsStrange']
2024-11-18T17:00:02.000Z,A @StarWarsOutlaws Reward for GeForce NOW is coming soon. Make sure you're opted in for rewards to take advantage  https://nvda.ws/4etzs3j,0.5053,POSITIVE,0.7175,0,[]
2024-11-17T17:00:09.000Z," Explore, Build, Lead and Conquer. It’s Your World Now.  Ara: History Untold is now streaming on GFN.  ",0.5177,POSITIVE,0.9982,0,[]
2024-11-16T17:00:04.000Z,"Enter the world of classical antiquity in the cloud. Battle for Greece, the first installment of #AgeofEmpiresIIDefinitiveEdition – Chronicles is now streaming on GeForce NOW. @AgeOfEmpires",0.5146,POSITIVE,0.9949,0,['#AgeofEmpiresIIDefinitiveEdition']
2024-11-15T17:11:45.000Z,Our new @playtlgame reward for #GeForceNOW members is here! Be sure to check your GFN account email for instructions on how to redeem. ,0.5354,POSITIVE,0.7419,0,['#GeForceNOW']
2024-11-14T17:30:37.000Z,"Farmers, unite! @farmingsim 25 is now streaming on GeForce NOW. Explore new crops, animals, and environments right in the cloud. ",0.535,POSITIVE,0.973,0,[]
2024-11-14T16:00:02.000Z,"Harvest the fun this #GFNThursday! @farmingsim 25 has joined the cloud, a @playtlgame reward debuts this week, and more games join the cloud. Blog  https://nvda.ws/3Z7IFtX",0.5103,POSITIVE,0.9975,0,['#GFNThursday']
2024-11-13T17:14:13.000Z,the last thing your left hand touched is your video game weapon - what was it?,0.5162,NEGATIVE,0.9999,0,[]
2024-11-12T19:00:02.000Z,A @playtlgame Reward for #GeForce NOW members is coming soon. Opt-in for GFN Rewards on your account so you don’t miss out  https://nvda.ws/4fKyWPM,0.5022,POSITIVE,0.697,0,['#GeForce']
2024-11-06T19:00:53.000Z,.@PlayApex From the Rift is now streaming on #GeForceNOW!,0.5012,POSITIVE,0.9584,0,['#GeForceNOW']
2024-11-06T17:09:45.000Z,"Rise as Rook in the latest entry of the legendary @DragonAge franchise, Dragon Age: The Veilguard - now streaming on #GeForceNOW. ",0.5092,POSITIVE,0.9991,0,['#GeForceNOW']
2024-11-04T19:00:21.000Z,Halloween is over but the horrors are just beginning. @RE_Games Resident Evil 4 is streaming on #GeForceNOW - play it today!  ,0.5227,POSITIVE,0.9134,0,['#GeForceNOW']
2024-11-04T17:00:00.000Z,what's your go-to game to play during fall? ,0.4937,POSITIVE,0.9549,0,[]
2024-11-02T16:00:00.000Z,it's the weekend - time to game like your backlog isn't judging you ,0.5114,POSITIVE,0.911,0,[]
2024-11-01T16:00:01.000Z,Friday mood: One HP and a dream.(playing games all weekend),0.52,POSITIVE,0.9975,0,[]
2024-10-31T19:02:05.000Z,Survival is just the beginning. Return to Raccoon City and play as Agent Leon S. Kennedy  in @RE_Games Resident Evil 4 - now streaming on #GeForceNOW.  ,0.511,POSITIVE,0.9906,0,['#GeForceNOW']
2024-10-31T18:00:31.000Z,Unite the Veilguard. Embark on a high flying adventure to save Thedas with @dragonage: The Veilguard - now streaming on #GeForceNOW. ,0.5054,POSITIVE,0.9795,0,['#GeForceNOW']
2024-10-31T16:30:08.000Z,Remember remember what's coming November. ,0.5138,NEGATIVE,0.7293,0,[]
