date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-21T16:04:41.000Z,OG’s Assemble… 25.11.24. Something's going down at @TheO2 London. Watch this space. @O2  #Fortnite #FortniteRemix #ShowdownatTheO2,0.5079,POSITIVE,0.8628,0,"['#Fortnite', '#FortniteRemix', '#ShowdownatTheO2']"
2024-11-20T21:26:45.000Z,"Immerse yourself in the world of Thedas, a vibrant land of rugged wilderness, treacherous labyrinths, and glittering cities.  #RTXOn: @Eul_keke",0.5089,POSITIVE,0.9995,0,['#RTXOn']
2024-11-19T16:37:05.000Z,S.T.A.L.K.E.R. 2: Heart of Chornobyl goes #RTXOn November 20th with NVIDIA DLSS 3 and NVIDIA Reflex. Learn More  https://nvda.ws/4fLeUVc,0.5247,POSITIVE,0.9806,0,['#RTXOn']
2024-11-18T22:44:56.000Z,. @NVIDIA_AI_PC is here!Follow their channel for the latest news on AI technologies and innovations ,0.584,POSITIVE,0.9007,0,[]
2024-11-13T16:35:32.000Z,Check out the new Indiana Jones and the Great Circle gameplay deep dive An epic adventure awaits…Going #RTXOn December 9.,0.5346,POSITIVE,0.9586,0,['#RTXOn']
2024-11-13T16:35:32.000Z,Watch the full 14-min Gameplay Deep Dive:,0.5075,POSITIVE,0.9484,0,[]
2024-11-12T23:13:59.000Z, NEW DRIVER ALERT  Get Game Ready for the best experience in these new releases: S.T.A.L.K.E.R. 2: Heart of ChornobylMicrosoft Flight Simulator 2024+ More → https://nvda.ws/4fATs5m,0.5476,POSITIVE,0.9988,0,[]
2024-11-12T20:34:52.000Z,NVIDIA app officially launches today featuring:Latest NVIDIA graphics driversUnified GPU control centerRedesigned in-game overlayPerformance monitoring overlaysGame enhancing filters + moreDownload now: https://nvda.ws/4g2jcb1,0.5242,POSITIVE,0.9885,0,[]
2024-11-12T18:34:02.000Z,"To celebrate the launch of NVIDIA app, we're offering a complimentary @playtlgame GeForce Reward. Sign into the NVIDIA app Go to Redeem to claim the RewardLearn more  https://nvda.ws/3O2ohEd",0.5224,NEGATIVE,0.7906,0,[]
2024-11-12T17:23:26.000Z,NVIDIA DLSS AI-powered performance coming to your favorite games! Farming Simulator 25Microsoft Flight Simulator 2024Mortal RiteS.T.A.L.K.E.R. 2: Heart of Chornobyl+ More #RTXOn News: https://nvda.ws/4hJzPcS,0.5248,POSITIVE,0.9998,0,['#RTXOn']
2024-11-10T10:00:12.000Z,"Enter the #LofiGirlASUS contest now!Try to achieve one of the fastest times on the Fortnite @LofiGirl ""Only Up"" map for a chance to win incredible #ASUS prizes including the Lofi Girl RTX PC modded by Cybertek, Lofi Girl official products and much more!  https://asus.click/LofiGirl-RTX-Contest…",0.5131,POSITIVE,0.9961,0,"['#LofiGirlASUS', '#ASUS']"
2024-11-12T16:12:10.000Z,"Become a LEGEND Get the Digital Premium Edition of Indiana Jones and the Great Circle with the purchase of a qualifying GeForce RTX 40 Series Desktop, Laptop, or GPU.Going #RTXON December 9th → https://nvda.ws/4eucOrN",0.5093,POSITIVE,0.9967,0,['#RTXON']
