date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-01-08T16:30:38.000Z,"SUPER Rápida. SUPER Potenciada.Consigue superpoderes con las nuevas GeForce RTX 4080 SUPER, RTX 4070 Ti SUPER, y RTX 4070 SUPER.",0.4983,POSITIVE,0.9999,0,[]
2024-11-27T19:00:19.000Z,"Descubre el universo @LofiGirl como nunca antes con Ray Tracing, NVIDIA DLSS y NVIDIA Reflex.#LofiGirlASUS #RTXOn: @VicenteProd",0.5183,POSITIVE,0.9203,0,"['#LofiGirlASUS', '#RTXOn']"
2024-11-27T14:43:22.000Z,NVIDIA DLSS acelera el rendimiento en más juegos esta semana. Towers of AghasbaVoid CrewWar Thunder,0.5118,POSITIVE,0.9203,0,[]
2024-11-27T14:43:23.000Z,#RTXOn ->,0.5,POSITIVE,0.9693,0,['#RTXOn']
2024-11-26T17:00:21.000Z, Nueva build de GeForce Garage Saluda a esta build ganadora del Case Mod Contest de QuakeCon ' 24 que incluye un panel de cristal inteligente y un asistente activado por voz.: Brandon McCarthy de Mellow Mods,0.5023,POSITIVE,0.9986,0,[]
2024-11-21T14:00:20.000Z," Nueva build de GeForce Garage No te pierdas esta obra maestra llamada ""Crystal"" que se llevó el primer puesto en el concurso de construcción desde cero en la QuakeCon ' 23.: Joshua Judy of Comp1337 Mods",0.5016,POSITIVE,0.9991,0,[]
2024-11-20T09:24:18.000Z,"S.T.A.L.K.E.R. 2: Heart of Chornobyl se lanza hoy, 20 de noviembre, con NVIDIA DLSS 3 y Reflex. Disfruta de la experiencia definitiva en PC con GeForce RTX.",0.509,POSITIVE,0.9989,0,[]
2024-11-20T09:24:19.000Z,Más juegos con #RTXOn aquí:,0.5,POSITIVE,0.9969,0,['#RTXOn']
2024-11-18T16:00:18.000Z,"Dragon Age: The Veilguard es #RTXOn con DLSS 3, ray tracing y Reflex.: @DigitalDreamsyt",0.4992,POSITIVE,0.8701,0,['#RTXOn']
2024-11-17T14:00:18.000Z,Echa un vistazo al nuevo gameplay de Indiana Jones y el Gran Círculo Te espera una aventura épica…Disfrútalo con #RTXOn el 9 de diciembre.,0.5004,NEGATIVE,0.9916,0,['#RTXOn']
2024-11-17T14:00:18.000Z,No te pierdas estos 14 minutos de gameplay en detalle:,0.5006,NEGATIVE,0.9958,0,[]
2024-11-16T17:00:01.000Z,"Para celebrar el lanzamiento de la NVIDIA App, os ofrecemos una recompensa GeForce de @playtlgame. Logéate en la NVIDIA App Ve al apartado Canjear y reclama tu recompensa",0.5123,POSITIVE,0.8731,0,[]
2024-09-26T15:00:05.000Z,Más info ,0.5,NEGATIVE,0.6333,0,[]
2024-11-15T17:00:01.000Z,El rendimiento de NVIDIA DLSS basado en IA llega a tus juegos favoritos.Farming Simulator 25Microsoft Flight Simulator 2024Mortal RiteS.T.A.L.K.E.R. 2: Heart of Chornobyl,0.5098,POSITIVE,0.9997,0,[]
2024-11-15T17:00:02.000Z,Más info de estas novedades #RTXOn:,0.5008,POSITIVE,0.5938,0,['#RTXOn']
2024-11-13T09:33:52.000Z, ALERTA DE NUEVO DRIVER  Prepárate para la mejor experiencia en los siguientes lanzamientos:S.T.A.L.K.E.R. 2: Heart of ChornobylMicrosoft Flight Simulator 2024,0.5033,POSITIVE,0.9999,0,[]
2024-10-05T13:00:02.000Z,Más info →,0.5,POSITIVE,0.8862,0,[]
2024-11-12T15:09:46.000Z,"Conviértete en una LEYENDA Consigue la Edición Digital Premium de Indiana Jones y el Gran Círculo con la compra de un ordenador de sobremesa, portátil o GPU GeForce RTX Serie 40 que cumpla los requisitos.",0.5018,POSITIVE,0.9978,0,[]
2024-11-12T15:09:47.000Z,Pásate a #RTXON el 9 de diciembre:,0.501,POSITIVE,0.6462,0,['#RTXON']
2024-11-11T17:00:13.000Z,"Juega el mapa de Fortnite creativo de @LofiGirl, disponible con ray tracing, DLSS acelerado por IA y NVIDIA Reflex para un aspecto increíble y el mejor rendimiento.Juega al mapa ya  7880-6592-5769#LofiGirlASUS #RTXOn",0.5048,NEGATIVE,0.5587,0,"['#LofiGirlASUS', '#RTXOn']"
2024-11-11T17:00:14.000Z,Info de #LofiGirlASUS y bases legales en ,0.4986,POSITIVE,0.831,0,['#LofiGirlASUS']
2024-11-11T10:10:30.000Z,NVIDIA Reflex reduce la latencia del sistema en: Apex Legends: From The Rift VALORANT Episode 9 Act III Fortnite Ch. 2 Remix  Y muchos otros juegos,0.5064,POSITIVE,0.9996,0,[]
2024-09-29T18:00:43.000Z,#FramesWinGames ,0.5,POSITIVE,0.8189,0,['#FramesWinGames']
2024-11-07T21:00:01.000Z,"Hora de brillar.  Este #GFNThursday traemos 𝙋𝙚𝙧𝙛𝙤𝙧𝙢𝙖𝙣𝙘𝙚 a los usuarios de la nube, pases de día con un 𝟮𝟱% de descuento y nuevos juegos.",0.5002,POSITIVE,0.9966,0,['#GFNThursday']
2024-11-07T19:34:17.000Z,NVIDIA DLSS 3 con generación de fotogramas y superresolución acelera el rendimiento en:DUCKSIDEEmpire of the AntsKristalaPlanet Coaster 2SILENT HILL 2,0.5094,POSITIVE,0.9849,0,[]
2024-11-07T19:34:18.000Z,#RTXOn:,0.5,POSITIVE,0.8798,0,['#RTXOn']
2024-10-29T18:23:52.000Z,"El rendimiento acelerado por IA de NVIDIA DLSS llega a tus juegos favoritos, incluido Dragon Age: The Veilguard, disponible a partir del 31 de octubre.",0.5088,POSITIVE,0.8163,0,[]
2024-09-28T16:00:10.000Z,#RTXOn →,0.5,POSITIVE,0.8283,0,['#RTXOn']
