date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-27T23:00:00.000Z,"NVIDIA is leveraging Secure Boot within SONiC to protect against attacks before the operating system even loads, staying at the forefront of network security.Dive into our tech blog to discover the advantages of SONiC Secure Boot ",0.5271,NEGATIVE,0.9893,0,[]
2024-11-22T20:00:01.000Z,Learn from NVIDIA networking experts Check out this virtual workshop to learn how to leverage NVIDIA Pure SONiC and build a working SONiC infrastructure with NVIDIA Air.Available on demand  https://nvda.ws/3ZhwVVH,0.5327,POSITIVE,0.9988,0,[]
2024-11-08T23:00:01.000Z,"Don't miss our #SC24 session on the future of InfiniBand.Industry leaders will share how new #networking developments are bridging scientific computing with generative transformer models, natural language processing, and data analytics.Register today https://nvda.ws/3NZ7YYv",0.5361,POSITIVE,0.9264,0,"['#SC24', '#networking']"
2024-11-20T14:08:34.000Z," This just in: 384 systems on the #Top500 list run on NVIDIA's #acceleratedcomputing platform, with 85% of the new accelerated systems using NVIDIA Hopper to enable breakthroughs in sustainable computing. @top500supercomp #SC24  https://nvda.ws/3CLHeIB",0.5448,POSITIVE,0.9975,0,"['#Top500', '#acceleratedcomputing', '#SC24']"
2024-11-19T01:42:18.000Z," Great to see everyone at #SC24. We are excited to show how GPU cloud computing, high-performance networking, #ML, and quantum computing are transforming computer science and #AI  https://nvidia.com/en-us/events/supercomputing/?ncid=so-twit-670367…Don't miss our #generativeAI Super Heros of Supercomputing   ",0.5226,POSITIVE,0.9929,0,"['#SC24', '#ML', '#AI', '#generativeAI']"
2024-11-01T21:00:28.000Z,"Join NVIDIA at #VMwareExplore to discover how NVIDIA BlueField-3 DPUs transform your VMware Cloud Foundation, enhancing scale and security. Don't miss this chance to elevate your cloud strategy. Check out this session  https://nvda.ws/3CkWLin",0.5204,POSITIVE,0.9766,0,['#VMwareExplore']
2024-10-29T16:17:38.000Z," We unveiled Enterprise Reference Architectures, the comprehensive blueprints to help OEMs and joint customers build their own #AI factories — high-performance, scalable and secure #datacenters for manufacturing intelligence. Read the blog now.",0.5368,POSITIVE,0.951,0,"['#AI', '#datacenters']"
2024-10-28T15:00:02.000Z,"Supermicro partners with @xAI to power Colossus, the world's largest AI supercomputer! Our liquid-cooled @NVIDIA HGX Hopper 8-GPU servers will drive the next-gen AI chatbot @Grok.Watch @ServeTheHome for an exclusive look at the state-of-the-art data center.#xAI #Colossus",0.54,POSITIVE,0.9992,0,"['#xAI', '#Colossus']"
2024-10-28T16:13:25.000Z,".@xAI's Colossus in Memphis, the world's largest AI supercomputer with 100,000 NVIDIA Hopper GPUs, achieves new heights with NVIDIA Spectrum-X Ethernet. A testament to NVIDIA's dedication to #AI progress.Read more: https://nvda.ws/4fnuuWG",0.5619,POSITIVE,0.9947,0,['#AI']
2024-10-25T22:01:42.000Z,NVIDIA SHARP optimizes collective communications and boosts your AI workloads.Read our latest tech blog to discover the impact of in-network computing technology   https://nvda.ws/3O0MH0V,0.5424,POSITIVE,0.9705,0,[]
