date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-27T18:54:17.000Z,"Join us at #AWSreInvent to engage in hands-on exercises with NVIDIA Isaac Lab, AWS Batch, and Amazon EC2 to translate #simulation learnings to real-world robotic applications. https://nvda.ws/4fLAl94",0.5194,POSITIVE,0.996,0,"['#AWSreInvent', '#simulation']"
2024-11-26T21:55:39.000Z,At #AWSreInvent next week? Learn how to fast-track your #robotics projects using NVIDIA Isaac Lab with AWS Batch to rapidly train robots in a simulated environment. Register Now: https://nvda.ws/4eR8Pp8,0.5229,NEGATIVE,0.7379,0,"['#AWSreInvent', '#robotics']"
2024-11-26T17:23:52.000Z,What is a #humanoid robot? Humanoids are robots modeled after the human form factor. They are capable of learning a variety of tasks and work with humans to boost productivity. Learn More > https://nvda.ws/496NSFs,0.5026,POSITIVE,0.9957,0,['#humanoid']
2024-11-14T18:49:56.000Z,Check out this video exploring reinforcement learning using Isaac Lab to balance an inverted pendulum with #AI. See how you can leverage Isaac Lab. ,0.5216,POSITIVE,0.9908,0,['#AI']
2024-11-08T16:20:41.000Z,#Wandelbot NOVA  #NVIDIAIsaacSimRead to see how #NVIDIAOmniverse is being used to simplify robot simulation in physics-based digital training environments with intuitive human-machine interfaces.https://nvda.ws/40y2ICS,0.5109,POSITIVE,0.9875,0,"['#Wandelbot', '#NVIDIAIsaacSimRead', '#NVIDIAOmniverse']"
2024-11-08T00:03:43.000Z,Ever wonder how to train a humanoid robot? ,0.5,POSITIVE,0.63,0,[]
2024-11-13T00:25:25.000Z,1X announced the next phase of their 1X World Model Challenge.Enter now and try out NVIDIA's newly announced Cosmos video tokenizer with your submission.,0.5385,POSITIVE,0.5197,0,[]
2024-11-12T20:30:10.000Z,Ready to see Isaac Lab and #OpenUSD in action?Join tomorrow's livestream to: Explore Isaac Lab’s features & benefits Watch a live demo of real-world applications Hear from @1XTech about their use of Isaac Labhttps://nvda.ws/48LkYus,0.5109,POSITIVE,0.9682,0,['#OpenUSD']
2024-11-12T21:36:15.000Z,Discover the developments in #robotic dexterous grasping with UniDexGrasp. Learn how @GalbotRobotics used #NVIDIAIsaacSim to reduce the sim-2-real gap to push robots closer to human-like object manipulation.  https://nvda.ws/4fMeEFx#CoRL2024,0.5029,POSITIVE,0.958,0,"['#robotic', '#NVIDIAIsaacSim', '#CoRL2024']"
2024-11-12T19:06:40.000Z,"General-purpose #humanoid training in simulation accelerates @FourierRobots migration from NVIDIA Isaac Gym to Isaac Lab Discover how they simulate complex robot tasks, achieving robust #AI decision-making & performance in demanding environments. https://developer.nvidia.com/blog/spotlight-fourier-trains-humanoid-robots-for-real-world-roles-using-nvidia-isaac-gym/?ncid=so-twit-147745-vt48…",0.5253,POSITIVE,0.9957,0,"['#humanoid', '#AI']"
