date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-18T17:00:34.000Z,"Hey there! Welcome to the new NVIDIA AI PC channel! Whether you are deep into AI or just a little curious, we're here to explore the power of AI on your local PC.Follow along for the latest news, tech, and AI inspiration. ",0.5764,POSITIVE,0.9997,0,[]
2024-11-27T16:00:02.000Z," Meet Agentic AI: Your ultimate taskmaster. From managing schedules to automating workflows, Agentic AI is powered by RTX GPUs on your local PC with apps like @AnythingLLM for blazing speed and full privacy.  Check out this week's #AIDecoded blog: https://nvda.ws/3OsMJi1",0.5256,POSITIVE,0.9964,0,['#AIDecoded']
2024-11-25T17:00:29.000Z,"RTX Video, which runs on your local NVIDIA RTX AI PC, uses AI to greatly improve the quality of the videos you watch. Check out how it all works. ",0.5524,POSITIVE,0.9997,0,[]
2024-11-25T17:00:30.000Z,Learn more: https://nvda.ws/4g6QMfX.,0.501,POSITIVE,0.9519,0,[]
2024-11-22T17:00:23.000Z,"RTX GPUs and gaming go hand in hand with DLSS, Reflex and Game Ready Drivers, but there’s more!  Check out this quick walkthrough from @GeForce_JacobF and learn how to use @bfl_ml's FLUX AI image generation on your local NVIDIA GPU-powered PC.",0.521,POSITIVE,0.997,0,[]
2024-11-19T16:03:39.000Z,"Supercharge your @Windows AI development workflow using NVIDIA RTX AI PCs & new tools announced at #MSIgnite. From web app development to SLMs for digital humans, this week's #AIDecoded blog breaks down the updates  https://nvda.ws/48Uv8Jr",0.5536,POSITIVE,0.8097,0,"['#MSIgnite', '#AIDecoded']"
2024-11-28T15:00:00.000Z,What AI tool are you most thankful for? ,0.5917,POSITIVE,0.9782,0,[]
2024-12-06T18:14:51.000Z,Want to build your own AI agent? Check out this awesome tutorial by @KennyGunderman using @Ollama and @AnythingLLM on his local RTX AI PC. ,0.54,POSITIVE,0.9937,0,[]
2024-12-05T18:14:52.000Z,Would you like to help automate your life with AI Agents doing tasks for you? @InternetCoder can show you how using @AnythingLLM on your RTX AI PC in his most recent video ,0.5406,POSITIVE,0.9861,0,[]
2024-12-03T19:18:39.000Z,"Messy room? Loud background noises? Awkward eye contact? NVIDIA Broadcast’s AI features have your back! Broadcast leverages your NVIDIA RTX GPU to provide AI effects like eye contact, noise removal, virtual background, and more.  https://nvda.ws/3OB5ccz",0.5305,POSITIVE,0.708,0,[]
2024-12-13T17:00:06.000Z,"When you work with AI, which do you prefer to use?  or ?#GeForceGreats",0.572,POSITIVE,0.9985,0,['#GeForceGreats']
2024-12-13T01:27:19.000Z,Welcome to #GeForceGreats! This is your opportunity to celebrate & debate the greats of AI + PC history and win big! Stay tuned for posts over the next few weeks.Here is your first chance: Comment #GeForceGreats Like this postLearn more  https://nvda.ws/3ZC2KaA,0.5256,POSITIVE,0.866,0,"['#GeForceGreats', '#GeForceGreats']"
2024-12-11T16:03:42.000Z," Step into the future with RTX AI PCs!Whether you're a creator, gamer, or just love tech, these PCs are built for you.  Check out the latest #AIDecoded blog to see which one is right for you  https://nvda.ws/3BdjTzv",0.5231,POSITIVE,0.994,0,['#AIDecoded']
