date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-20T16:30:01.000Z,"Mark your calendars for #CES2025, taking place January 6-10. Join us in Las Vegas for our CEO Jensen Huang’s opening keynote, insightful speaker panels, and immersive demos showcasing the latest tech innovations.Register for CES: https://nvda.ws/3ZeG55i@CES",0.5127,POSITIVE,0.9915,0,['#CES2025']
2024-11-21T20:48:23.000Z,"Discover how @ENERGY's AI initiatives are transforming science, industry, and government. In the latest NVIDIA AI Podcast, the U.S. Department of Energy's chief AI officer, Helena Fu, discusses the department's groundbreaking efforts. #AIpodcast",0.5498,POSITIVE,0.9834,0,['#AIpodcast']
2024-11-21T20:06:23.000Z,"Registration is now open for #GTC25.  Join us March 17–20 in San Jose, CA to get hands-on experience with the latest technologies driving real-world change through #AI.   https://nvda.ws/3OiVX0b",0.527,POSITIVE,0.9871,0,"['#GTC25', '#AI']"
2024-11-20T14:08:34.000Z," This just in: 384 systems on the #Top500 list run on NVIDIA's #acceleratedcomputing platform, with 85% of the new accelerated systems using NVIDIA Hopper to enable breakthroughs in sustainable computing. @top500supercomp #SC24  https://nvda.ws/3CLHeIB",0.5448,POSITIVE,0.9975,0,"['#Top500', '#acceleratedcomputing', '#SC24']"
2024-11-15T17:33:43.000Z,"NVIDIA is named the No. 1 best company to work for in America, according to @Forbes. Discover why it’s like no place you’ve ever worked. #NVIDIAlife",0.575,POSITIVE,0.9551,0,['#NVIDIAlife']
2024-11-14T05:30:02.000Z, Just announced: Indonesia tech leaders team with NVIDIA and partners on sovereign #AI. This includes the launch of the Sahabat-AI #LLM collection and AI services for Indonesia's industries and over 277 million Bahasa speakers. Learn more: https://nvda.ws/3UPxaEZ,0.5752,POSITIVE,0.9718,0,"['#AI', '#LLM']"
2024-11-14T00:24:09.000Z,"Join us at #MSIgnite next week, Nov 19-22: https://nvda.ws/3Z4OaJIDon't miss the opportunity to meet NVIDIA AI experts, experience hands-on demos in the NVIDIA booth, and attend a broad range of insightful sessions to explore how to accelerate your work with @Microsoft.",0.5388,POSITIVE,0.9514,0,['#MSIgnite']
2024-10-24T17:00:36.000Z,New episode of NVIDIA #DRIVELabs features collaboration between #NVIDIAResearch and @Stanford on real-time anomaly detection and reactive planning with #LLMs. Winner of @RoboticsSciSys Outstanding Paper Award. #AI #automomousdriving #robotics https://nvda.ws/4hktF2F,0.5402,POSITIVE,0.9988,0,"['#DRIVELabs', '#NVIDIAResearch', '#LLMs', '#AI', '#automomousdriving', '#robotics']"
2024-11-13T02:31:54.000Z,"Japan’s #cloud leaders are teaming with NVIDIA to build new AI infrastructure to supply compute resources for its industries.Discover how NVIDIA #acceleratedcomputing, networking, and software solutions will transform Japan's industries.  https://nvda.ws/3Z1JRPq#AISummit",0.562,POSITIVE,0.9906,0,"['#cloud', '#acceleratedcomputing', '#AISummit']"
2024-11-13T18:38:52.000Z,"At #AIsummit, our founder and CEO Jensen Huang and SoftBank Chairman and CEO Masayoshi Son shared a sweeping vision for Japan’s role in the AI revolution. Learn how the country is poised to create both digital and physical #AI. @sbnews9434",0.5358,POSITIVE,0.9949,0,"['#AIsummit', '#AI']"
2024-11-13T02:35:02.000Z," We are collaborating with @sbnews9434 to build the AI grid for Japan. https://nvda.ws/48OC9vgUsing our tech for AI factories, 5G AI-RAN networks, and creating an AI marketplace, Softbank is accelerating their journey to becoming a global AI powerhouse. #AISummit",0.5607,POSITIVE,0.9899,0,['#AISummit']
2024-11-12T14:00:16.000Z,"Exciting Update! Jensen Huang, CEO of NVIDIA, is a 2025 Edison Achievement Award Honoree!A true tech visionary, he’s transforming industries with innovation. Join us in celebrating his impact on the future of technology!#EdisonAwards #Innovation #JensenHuang #AI #NVIDIA",0.5448,POSITIVE,0.9986,0,"['#EdisonAwards', '#Innovation', '#JensenHuang', '#AI', '#NVIDIA']"
2024-11-04T21:42:24.000Z,The new NVIDIA AI Blueprint simplifies building interactive visual #AIagents for video search and summarization.  https://nvda.ws/3UAPKApThese agents can understand activity within large volumes of videos using #generativeAI. #SCEWC2024,0.5377,POSITIVE,0.9987,0,"['#AIagents', '#generativeAI', '#SCEWC2024']"
2024-11-01T17:30:20.000Z,"Education is a lifelong endeavor for Gary Yau, a senior quality assurance engineer at NVIDIA. Discover how he’s advanced his skills and career with the help of our continuing education benefits. #NVIDIAlife",0.5182,POSITIVE,0.999,0,['#NVIDIAlife']
2024-10-24T06:40:30.000Z,"Just announced at NVIDIA #AISummit in India Industrial powerhouses including @OlaElectric, @RIL_Updates, @TCS, and @tech_mahindra are utilizing #NVIDIAOmniverse to accelerate factory planning & operations with #DigitalTwins and #GenerativeAI. https://nvda.ws/4e4H4sW",0.528,POSITIVE,0.9862,0,"['#AISummit', '#NVIDIAOmniverse', '#DigitalTwins', '#GenerativeAI']"
2024-10-24T06:20:31.000Z,"Announced at #AISummit India:Leading cloud infrastructure providers and server manufacturers are boosting accelerated data center capacity with thousands of #NVIDIAHopper GPUs, with deployments expected to double by year’s end.Read more: https://nvda.ws/4eTj5yg",0.5267,POSITIVE,0.9627,0,"['#AISummit', '#NVIDIAHopper']"
2024-10-23T12:00:00.000Z,"Our CEO Jensen Huang joined the King of Denmark to launch the Gefion AI supercomputer, powered by an #NVIDIADGX SuperPOD, which will accelerate innovation for quantum computing, energy, biology, and more in Denmark. #SovereignAI @novonordiskfondRead more",0.525,POSITIVE,0.9917,0,"['#NVIDIADGX', '#SovereignAI']"
2024-10-22T17:33:32.000Z,"At the #AIsummit in Washington, D.C., policymakers, civil servants, and industry leaders experienced the transformative impact of #AI firsthand.Access session replays, now available to watch on demand: https://nvda.ws/4hsL0a3Watch the event recap: https://nvda.ws/3UlzlzB",0.5193,POSITIVE,0.9951,0,"['#AIsummit', '#AI']"
2024-10-22T00:18:28.000Z,"Don’t miss this visionary conversation with our CEO Jensen Huang and @Gartner_inc’s Daryl Plummer on #AI, leadership, and innovating the future. https://nvda.ws/3A63ex8 #GartnerSYM",0.5225,POSITIVE,0.9803,0,"['#AI', '#GartnerSYM']"
2024-10-21T18:40:09.000Z,"At #HLTH2024, we're thrilled to announce our partnership with @Microsoft, providing AI startups from the #NVIDIAInception and @msft4startups programs with access to essential tools and resources to solve complex healthcare challenges. https://nvda.ws/4hg2xlC",0.5208,POSITIVE,0.9891,0,"['#HLTH2024', '#NVIDIAInception']"
2024-10-18T16:49:14.000Z,Ruixuan Li is leading the way in developing GPU architecture. Explore her journey as she works on defining next-generation #AI technology. #NVIDIAlife,0.5528,POSITIVE,0.9991,0,"['#AI', '#NVIDIAlife']"
2024-10-17T16:21:57.000Z," Did you know that 85% of ocean litter is plastic? Clearbot, powered by #NVIDIAJetson, is tackling this issue head-on by autonomously cleaning waterways with energy-efficient #AI, removing trash before it reaches the oceans.Learn more ",0.5252,POSITIVE,0.626,0,"['#NVIDIAJetson', '#AI']"
2024-10-09T10:25:35.000Z,"""We're at the beginning of a new industrial revolution""Rene Haas is joined by @NVIDIA CEO Jensen Huang on the 1st episode of Tech Unheard.  Listen in as Jensen introduces the AI factory, where intelligence is now manufactured at large volumes: https://newsroom.arm.com/podcasts/tech-unheard-episode-one-jensen-huang?utm_source=twitter&utm_medium=social-organic&utm_content=podcast&utm_campaign=mk29_exec-comms_na…",0.5292,POSITIVE,0.9164,0,[]
2024-10-11T14:00:27.000Z,"Happy #GeForceDay! On October 11, 1999, the GeForce 256 launched as the world's 1st GPU & changed PC gaming graphics forever.What was your favorite PC game of that era? Learn more about the history of the GeForce 256: https://nvda.ws/3BCb81I",0.5131,POSITIVE,0.9975,0,['#GeForceDay']
2024-10-10T17:51:01.000Z,"#WorldMentalHealthDay  Half of the world's population will face a mental health disorder, yet there are only 13 mental health workers per 100,000 people globally, with up to 40x disparity between countries.   https://blogs.nvidia.com/blog/ai-mental-health-therapyside/… See how @Therapyside, a Madrid startup,",0.5183,NEGATIVE,0.6669,0,['#WorldMentalHealthDay']
2024-10-08T16:00:02.000Z, Just announced: @DeloitteUS adopts NVIDIA NIM Agent Blueprint for container security to help enterprises build safe AI using open-source software.  Read now: https://nvda.ws/4gYy0J0,0.5363,NEGATIVE,0.555,0,[]
2024-10-08T15:29:51.000Z, Live from AI Summit: We are collaborating with top U.S. tech leaders to revolutionize the world’s industries with custom #AI solutions.  https://nvda.ws/4dHVoHARead now to discover the transformative power of NVIDIA AI in shaping the future.,0.5546,POSITIVE,0.9947,0,['#AI']
2024-10-09T16:19:27.000Z,"Boost your application performance and ROI with our ongoing optimizations of leading #LLMs, designed to deliver high throughput and low latency for real-time demands. Learn more: https://nvda.ws/3Nkeb18",0.5227,POSITIVE,0.985,0,['#LLMs']
2024-10-08T21:03:31.000Z,"Today at #AIsummit, VP of Enterprise Platforms Bob Pette highlighted how our accelerated computing platform is critical to the next wave of industrial, cybersecurity, scientific and healthcare transformations. https://nvda.ws/47UR1b7 #AI",0.5285,POSITIVE,0.9862,0,"['#AIsummit', '#AI']"
2024-10-08T17:47:29.000Z,"#NVIDIABlackwell has arrived. @OpenAI , we’re excited to see what you can do with one of the first engineering builds of the #NVIDIADGX B200 system.Learn more about DGX B200 here: https://nvda.ws/3BBLJoM",0.5158,POSITIVE,0.9908,0,"['#NVIDIABlackwell', '#NVIDIADGX']"
2024-10-08T15:33:47.000Z,"Our long-standing partnership with NVIDIA and deep innovation continues to lead the industry, powering the most sophisticated AI workloads.",0.5588,POSITIVE,0.9993,0,[]
2024-10-07T16:56:51.000Z,"Tune in to the #CES2025 opening keynote by our CEO Jensen Huang live in Las Vegas on Monday, January 6, at 6:30 p.m. PT. https://nvda.ws/3XX7uXr",0.5347,POSITIVE,0.9911,0,['#CES2025']
2024-09-27T16:27:47.000Z,Discover how NVIDIA executive assistant Jaime Miller is redefining the perception of administrative roles and driving IT innovation. #NVIDIAlife,0.5135,POSITIVE,0.9935,0,['#NVIDIAlife']
