date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-19T17:25:38.000Z,"Introducing the #NVIDIAOmniverse Blueprint for precise visual #generativeAI.  Using the blueprint, developers like @AccentureSong, @tools_grip, @madebymonks_ , @WPP, and Collective World can build tools for scalable content creation.https://nvda.ws/4i71Njc",0.5085,POSITIVE,0.9862,0,"['#NVIDIAOmniverse', '#generativeAI']"
2024-11-25T22:30:01.000Z,"See how #OpenUSD is enabling real-time digital twins and high-quality, brand-accurate content.  Check out two newly released #NVIDIAOmniverse Blueprints, featuring key #AOUSD members: @Ansys, @Cadence, @nvidia, @Siemens, and @WPP. https://hubs.la/Q02ZmmPQ0",0.5216,POSITIVE,0.9988,0,"['#OpenUSD', '#NVIDIAOmniverse', '#AOUSD']"
2024-11-25T19:59:44.000Z,Want to make the most of your #3D workflows & development pipelines?Don't miss our Learn OpenUSD Lab at #SIGGRAPHAsia2024 to master the process of exchanging data between #OpenUSD and other data formats. Register: https://nvda.ws/413j5r5,0.5117,POSITIVE,0.9836,0,"['#3D', '#SIGGRAPHAsia2024', '#OpenUSD']"
2024-11-24T17:00:02.000Z,"Join the Learn OpenUSD Lab at #SIGGRAPHAsia2024 to explore how #OpenUSD enables scalable, modular, and high-performance scenes for collaboration & parallel workflows across industries.Register: https://nvda.ws/3Onp56H",0.5085,POSITIVE,0.9974,0,"['#SIGGRAPHAsia2024', '#OpenUSD']"
2024-11-18T21:00:01.000Z,Don't miss @ROKAutomation's Blake Moret and NVIDIA's Rev Lebaredian fireside chat at Automation Fair 2024. Tune in to explore the future of industrial operations and the pivot role of #AI and #DigitalTwins.,0.5373,POSITIVE,0.9944,0,"['#AI', '#DigitalTwins']"
2024-11-19T18:45:00.000Z,The demand for advanced 3D applications and real-time data integration is growing. Learn how @NVIDIAOmniverse and Microsoft @Azure's reference architecture enables physically accurate 3D #DigitalTwins of industrial systems and production environments in real time.,0.5294,POSITIVE,0.9994,0,['#DigitalTwins']
2024-11-19T17:15:00.000Z,"At #MSIgnite 2024, we unveiled groundbreaking product integrations designed to elevate full-stack NVIDIA #AI on @Microsoft applications.",0.5462,POSITIVE,0.999,0,"['#MSIgnite', '#AI']"
2024-11-19T16:05:21.000Z, Did you hear our latest announcements?  New steering committee rotating members New members New liaison relationships  New #OpenUSD release #AOUSD working groups progresshttps://aousd.org/news/alliance-for-openusd-announces-new-rotating-steering-committee-members-and-expanded-industry-collaborations/…,0.5683,POSITIVE,0.8166,0,"['#OpenUSD', '#AOUSD']"
2024-11-19T01:32:48.000Z,Don't miss our first Isaac Lab office hour this Wednesday at 9:00 AM PST.  Join us to deep-dive into NVIDIA Isaac Lab workflows & learn more about #robot learning and policy training from our very own robotics engineers. https://nvda.ws/3YU9Oz8,0.5148,POSITIVE,0.9807,0,['#robot']
2024-11-18T20:30:00.000Z,"Leveraging #DigitalTwins in @NVIDIAOmniverse, Foxconn is fast-tracking facility rollouts in the U.S., Mexico, and Taiwan with Industrial #AI to meet soaring demand for Blackwell. ",0.5244,POSITIVE,0.9979,0,"['#DigitalTwins', '#AI']"
