date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-10-18T15:12:42.000Z,Which do you prefer splurging on?,0.5,NEGATIVE,0.6616,0,[]
2024-10-08T17:00:01.000Z,Lots of people prefer solo travel. What was your most memorable experience traveling by yourself?,0.5025,NEGATIVE,0.9337,0,[]
2024-09-20T19:00:00.000Z,Balance means something different to everyone. What's one thing you do to maintain yours? ,0.5138,POSITIVE,0.9998,0,[]
2024-09-12T19:27:56.000Z,Loud Budgeting means being open with others about your financial limits and giving yourself permission to not make big purchases when you don't want to or can't afford them.,0.5139,NEGATIVE,0.9965,0,[]
2024-09-09T18:30:08.000Z,"Passing the flag to the #LA28 Olympic & Paralympic Games, we celebrate LA’s endless opportunities thru its iconic sunsets and roads to success. Our blues and yellow show our commitment to #LA28, the community and our 40-year partnership of the #Olympics. #NextUpLA28 #Paralympics",0.5283,POSITIVE,0.9998,0,"['#LA28', '#LA28', '#Olympics', '#NextUpLA28', '#Paralympics']"
2024-09-09T18:04:20.000Z,Do you know what loud budgeting is? ,0.5217,NEGATIVE,0.997,0,[]
2024-09-05T13:18:39.000Z,"What a race! @OksanaMasters won Gold in Para Cycling Road Women’s Individual Time Trial H4-5 at the Paris 2024 Paralympic Games, and we’re here for it. #Paralympics #TeamVisa #Paris2024 Visa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.",0.5212,POSITIVE,0.9998,0,"['#Paralympics', '#TeamVisa', '#Paris2024']"
2024-08-08T20:51:50.000Z,.@LylesNoah – you’re truly one of a kind. Congratulations on winning Bronze in the Men’s 200m at the Olympic Games Paris 2024 #Paris2024 #Olympics #TeamVisa #VisaVisa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.,0.516,POSITIVE,0.9948,0,"['#Paris2024', '#Olympics', '#TeamVisa', '#VisaVisa']"
2024-08-06T20:09:23.000Z,"Let’s go U.S. Olympic Women’s Soccer Team! Olympic Games Paris 2024 Gold Medal Match, coming 8/10! #Paris2024 #Olympics #VisaVisa. Worldwide Payment Technology Partner of the Olympic Games Paris 2024 and Proud Partner of the U.S. Women’s National Team.",0.5125,POSITIVE,0.9997,0,"['#Paris2024', '#Olympics', '#VisaVisa']"
2024-08-06T13:00:01.000Z,"Good things come to those who wait, and for @Caroline_Marks3 patience paid off! Congratulations on winning your first Gold at the Olympic Games Paris 2024! #Paris2024 #TeamVisa #Olympics Visa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.",0.5181,POSITIVE,0.9912,0,"['#Paris2024', '#TeamVisa', '#Olympics']"
2024-08-05T19:56:50.000Z,.@Simone_Biles - Congratulations on winning Silver in the Women’s Floor Exercise! Your performances at the Olympic Games Paris 2024 made us proud to have you on #TeamVisa. #Paris2024 #Olympics #VisaVisa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games,0.5179,POSITIVE,0.9926,0,"['#TeamVisa', '#Paris2024', '#Olympics', '#VisaVisa']"
2024-08-04T21:47:07.000Z,What a race! Congratulations to @LylesNoah on winning Gold in the Men’s 100m Final at the Olympic Games Paris 2024! #TeamVisa #Paris2024 #Olympics #VisaVisa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.,0.515,POSITIVE,0.9996,0,"['#TeamVisa', '#Paris2024', '#Olympics', '#VisaVisa']"
2024-08-03T21:32:30.000Z,Another medal for Kate Douglass at the Olympic Games Paris 2024! Congratulations to this #TeamVisa swimmer on her Silver in the Women’s 200m Individual Medley. #Visa #Paris2024 #Olympics Visa. Worldwide Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.,0.513,POSITIVE,0.9993,0,"['#TeamVisa', '#Visa', '#Paris2024', '#Olympics']"
2024-08-03T19:43:55.000Z,The U.S. Olympic Women’s Soccer Team are headed to the soccer Semi Final of the Olympic Games Paris 2024! #Visa #Paris2024 #Olympics Visa. Worldwide Payment Technology Partner of the Olympic Games Paris 2024 and Proud Partner of the U.S. Women’s National Team.,0.5131,POSITIVE,0.9994,0,"['#Visa', '#Paris2024', '#Olympics']"
2024-08-03T19:42:38.000Z,"GOLD – Women’s Vault. #TeamVisa’s @Simone_Biles earned another podium appearance at the Olympic Games Paris 2024! And it never gets old seeing her up there.  Bravo, Simone!Visa. Payment Technology Partner of the Olympic & Paralympic Games Paris 2024.",0.512,POSITIVE,0.999,0,['#TeamVisa']
