date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2015-10-01T16:46:41.000Z,Looking forward to participating in Twitter chat with @Forbes @bupbin in a few minutes! #AskForbes #ChipReady,0.5045,POSITIVE,0.8588,0,"['#AskForbes', '#ChipReady']"
2015-10-01T21:00:26.000Z,Visa CEO Charlie Scharf is #ChipReady in DC!,0.5225,POSITIVE,0.9907,0,['#ChipReady']
2015-10-01T19:34:57.000Z,.@vancews Banks are in the process of rolling out chip cards. Please contact your bank for specific details. #AskForbes,0.5192,NEGATIVE,0.9905,0,['#AskForbes']
2015-10-01T17:45:16.000Z,".@awesomepeter Switching not required by law/regulation, but it’s important merchants understand. Learn more: http://vi.sa/1P7KEng (2/2)",0.5014,NEGATIVE,0.7227,0,[]
2015-10-01T17:44:52.000Z,".@awesomepeter As of today, in-store counterfeit fraud liability shifts to the party that has not adopted chip technology. (1/2)",0.5468,NEGATIVE,0.9987,0,[]
2015-10-01T00:37:00.000Z,"Plug in, sign up, start accepting cards.  Find a partner http://vi.sa/1LhLNJ9 #mPOS#smallbusiness",0.5042,NEGATIVE,0.9981,0,"['#mPOS', '#smallbusiness']"
2015-09-30T17:44:00.000Z,Start accepting EMV cards as early as now with a #mPOS device.  See how http://vi.sa/1Jl2ZG0,0.5021,POSITIVE,0.5998,0,['#mPOS']
2015-09-29T20:24:00.000Z,Go to your customer.  Accept cards in your store or on the road with #mPOS Start accepting now http://visa.com/mpos,0.5115,NEGATIVE,0.9868,0,['#mPOS']
2015-09-28T22:21:01.000Z,"#mPOS relies on software, so easily add inventor & real-time sales data features. See how http://vi.sa/1Fb0L1l",0.5522,POSITIVE,0.9853,0,['#mPOS']
2015-09-25T17:24:00.000Z,Minimal investment  + more sales = great opportunity #mPOS #smallbusiness  See how http://vi.sa/1Fb0L1l,0.5508,NEGATIVE,0.9104,0,"['#mPOS', '#smallbusiness']"
2015-09-24T19:00:00.000Z,"Connect with your most valuable asset, your customers #mPOS #smallbusiness See how http://vi.sa/1Fb0L1h",0.515,POSITIVE,0.6931,0,"['#mPOS', '#smallbusiness']"
2015-09-24T15:32:29.000Z,"Visa supports #ASBDC, which provided Da Claudio’s Restaurant with no-cost consultation: http://bit.ly/NYTWV94",0.5108,NEGATIVE,0.903,0,['#ASBDC']
2015-09-24T01:00:11.000Z,10 steps to ensure that your business is #ChipReady: http://vi.sa/1II9tTS #smallbizchat,0.5389,NEGATIVE,0.7412,0,"['#ChipReady', '#smallbizchat']"
2015-09-24T00:54:13.000Z,A11c: Hold an employee training session. Ask them to take the staff training quiz:  http://vi.sa/1MGQNXU  #SmallBizChat,0.497,NEGATIVE,0.9032,0,['#SmallBizChat']
2015-09-24T00:45:31.000Z,Order Free POS decals to show customers you accept chip cards #Visa: #chipready #SmallBizChat http://vi.sa/1M6A4fD,0.5294,NEGATIVE,0.9769,0,"['#Visa', '#chipready', '#SmallBizChat']"
2015-09-24T00:42:43.000Z,A7f: Checkout this video from @VisaSmallBiz to see how new transactions work:  http://bit.ly/1JBREq2  #SmallBizChat,0.5335,NEGATIVE,0.8107,0,['#SmallBizChat']
2015-09-24T00:42:49.000Z,Find resources to help get your #smallbiz employees #chipready at http://visachip.com #smallbizchat,0.5055,NEGATIVE,0.9278,0,"['#smallbiz', '#chipready', '#smallbizchat']"
2015-09-24T00:31:52.000Z,"A5b: Investing in chip technology can help pave the way for mobile and digital  commerce, giving your customers more options  #SmallBizChat",0.56,POSITIVE,0.9171,0,['#SmallBizChat']
2015-09-24T00:31:51.000Z,Small biz owners: visit http://visachip.com/businesstoolkit to help get your #smallbiz #chipready #smallbizchat,0.5085,NEGATIVE,0.9181,0,"['#smallbiz', '#chipready', '#smallbizchat']"
2015-09-24T00:23:52.000Z,"A4c: As business owners begin accepting #chipcards, those that don’t will start  to become bigger targets for fraud   #SmallBizChat",0.5265,NEGATIVE,0.9638,0,"['#chipcards', '#SmallBizChat']"
2015-09-24T00:22:50.000Z,"A4b: Starting 10/1/2015, #smallbiz that can’t accept chip cards may be liable for  counterfeit fraud   #SmallBizChat",0.51,NEGATIVE,0.9999,0,"['#smallbiz', '#SmallBizChat']"
2015-09-24T00:09:21.000Z,Get your small business #chipready! Join the conversation and visit http://visachip.com  to find out more. #SmallBizChat,0.5329,NEGATIVE,0.9969,0,"['#chipready', '#SmallBizChat']"
2015-09-23T17:16:00.000Z,"Customers want convenience, you want a secure payment solution #mPOS #smallbusiness See More http://vi.sa/1Jl2ZG0",0.5211,NEGATIVE,0.9914,0,"['#mPOS', '#smallbusiness']"
2015-09-22T21:02:30.000Z,Join us 9/23 5PM PST for a #smallbizchat on safer #payments & how to get your #smallbusiness #chipready w/ @SmallBizTrends & @SmallBizLady,0.5096,NEGATIVE,0.9594,0,"['#smallbizchat', '#payments', '#smallbusiness', '#chipready']"
2015-09-22T18:45:00.000Z,Sudden rush of customers?  Add checkout points easily with #mPOS #smallbusines  See how http://vi.sa/1Jllzhu,0.5143,NEGATIVE,0.7692,0,"['#mPOS', '#smallbusines']"
2015-09-22T16:16:52.000Z,Customers spend up to 3x more with credit than cash. An mPOS solution is a great way to start accepting.  https://cards.twitter.com/cards/4sp7hr/ysrc…,0.5194,POSITIVE,0.6143,0,[]
2015-09-21T13:31:00.000Z,Please follow this week's #SmallBizChat guest @SmallBizTrends and our sponsor @VisaSmallBiz,0.5181,NEGATIVE,0.9881,0,['#SmallBizChat']
2015-09-21T21:16:02.000Z,"Simple, low-cost and secure.  That’s an #mPOS payment solution.  See all of the benefits http://vi.sa/1JlEit2",0.5186,POSITIVE,0.9976,0,['#mPOS']
2015-09-21T18:36:28.000Z,Accepting cards can make an impact on sales!  #mPOS #smallbusiness  Start accepting http://vi.sa/1JlnNNT,0.5396,POSITIVE,0.9314,0,"['#mPOS', '#smallbusiness']"
2015-09-21T17:05:54.000Z,Learn how your #smallbusiness can get #chipready during our upcoming #smallbizchat 9/23 5PM PST w/ Anita Campbell from @SmallBizTrends,0.5029,POSITIVE,0.5277,0,"['#smallbusiness', '#chipready', '#smallbizchat']"
2015-09-21T17:00:03.000Z,A payment solution that scales to meet your business needs #mPOS #smallbusiness Learn more http://vi.sa/1Jl2Tyd,0.5335,POSITIVE,0.9628,0,"['#mPOS', '#smallbusiness']"
