Date,Video Name,Video Views,PTR Transcript Sentiment,Flair Transcript Outlook,Flair Transcript Score
12/8/2024,Russia’s Real Estate Crisis Explained,124K views,0.5282,NEGATIVE,0.907
12/8/2024,France’s Government Collapses: What Next?,275K views,0.5249,NEGATIVE,0.892
12/8/2024,Why Europe is Souring on Net Zero,123K views,0.5271,NEGATIVE,0.901
12/8/2024,Video Name,Video Views,PTR Transcript Sentiment,Flair Transcript Outlook,Flair Transcript Score
12/8/2024,Russia’s Real Estate Crisis Explained,125K views,0.5282,NEGATIVE,0.907
12/8/2024,France’s Government Collapses: What Next?,276K views,0.5249,NEGATIVE,0.892
12/8/2024,Why Europe is Souring on Net Zero,123K views,0.5271,NEGATIVE,0.901
12/8/2024,Why it’s looking more likely that Iceland will join the EU,195K views,0.5185,NEGATIVE,0.8902
12/8/2024,Why has Support for the German Greens Collapsed?,104K views,0.5184,NEGATIVE,0.9342
12/8/2024,Why is the Ruble Crashing?,463K views,0.5354,NEGATIVE,0.9297
12/8/2024,Will Poland's Economic Miracle Ever End?,314K views,0.5376,POSITIVE,0.905
12/8/2024,Why the “Conservative Left” is on the Rise in Europe,245K views,0.5253,POSITIVE,0.8699
12/8/2024,How Wage Indexing Saved Belgium's Economy,210K views,0.5296,NEGATIVE,0.8933
12/8/2024,Russia’s War Economy Overheats: What Next?,653K views,0.5383,NEGATIVE,0.9091
12/8/2024,Why Czechia has the Least Popular Government in Europe,229K views,0.5198,NEGATIVE,0.9103
12/8/2024,Why are European Wages So Low?,216K views,0.5265,NEGATIVE,0.908
12/8/2024,Who Are Trump’s Biggest Allies in Europe?,104K views,0.5215,POSITIVE,0.8884
12/8/2024,Could Trump's Return Convince the EU to Accept Turkey?,121K views,0.5204,NEGATIVE,0.9027
12/8/2024,Trump's Ukraine Peace Plan Explained,1.8M views,0.5237,NEGATIVE,0.8999
12/8/2024,Germany's Government Finally Collapses: What Next?,301K views,0.5219,NEGATIVE,0.9278
12/8/2024,Could Trump be Good for the EU?,325K views,0.5201,NEGATIVE,0.8833
12/8/2024,Who Could Fill the EU's Leadership Vacuum?,86K views,0.522,POSITIVE,0.9149
12/8/2024,8 Elections in 4 Years: What’s Going on in Bulgaria?,144K views,0.5224,NEGATIVE,0.8877
12/8/2024,Why Ireland Has Too Much Money (and doesn't know how to spend it),190K views,0.5297,NEGATIVE,0.9067
12/8/2024,Is Euroscepticism Actually On the Rise?,87K views,0.5262,NEGATIVE,0.8991
12/8/2024,Netherlands and Hungary Ditch the EU's Migration Pact: What Next?,116K views,0.5267,NEGATIVE,0.9146
12/8/2024,Why the EU Can't Negotiate Trade Deals (at the moment),113K views,0.5227,NEGATIVE,0.8913
12/8/2024,Why a Hard Right Party is on the Rise in Norway,123K views,0.5214,POSITIVE,0.8991
12/8/2024,Why the Dutch Economy is Outperforming the Rest of Europe,244K views,0.5315,POSITIVE,0.9237
12/8/2024,Why Serbia’s Economy is Doing Surprisingly Well,162K views,0.5359,POSITIVE,0.9129
12/8/2024,Could “Mini-Schengen” Zones Solve the EU’s Migration Crisis?,180K views,0.5188,NEGATIVE,0.908
12/8/2024,How Albania Became the EU’s Favourite Neighbour,162K views,0.5207,POSITIVE,0.9084
12/8/2024,Why Europe's Economy Could Catch Up With America,200K views,0.5308,NEGATIVE,0.9081
12/8/2024,How Meloni (Sort of) Solved Italy’s Migration Crisis,170K views,0.5248,NEGATIVE,0.8928
12/8/2024,Austria’s Election Explained: Another Far Right Victory in Europe,122K views,0.5183,NEGATIVE,0.9067
12/8/2024,Hungary's Opposition Surges in the Polls: What Next?,206K views,0.5232,NEGATIVE,0.9092
12/8/2024,Why is the AfD Doing So Well With Young Voters?,103K views,0.5253,NEGATIVE,0.8972
12/8/2024,Has Italy fixed its Political Instability?,141K views,0.5221,POSITIVE,0.891
12/8/2024,Is Slovakia Becoming the Next Hungary?,98K views,0.5194,NEGATIVE,0.9239
12/8/2024,Why Spain and Germany Are Ganging Up in the EU,172K views,0.523,POSITIVE,0.9308
12/8/2024,Why the Netherlands Wants to Opt Out of the EU’s Migration Pact,174K views,0.5211,NEGATIVE,0.9017
12/8/2024,Why Germany is Rich But Germans are Poor,267K views,0.5212,NEGATIVE,0.9074
12/8/2024,Why Germany is Buddying Up To the US,128K views,0.5268,NEGATIVE,0.9069
12/8/2024,Germany Imposes Border Controls: Can Schengen Survive?,297K views,0.5213,NEGATIVE,0.8981
