Date,Video Name,Video Views,PTR Transcript Sentiment,Flair Transcript Outlook,Flair Transcript Score
12/18/2024,Trudeau's Ministers Abandon Him: What Next?,138K views,0.5234,NEGATIVE,0.8978
12/17/2024,President Yoon Impeached: What Next for South Korea?,122K views,0.5211,NEGATIVE,0.8934
12/15/2024,One Year In: How is Milei’s “Experiment” Going?,358K views,0.5362,NEGATIVE,0.9165
12/13/2024,Will Trump Recognise Somaliland?,225K views,0.5225,NEGATIVE,0.8761
12/12/2024,What Next for Syria's Kurds?,270K views,0.5153,NEGATIVE,0.8812
12/11/2024,Israel Occupies Syria: What Next?,334K views,0.5188,NEGATIVE,0.9179
12/10/2024,Why Iran Has Had a Terrible 2024,267K views,0.525,NEGATIVE,0.912
12/9/2024,Assad’s Regime Collapses: What Next?,389K views,0.5193,NEGATIVE,0.9105
12/7/2024,Syrian Rebels Reach Homs: Can Assad Hang On?,445K views,0.5162,NEGATIVE,0.9178
12/5/2024,Why South Korea’s President Declared Martial Law,535K views,0.5201,NEGATIVE,0.9067
12/4/2024,Syria’s Rebels Advance: What Happens Next?,322K views,0.5177,NEGATIVE,0.8977
12/4/2024,Could a BRICS Currency Really Replace the US Dollar?,259K views,0.5219,NEGATIVE,0.9093
12/4/2024,Japan’s $250 Billion Plan to Restart its Economy,211K views,0.5283,NEGATIVE,0.9041
12/4/2024,Why Syria’s Civil War Has Restarted,1.1M views,0.5193,NEGATIVE,0.8925
12/4/2024,Why the Philippines' Government is at War With Itself,376K views,0.5177,NEGATIVE,0.8961
11/27/2024,Why the US Economy is Doing Worse than it Looks,355K views,0.5212,NEGATIVE,0.9277
11/27/2024,"Trump's Plan for US ""Energy Dominance"" Explained",151K views,0.5309,NEGATIVE,0.9117
11/27/2024,Why Erdogan is Suddenly Trying to Make Peace with the Kurds,134K views,0.527,POSITIVE,0.8804
11/27/2024,What Happens to Hong Kong Now?,253K views,0.5249,NEGATIVE,0.9085
11/20/2024,Why Trump Wants to Devalue the Dollar,373K views,0.5273,NEGATIVE,0.907
11/18/2024,Trump's Controversial Immigration Policy Explained,269K views,0.5241,NEGATIVE,0.9071
11/18/2024,Why Trump Might Not Be as Pro-Israel as You Think,251K views,0.5229,NEGATIVE,0.9225
11/18/2024,Elon Musk’s Plan to Balance the US Budget Explained,461K views,0.525,NEGATIVE,0.9159
11/18/2024,Why 2024 Has Been Brutal for Incumbents,121K views,0.5205,NEGATIVE,0.8864
11/18/2024,Can China's Economy Survive Trump 2.0?,345K views,0.5266,NEGATIVE,0.9294
11/18/2024,Why Trump Won,603K views,0.518,NEGATIVE,0.885
11/18/2024,Trump Wins: What Next?,511K views,0.5178,NEGATIVE,0.8793
11/18/2024,Why the Russia-Iran Alliance is Weaker than it Looks,167K views,0.5233,NEGATIVE,0.9083
11/18/2024,Would Trump Crash the Economy?,239K views,0.5248,NEGATIVE,0.9126
11/18/2024,Why Trump is the Slight Favourite Heading into the Election,332K views,0.516,NEGATIVE,0.8941
11/18/2024,TLDR Has an Announcement...,40K views,0.5343,POSITIVE,0.9059
11/18/2024,Harris' and Trump’s Paths to 270,383K views,0.5147,NEGATIVE,0.8782
11/18/2024,Why North Korea Is Doing Better Than You Think,154K views,0.5257,NEGATIVE,0.8942
11/18/2024,Japan's LDP Loses: What's Next?,262K views,0.5174,NEGATIVE,0.9082
11/18/2024,"Xi's Plan to Revive China’s Economy with ""Science""",184K views,0.5262,NEGATIVE,0.9089
11/18/2024,Why South Africa’s Coalition Is Doing Surprisingly Well,200K views,0.528,NEGATIVE,0.8995
11/18/2024,Why Republicans are Optimistic about Pennsylvania,211K views,0.5239,POSITIVE,0.8827
11/18/2024,Is Japan's Ruling Party About to Lose Power?,167K views,0.5194,NEGATIVE,0.8951
11/18/2024,Why Trump has (Sort of) Overtaken Harris in the Polls,449K views,0.5208,NEGATIVE,0.8877
11/18/2024,Why Saudi Arabia’s Economic Woes Just Keep Getting Worse,418K views,0.5267,NEGATIVE,0.9263
11/18/2024,Can Democrats Win the House and Senate?,186K views,0.5176,NEGATIVE,0.8834
10/18/2024,How Jamaica Became the IMF’s Favourite Economy,237K views,0.5207,NEGATIVE,0.9152
10/18/2024,Has China's Stimulus Already Failed?,291K views,0.5296,NEGATIVE,0.9183
10/18/2024,Will Puerto Rico become the 51st US state?,278K views,0.5201,NEGATIVE,0.901
10/18/2024,Florida is Uninsurable: What Next?,396K views,0.5286,NEGATIVE,0.9022
10/18/2024,Why Turkey Has Finally Had Enough of Erdogan,348K views,0.5242,NEGATIVE,0.8916
10/18/2024,Why is Trump Doing So Well With Minority Voters?,447K views,0.5199,NEGATIVE,0.8884
10/18/2024,Why Iran is in More Trouble than You Think,332K views,0.5151,NEGATIVE,0.918
10/18/2024,Trump's Pro-Crypto Policies Explained,124K views,0.5252,NEGATIVE,0.9052
10/18/2024,What Happens if South Korea gets Nuclear Weapons?,100K views,0.5215,NEGATIVE,0.8977
10/18/2024,Ethiopia’s Amhara Conflict Explained,170K views,0.5226,NEGATIVE,0.9087
10/18/2024,"Why Japan’s New PM is Starting an ""Asian NATO""",378K views,0.5226,NEGATIVE,0.8985
10/18/2024,Israel Invades Lebanon: What Next?,146K views,0.5203,NEGATIVE,0.9282
10/18/2024,Could Harris Steal Alaska?,194K views,0.5216,POSITIVE,0.8872
10/18/2024,China Finally Resorts to Fiscal Stimulus: But is it Too Late?,194K views,0.528,NEGATIVE,0.8974
10/18/2024,How Netanyahu Has (Somehow) Recovered in the Polls,109K views,0.5158,NEGATIVE,0.9095
10/18/2024,Could Harris Actually Win North Carolina?,234K views,0.5215,POSITIVE,0.8895
10/18/2024,Why Xi is Quietly Re-Nationalising China’s Economy,286K views,0.5268,NEGATIVE,0.9086
9/18/2024,Why the Post-Debate Polls Look Pretty Great for Kamala,419K views,0.5189,NEGATIVE,0.8922
9/18/2024,Can Milei’s New Budget Revive Argentina’s Economy?,292K views,0.5245,NEGATIVE,0.9165
9/18/2024,Who Will be Japan’s Next Prime Minister?,233K views,0.5187,POSITIVE,0.8943
9/18/2024,Could Texas Turn Blue in 2024?,550K views,0.5152,POSITIVE,0.8796
9/18/2024,Trump Loses the Debate: What Next?,446K views,0.5216,NEGATIVE,0.924
9/18/2024,How the Taliban is Ending its Diplomatic Isolation,189K views,0.5243,NEGATIVE,0.9081
9/18/2024,Why US Politicians Don't Care About the Deficit Any More,221K views,0.5194,NEGATIVE,0.8867
9/18/2024,Why Egypt’s Economy Is (Still) Getting Worse,274K views,0.5228,NEGATIVE,0.9169
9/18/2024,Why Trump has (Sort of) Overtaken Harris in the Polls,215K views,0.5174,NEGATIVE,0.8996
9/18/2024,Why Egypt and Somalia are Teaming Up Against Ethiopia,364K views,0.5204,NEGATIVE,0.8929
9/18/2024,Why Trudeau is Quietly U-Turning on Immigration,367K views,0.5275,NEGATIVE,0.9002
9/18/2024,How a Feud Over Libya's Central Bank Could Restart its Civil War,117K views,0.5243,NEGATIVE,0.9046
9/18/2024,3 Reasons Kamala Can Still Beat Trump,144K views,0.521,NEGATIVE,0.8953
9/18/2024,TLDR News has a Major Announcement.,73K views,0.5195,POSITIVE,0.8967
9/18/2024,Why Australia's Economy is Doing Surprisingly Badly,449K views,0.5247,POSITIVE,0.9194
9/18/2024,3 Reason Trump Could Still Beat Kamala,176K views,0.5242,NEGATIVE,0.8997
9/18/2024,Is War About to Break Out Between Rwanda and the DRC?,216K views,0.5233,NEGATIVE,0.9015
9/18/2024,Why Russia and China Have Quietly Fallen Out,581K views,0.5283,NEGATIVE,0.9239
9/18/2024,Why Even China’s Exporters are Now Going Broke,391K views,0.5291,NEGATIVE,0.9259
9/18/2024,What Actually Are Kamala Harris' Economic Policies?,320K views,0.522,NEGATIVE,0.8953
8/18/2024,Israel’s Debt Gets Downgraded: Is the Economy in Trouble?,183K views,0.5202,NEGATIVE,0.9052
8/18/2024,Why Is Kamala Harris So Popular with Young Voters?,250K views,0.5165,NEGATIVE,0.9027
8/18/2024,Kamala Overtakes Trump: What Next?,591K views,0.5177,NEGATIVE,0.9142
