Date,Video Name,Video Views,PTR Transcript Sentiment,Flair Transcript Outlook,Flair Transcript Score
12/2/2024,The Sketchy Companies Paying YouTubers to Promote Their Stock,406K views,0.5394,NEGATIVE,0.9103
11/18/2024,Finance Movie Review: Barbarians at the Gate,63K views,0.5379,NEGATIVE,0.9063
11/9/2024,FTX’s 118% Refund Plan to Start Next Week,187K views,0.532,NEGATIVE,0.9205
11/9/2024,What Just Happened With Chinese Stocks?,240K views,0.5346,NEGATIVE,0.9088
10/9/2024,Memestocks Won't Make You Rich (Probably),141K views,0.5358,NEGATIVE,0.9044
10/9/2024,Why Does Everyone Hate Private Equity?,263K views,0.5289,NEGATIVE,0.9051
9/9/2024,Grocery Store Greedflation - Is Price Gouging Behind Higher Food Prices?,160K views,0.534,NEGATIVE,0.9009
9/9/2024,Do Rate Cuts ACTUALLY Send Stocks Higher?,268K views,0.5266,NEGATIVE,0.9044
8/9/2024,The $6.4T Stock Drop - Why Is Everything Down?,357K views,0.5301,NEGATIVE,0.9007
8/9/2024,Prominent Short Seller Charged With Market Manipulation,152K views,0.5262,NEGATIVE,0.92
8/9/2024,Investment Analyst Reacts to Finance TikToks - Part 7,432K views,0.5273,NEGATIVE,0.8969
8/9/2024,Why I Don't Do YouTube Full-Time,184K views,0.5265,POSITIVE,0.9154
7/9/2024,"The Fake Petrodollar Story - No, Saudi Arabia Didn’t Ditch the Dollar",267K views,0.5284,NEGATIVE,0.9091
7/9/2024,What Constitutes Market Manipulation? Featuring @LegalEagle,209K views,0.5284,NEGATIVE,0.9002
6/9/2024,Dark Pools Explained - How Institutional Investors Utilize Off-Exchange Trading,141K views,0.5265,NEGATIVE,0.9098
6/9/2024,What Just Happened With GameStop?,313K views,0.5385,NEGATIVE,0.914
6/9/2024,I Interviewed The Prime Minister of Canada on Housing and the Economy,207K views,0.5234,POSITIVE,0.9059
5/9/2024,Canada's Controversial Capital Gains Tax Change,224K views,0.525,NEGATIVE,0.8974
