Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/20/2024,21:54:00,Impact Podcast with John Shegerian Presents Special Two-Part In-Depth Interview with Former Russian Spy Aliia Roza,Business Wire,STORY,https://finance.yahoo.com/news/impact-podcast-john-shegerian-presents-215400437.html,0.514,POSITIVE,0.999
11/20/2024,21:53:53,Brazil’s Lula welcomes China's Xi for state visit as ties between countries strengthen,Associated Press Finance,STORY,https://finance.yahoo.com/news/brazil-lula-welcomes-chinas-xi-215353463.html,0.522,POSITIVE,0.995
11/20/2024,21:52:36,Canada's provincial leaders want a free trade deal with the US that excludes Mexico,Associated Press Finance,STORY,https://finance.yahoo.com/news/canadas-provincial-leaders-want-free-215236406.html,0.525,NEGATIVE,0.99
11/20/2024,21:52:00,"UGG Opens ‘Feel House’ in Los Angeles, a Multi-Sensory Retail Concept Co-Curated by Post Malone",Business Wire,STORY,https://finance.yahoo.com/news/ugg-opens-feel-house-los-215200476.html,0.51,POSITIVE,0.989
11/20/2024,21:51:39,Spot Bitcoin ETF Options Hit Market as Price Surges,etf.com,STORY,https://finance.yahoo.com/m/c8daf6e8-b76f-32fe-94aa-07f27b333e82/spot-bitcoin-etf-options-hit.html,0.548,POSITIVE,0.909
11/20/2024,21:51:30,Exclusive: Former babysitter to RFK Jr.'s kids speaks about sexual assault allegation,USA TODAY,STORY,https://finance.yahoo.com/m/ea682912-8e59-376c-a8ae-e6123a27b2cc/exclusive%3A-former-babysitter.html,0.502,NEGATIVE,0.794
11/20/2024,21:50:00,AM Best Affirms Credit Ratings of Highmark Inc. and Its Subsidiaries,Business Wire,STORY,https://finance.yahoo.com/news/am-best-affirms-credit-ratings-215000903.html,0.524,POSITIVE,0.995
11/20/2024,21:50:00,"Effervescent Tablet Market to Grow by USD 4.80 Billion (2024-2028) as AI Impacts Market Trends, Rising Adoption Among Aging Population Boosts Revenue - Technavio",PR Newswire,STORY,https://finance.yahoo.com/news/effervescent-tablet-market-grow-usd-215000447.html,0.556,POSITIVE,0.992
11/26/2024,03:46:00,"The total mileage of UAV transmission line inspection of State Grid Turfan Power Supply Company exceeded 50,000 kilometers",PR Newswire,STORY,https://finance.yahoo.com/news/total-mileage-uav-transmission-line-034600004.html,0.58,POSITIVE,0.849
11/26/2024,03:44:00,"Despite passenger EV slowdown, commercial EVs surge ahead, says India's leading player",PR Newswire,STORY,https://finance.yahoo.com/news/despite-passenger-ev-slowdown-commercial-034400411.html,0.533,POSITIVE,0.996
11/26/2024,03:43:02,Small Japanese rocket engine explodes during a test but no injuries are reported,Associated Press Finance,STORY,https://finance.yahoo.com/news/small-japanese-rocket-engine-explodes-034302436.html,0.507,POSITIVE,0.856
11/26/2024,03:41:38,"Donald Trump Threatens Big Tariff Hikes On China, Canada, Mexico On Day One",Investor's Business Daily,STORY,https://finance.yahoo.com/m/b21b1309-009b-3e56-a2eb-689342ef3c37/donald-trump-threatens-big.html,0.526,NEGATIVE,0.996
11/26/2024,03:41:00,TSX Venture Exchange Stock Maintenance Bulletins,CNW Group,STORY,https://finance.yahoo.com/news/tsx-venture-exchange-stock-maintenance-034100491.html,0.585,NEGATIVE,0.58
11/26/2024,03:40:21,Dow Jones Futures Fall: Nvidia Stock Tumbles To Key Level; Fed Inflation Data Looms,Investor's Business Daily,STORY,https://finance.yahoo.com/m/38830dbd-0181-35d5-a555-d8ef0731a4f1/dow-jones-futures-fall%3A.html,0.55,NEGATIVE,1.0
11/26/2024,03:39:22,Stock market today: Asian shares mostly fall on worries about Trump's tariffs,Associated Press Finance,STORY,https://finance.yahoo.com/news/stock-market-today-asian-shares-033922478.html,0.581,NEGATIVE,0.999
11/26/2024,03:37:00,MSU Energy Announces Modification of the Offer Cap for its Previously Announced Exchange Offer,PR Newswire,STORY,https://finance.yahoo.com/news/msu-energy-announces-modification-offer-033700935.html,0.528,NEGATIVE,0.99
11/26/2024,03:48:00,"Farm Fresh, Getha, Munchy's, MR DIY, Rotiboy and Spritzer are among the Winners of the 2024- 2025 World Branding Awards",Business Wire,STORY,https://finance.yahoo.com/news/farm-fresh-getha-munchys-mr-034800307.html,0.511,POSITIVE,0.999
