date,post,site sentiment,PTR Sentiment,Flair Outlook,Flair Sentiment
12/13/2024,top swing setups i like for january 🚨 $ba  $smh $qsi,,0.5139,POSITIVE,0.9949
12/13/2024,": visa at $316.70 leads the payments market. enter near $310, aiming for $335. consider a bull call spread for controlled risk.",,0.5258,NEGATIVE,0.9912
12/13/2024,: visa at $314.23 is a global payments leader. enter near $310 with a sell target of $330. a bull call spread maximizes upside with controlled risk.,,0.52,POSITIVE,0.5614
12/13/2024,elliott wave technical analysis - visa inc. talkmarkets.com/content/sto...,,0.525,NEGATIVE,0.8084
12/12/2024,$amd $gxai is a great opportunity in the ai market i m proud to buy it so early 😃💎 🥳🥳🥳🥳👏👏👏👏💯💯💯 $amd $pltr $tsla $amzn $aapl $smci $rgti $pm,,0.6075,POSITIVE,0.997
12/12/2024,$gxai is a great opportunity in the ai market i m proud to buy it so early 😃💎 🥳🥳🥳🥳👏👏👏👏💯💯💯 $pltr $tsla $amzn $aapl $smci $rgti $pm,,0.5667,POSITIVE,0.9972
12/12/2024,$gxai is a new and great opportunity in the ai market i m proud to buy it so early 😃💎 🥳🥳🥳🥳👏👏👏👏💯💯💯 $pltr $tsla $amzn $aapl $smci $rgti $pm,,0.5839,POSITIVE,0.9986
12/12/2024,$gxai is a great opportunity in the ai market i m proud to buy it so early 😃💎 🥳🥳🥳🥳👏👏👏👏💯💯💯 $pltr $tsla $amzn $aapl $smci $rgti $pm,,0.5667,POSITIVE,0.9972
12/12/2024,$gxai is a great opportunity in the ai market i m proud to buy it so early 😃💎 🥳🥳🥳🥳👏👏👏👏💯💯💯 $pltr $tsla $amzn $aapl $smci,,0.5766,POSITIVE,0.9972
12/12/2024,$ma $xlm.x,,0.4983,NEGATIVE,0.9687
12/12/2024,"$xlm.x $ma #link 🔗  iso 20022 is like a new universal language for money systems, and both ripple and stellar are building tools to speak it fluently. stellar.org/press/stellar-j...",,0.5263,POSITIVE,0.9956
12/11/2024,susquehanna maintains visa at positive and raises the price target from $339 to marketsblock.com/stock-upgr...,,0.5641,NEGATIVE,0.7991
