date,inflation rate (percentage)
9/30/2020,1.7
10/31/2020,0.5
11/30/2020,-0.5
12/31/2020,0.2
1/31/2021,-0.3
2/28/2021,-0.2
3/31/2021,0.4
4/30/2021,0.9
5/31/2021,1.3
6/30/2021,1.1
7/31/2021,1.0
8/31/2021,0.8
9/30/2021,0.7
10/31/2021,1.5
11/30/2021,2.3
12/31/2021,1.5
1/31/2022,0.9
2/28/2022,0.9
3/31/2022,1.5
4/30/2022,2.1
5/31/2022,2.1
6/30/2022,2.5
7/31/2022,2.7
8/31/2022,2.5
9/30/2022,2.8
10/31/2022,2.1
11/30/2022,1.6
12/31/2022,1.8
1/31/2023,2.1
2/28/2023,1.0
3/31/2023,0.7
4/30/2023,0.1
5/31/2023,0.2
6/30/2023,0.0
7/31/2023,-0.3
8/31/2023,0.1
9/30/2023,0.0
10/31/2023,-0.2
11/30/2023,-0.5
12/31/2023,-0.3
1/31/2024,-0.8
2/29/2024,0.7
3/31/2024,0.1
4/30/2024,0.3
5/31/2024,0.3
6/30/2024,0.2
7/31/2024,0.5
8/31/2024,0.6
9/30/2024,0.4
10/31/2024,0.3
11/30/2024,0.2
