date,inflation rate (percentage)
9/30/2020,0.0
10/31/2020,0.1
11/30/2020,0.2
12/31/2020,0.0
1/31/2021,0.8
2/28/2021,0.8
3/31/2021,1.4
4/30/2021,1.6
5/31/2021,1.8
6/30/2021,1.9
7/31/2021,1.5
8/31/2021,2.4
9/30/2021,2.7
10/31/2021,3.2
11/30/2021,3.4
12/31/2021,3.4
1/31/2022,3.3
2/28/2022,4.2
3/31/2022,5.1
4/30/2022,5.4
5/31/2022,5.8
6/30/2022,6.5
7/31/2022,6.8
8/31/2022,6.6
9/30/2022,6.2
10/31/2022,7.1
11/30/2022,7.1
12/31/2022,6.7
1/31/2023,7.0
2/28/2023,7.3
3/31/2023,6.7
4/30/2023,6.9
5/31/2023,6.0
6/30/2023,5.3
7/31/2023,5.1
8/31/2023,5.7
9/30/2023,5.7
10/31/2023,4.5
11/30/2023,3.9
12/31/2023,4.1
1/31/2024,3.4
2/29/2024,3.2
3/31/2024,2.4
4/30/2024,2.4
5/31/2024,2.6
6/30/2024,2.5
7/31/2024,2.7
8/31/2024,2.2
9/30/2024,1.4
10/31/2024,1.6
