date,inflation rate (percentage)
10/31/2020,-0.2
11/30/2020,-0.3
12/31/2020,-0.3
1/31/2021,1.0
2/28/2021,1.5
3/31/2021,1.8
4/30/2021,2.0
5/31/2021,2.2
6/30/2021,2.4
7/31/2021,3.7
8/31/2021,3.8
9/30/2021,4.1
10/31/2021,4.4
11/30/2021,4.8
12/31/2021,4.9
1/31/2022,4.2
2/28/2022,4.3
3/31/2022,5.9
4/30/2022,6.3
5/31/2022,7.0
6/30/2022,6.7
7/31/2022,6.7
8/31/2022,7.0
9/30/2022,8.6
10/31/2022,8.8
11/30/2022,8.8
12/31/2022,8.1
1/31/2023,8.7
2/28/2023,8.7
3/31/2023,7.4
4/30/2023,7.2
5/31/2023,6.1
6/30/2023,6.4
7/31/2023,6.2
8/31/2023,6.1
9/30/2023,4.5
10/31/2023,3.8
11/30/2023,3.2
12/31/2023,3.7
1/31/2024,2.9
2/29/2024,2.5
3/31/2024,2.2
4/30/2024,2.2
5/31/2024,2.4
6/30/2024,2.2
7/31/2024,2.3
8/31/2024,1.9
9/30/2024,1.6
10/31/2024,2.0
11/30/2024,2.2
