date,inflation rate (percentage)
9/30/2020,-1.0
10/31/2020,-0.6
11/30/2020,-0.3
12/31/2020,-0.3
1/31/2021,0.7
2/28/2021,1.0
3/31/2021,0.6
4/30/2021,1.0
5/31/2021,1.2
6/30/2021,1.3
7/31/2021,1.0
8/31/2021,2.5
9/30/2021,2.9
10/31/2021,3.2
11/30/2021,3.9
12/31/2021,4.2
1/31/2022,5.1
2/28/2022,6.2
3/31/2022,6.8
4/30/2022,6.3
5/31/2022,7.3
6/30/2022,8.5
7/31/2022,8.4
8/31/2022,9.1
9/30/2022,9.4
10/31/2022,12.6
11/30/2022,12.6
12/31/2022,12.3
1/31/2023,10.7
2/28/2023,9.8
3/31/2023,8.1
4/30/2023,8.6
5/31/2023,8.0
6/30/2023,6.7
7/31/2023,6.3
8/31/2023,5.5
9/30/2023,5.6
10/31/2023,1.8
11/30/2023,0.6
12/31/2023,0.5
1/31/2024,0.9
2/29/2024,0.8
3/31/2024,1.2
4/30/2024,0.9
5/31/2024,0.8
6/30/2024,0.9
7/31/2024,1.6
8/31/2024,1.2
9/30/2024,0.7
10/31/2024,1.0
