date,inflation rate (percentage)
9/30/2020,0.0
10/31/2020,-0.4
11/30/2020,-0.9
12/31/2020,-1.2
1/31/2021,-0.7
2/28/2021,-0.5
3/31/2021,-0.4
4/30/2021,-1.1
5/31/2021,-0.8
6/30/2021,-0.5
7/31/2021,-0.3
8/31/2021,-0.4
9/30/2021,0.2
10/31/2021,0.1
11/30/2021,0.6
12/31/2021,0.8
1/31/2022,0.5
2/28/2022,0.9
3/31/2022,1.2
4/30/2022,2.5
5/31/2022,2.5
6/30/2022,2.4
7/31/2022,2.6
8/31/2022,3.0
9/30/2022,3.0
10/31/2022,3.7
11/30/2022,3.8
12/31/2022,4.0
1/31/2023,4.3
2/28/2023,3.3
3/31/2023,3.2
4/30/2023,3.5
5/31/2023,3.2
6/30/2023,3.3
7/31/2023,3.3
8/31/2023,3.2
9/30/2023,3.0
10/31/2023,3.3
11/30/2023,2.8
12/31/2023,2.6
1/31/2024,2.2
2/29/2024,2.8
3/31/2024,2.7
4/30/2024,2.5
5/31/2024,2.8
6/30/2024,2.8
7/31/2024,2.8
8/31/2024,3.0
9/30/2024,2.5
10/31/2024,2.3
