date,inflation rate (percentage)
9/30/2020,-0.6
10/31/2020,-0.9
11/30/2020,-0.8
12/31/2020,-0.6
1/31/2021,0.4
2/28/2021,-0.1
3/31/2021,1.2
4/30/2021,2.0
5/31/2021,2.4
6/30/2021,2.5
7/31/2021,2.9
8/31/2021,3.3
9/30/2021,4.0
10/31/2021,5.4
11/30/2021,5.5
12/31/2021,6.6
1/31/2022,6.2
2/28/2022,7.6
3/31/2022,9.8
4/30/2022,8.3
5/31/2022,8.5
6/30/2022,10.0
7/31/2022,10.7
8/31/2022,10.5
9/30/2022,9.0
10/31/2022,7.3
11/30/2022,6.7
12/31/2022,5.5
1/31/2023,5.9
2/28/2023,6.0
3/31/2023,3.1
4/30/2023,3.8
5/31/2023,2.9
6/30/2023,1.6
7/31/2023,2.1
8/31/2023,2.4
9/30/2023,3.3
10/31/2023,3.5
11/30/2023,3.3
12/31/2023,3.3
1/31/2024,3.5
2/29/2024,2.9
3/31/2024,3.3
4/30/2024,3.4
5/31/2024,3.8
6/30/2024,3.6
7/31/2024,2.9
8/31/2024,2.4
9/30/2024,1.7
10/31/2024,1.8
11/30/2024,2.4
