date,inflation rate (percentage)
9/30/2020,0.5
10/31/2020,0.7
11/30/2020,0.3
12/31/2020,0.6
1/31/2021,0.7
2/28/2021,0.4
3/31/2021,0.7
4/30/2021,1.5
5/31/2021,2.1
6/30/2021,2.5
7/31/2021,2.0
8/31/2021,3.2
9/30/2021,3.1
10/31/2021,4.2
11/30/2021,5.1
12/31/2021,5.4
1/31/2022,5.5
2/28/2022,6.2
3/31/2022,7.0
4/30/2022,9.0
5/31/2022,9.1
6/30/2022,9.4
7/31/2022,10.1
8/31/2022,9.9
9/30/2022,10.1
10/31/2022,11.1
11/30/2022,10.7
12/31/2022,10.5
1/31/2023,10.1
2/28/2023,10.4
3/31/2023,10.1
4/30/2023,8.7
5/31/2023,8.7
6/30/2023,7.9
7/31/2023,6.8
8/31/2023,6.7
9/30/2023,6.7
10/31/2023,4.6
11/30/2023,3.9
12/31/2023,4.0
1/31/2024,4.0
2/29/2024,3.4
3/31/2024,3.2
4/30/2024,2.3
5/31/2024,2.0
6/30/2024,2.0
7/31/2024,2.2
8/31/2024,2.2
9/30/2024,1.7
10/31/2024,2.3
11/30/2024,2.6
