date,interest rate (percentage)
9/30/2020,3.15
10/31/2020,3.18
11/30/2020,3.25
12/31/2020,3.14
1/31/2021,3.18
2/28/2021,3.28
3/31/2021,3.19
4/30/2021,3.16
5/31/2021,3.04
6/30/2021,3.08
7/31/2021,2.84
8/31/2021,2.84
9/30/2021,2.88
10/31/2021,2.97
11/30/2021,2.82
12/31/2021,2.78
1/31/2022,2.7
2/28/2022,2.78
3/31/2022,2.79
4/30/2022,2.84
5/31/2022,2.74
6/30/2022,2.82
7/31/2022,2.76
8/31/2022,2.62
9/30/2022,2.76
10/31/2022,2.64
11/30/2022,2.89
12/31/2022,2.84
1/31/2023,2.9
2/28/2023,2.9
3/31/2023,2.85
4/30/2023,2.78
5/31/2023,2.69
6/30/2023,2.64
7/31/2023,2.66
8/31/2023,2.56
9/30/2023,2.68
10/31/2023,2.69
11/30/2023,2.67
12/31/2023,2.56
1/31/2024,2.43
2/29/2024,2.34
3/31/2024,2.29
4/30/2024,2.3
5/31/2024,2.29
6/30/2024,2.21
7/31/2024,2.15
8/31/2024,2.17
9/30/2024,2.15
10/31/2024,2.15
