date,interest rate (percentage)
9/30/2020,-0.3
10/31/2020,-0.3
11/30/2020,-0.3
12/31/2020,-0.3
1/31/2021,0.9
2/28/2021,0.9
3/31/2021,1.3
4/30/2021,1.6
5/31/2021,2.0
6/30/2021,1.9
7/31/2021,2.2
8/31/2021,3.0
9/30/2021,3.4
10/31/2021,4.1
11/30/2021,4.9
12/31/2021,5.0
1/31/2022,5.1
2/28/2022,5.9
3/31/2022,7.4
4/30/2022,7.4
5/31/2022,8.1
6/30/2022,8.6
7/31/2022,8.9
8/31/2022,9.1
9/30/2022,9.9
10/31/2022,10.6
11/30/2022,10.1
12/31/2022,9.2
1/31/2023,8.6
2/28/2023,8.5
3/31/2023,6.9
4/30/2023,7.0
5/31/2023,6.1
6/30/2023,5.5
7/31/2023,5.3
8/31/2023,5.2
9/30/2023,4.3
10/31/2023,2.9
11/30/2023,2.4
12/31/2023,2.9
1/31/2024,2.8
2/29/2024,2.6
3/31/2024,2.4
4/30/2024,2.4
5/31/2024,2.6
6/30/2024,2.5
7/31/2024,2.6
8/31/2024,2.2
9/30/2024,1.7
10/31/2024,2.0
