date,interest rate (percentage)
9/30/2020,-0.21
10/31/2020,-0.3
11/30/2020,-0.33
12/31/2020,-0.34
1/31/2021,-0.31
2/28/2021,-0.15
3/31/2021,-0.07
4/30/2021,-0.01
5/31/2021,0.21
6/30/2021,0.15
7/31/2021,-0.01
8/31/2021,-0.11
9/30/2021,0.04
10/31/2021,0.2
11/30/2021,0.09
12/31/2021,0.05
1/31/2022,0.31
2/28/2022,0.68
3/31/2022,0.78
4/30/2022,1.28
5/31/2022,1.52
6/30/2022,2.06
7/31/2022,1.71
8/31/2022,1.69
9/30/2022,2.41
10/31/2022,2.77
11/30/2022,2.58
12/31/2022,2.62
1/31/2023,2.69
2/28/2023,2.87
3/31/2023,2.92
4/30/2023,2.92
5/31/2023,2.94
6/30/2023,2.93
7/31/2023,3.04
8/31/2023,3.11
9/30/2023,3.24
10/31/2023,3.45
11/30/2023,3.19
12/31/2023,2.65
1/31/2024,2.74
2/29/2024,2.85
3/31/2024,2.82
4/30/2024,2.97
5/31/2024,3.03
6/30/2024,3.15
7/31/2024,3.14
8/31/2024,2.94
9/30/2024,2.9
10/31/2024,2.99
