date,interest rate (percentage)
9/30/2020,0.98
10/31/2020,0.77
11/30/2020,0.66
12/31/2020,0.58
1/31/2021,0.62
2/28/2021,0.59
3/31/2021,0.7
4/30/2021,0.8
5/31/2021,0.98
6/30/2021,0.88
7/31/2021,0.75
8/31/2021,0.63
9/30/2021,0.78
10/31/2021,0.96
11/30/2021,1.01
12/31/2021,1.05
1/31/2022,1.35
2/28/2022,1.79
3/31/2022,1.85
4/30/2022,2.44
5/31/2022,2.99
6/30/2022,3.64
7/31/2022,3.36
8/31/2022,3.3
9/30/2022,4.14
10/31/2022,4.53
11/30/2022,4.24
12/31/2022,4.26
1/31/2023,4.24
2/28/2023,4.27
3/31/2023,4.24
4/30/2023,4.23
5/31/2023,4.31
6/30/2023,4.07
7/31/2023,4.16
8/31/2023,4.22
9/30/2023,4.51
10/31/2023,4.88
11/30/2023,4.43
12/31/2023,3.82
1/31/2024,3.81
2/29/2024,3.87
3/31/2024,3.7
4/30/2024,3.86
5/31/2024,3.84
6/30/2024,3.94
7/31/2024,3.83
8/31/2024,3.68
9/30/2024,3.56
10/31/2024,3.5
