date,interest rate (percentage)
9/30/2020,0.02
10/31/2020,0.04
11/30/2020,0.03
12/31/2020,0.02
1/31/2021,0.06
2/28/2021,0.15
3/31/2021,0.12
4/30/2021,0.09
5/31/2021,0.08
6/30/2021,0.05
7/31/2021,0.02
8/31/2021,0.02
9/30/2021,0.06
10/31/2021,0.1
11/30/2021,0.05
12/31/2021,0.07
1/31/2022,0.17
2/28/2022,0.18
3/31/2022,0.21
4/30/2022,0.22
5/31/2022,0.24
6/30/2022,0.22
7/31/2022,0.18
8/31/2022,0.22
9/30/2022,0.24
10/31/2022,0.24
11/30/2022,0.25
12/31/2022,0.41
1/31/2023,0.49
2/28/2023,0.5
3/31/2023,0.32
4/30/2023,0.38
5/31/2023,0.43
6/30/2023,0.4
7/31/2023,0.6
8/31/2023,0.64
9/30/2023,0.76
10/31/2023,0.95
11/30/2023,0.66
12/31/2023,0.62
1/31/2024,0.73
2/29/2024,0.71
3/31/2024,0.72
4/30/2024,0.87
5/31/2024,1.07
6/30/2024,1.05
7/31/2024,1.04
8/31/2024,0.89
9/30/2024,0.86
10/31/2024,0.94
