date,interest rate (percentage)
9/30/2020,0.28
10/31/2020,0.17
11/30/2020,0.09
12/31/2020,0.04
1/31/2021,0.08
2/28/2021,0.23
3/31/2021,0.31
4/30/2021,0.37
5/31/2021,0.52
6/30/2021,0.45
7/31/2021,0.33
8/31/2021,0.22
9/30/2021,0.33
10/31/2021,0.47
11/30/2021,0.48
12/31/2021,0.41
1/31/2022,0.66
2/28/2022,1.11
3/31/2022,1.23
4/30/2022,1.69
5/31/2022,2.05
6/30/2022,2.65
7/31/2022,2.33
8/31/2022,2.18
9/30/2022,2.95
10/31/2022,3.31
11/30/2022,3.1
12/31/2022,3.11
1/31/2023,3.22
2/28/2023,3.39
3/31/2023,3.44
4/30/2023,3.41
5/31/2023,3.41
6/30/2023,3.4
7/31/2023,3.5
8/31/2023,3.59
9/30/2023,3.72
10/31/2023,3.95
11/30/2023,3.66
12/31/2023,3.14
1/31/2024,3.19
2/29/2024,3.27
3/31/2024,3.19
4/30/2024,3.28
5/31/2024,3.3
6/30/2024,3.36
7/31/2024,3.28
8/31/2024,3.07
9/30/2024,3.0
10/31/2024,2.97
