date,interest rate (percentage)
9/30/2020,0.27
10/31/2020,0.31
11/30/2020,0.38
12/31/2020,0.32
1/31/2021,0.37
2/28/2021,0.62
3/31/2021,0.85
4/30/2021,0.85
5/31/2021,0.91
6/30/2021,0.85
7/31/2021,0.7
8/31/2021,0.64
9/30/2021,0.8
10/31/2021,1.08
11/30/2021,0.94
12/31/2021,0.84
1/31/2022,1.21
2/28/2022,1.49
3/31/2022,1.55
4/30/2022,1.84
5/31/2022,1.91
6/30/2022,2.38
7/31/2022,2.15
8/31/2022,2.33
9/30/2022,3.5
10/31/2022,4.11
11/30/2022,3.42
12/31/2022,3.5
1/31/2023,3.51
2/28/2023,3.56
3/31/2023,3.56
4/30/2023,3.65
5/31/2023,3.96
6/30/2023,4.37
7/31/2023,4.44
8/31/2023,4.53
9/30/2023,4.42
10/31/2023,4.57
11/30/2023,4.27
12/31/2023,3.86
1/31/2024,3.93
2/29/2024,4.12
3/31/2024,4.03
4/30/2024,4.22
5/31/2024,4.22
6/30/2024,4.16
7/31/2024,4.14
8/31/2024,3.94
9/30/2024,3.91
10/31/2024,4.2
