date,interest rate (percentage)
9/30/2020,0.68
10/31/2020,0.79
11/30/2020,0.87
12/31/2020,0.93
1/31/2021,1.08
2/28/2021,1.26
3/31/2021,1.61
4/30/2021,1.64
5/31/2021,1.62
6/30/2021,1.52
7/31/2021,1.32
8/31/2021,1.28
9/30/2021,1.37
10/31/2021,1.58
11/30/2021,1.56
12/31/2021,1.47
1/31/2022,1.76
2/28/2022,1.93
3/31/2022,2.13
4/30/2022,2.75
5/31/2022,2.9
6/30/2022,3.14
7/31/2022,2.9
8/31/2022,2.9
9/30/2022,3.52
10/31/2022,3.98
11/30/2022,3.89
12/31/2022,3.62
1/31/2023,3.53
2/28/2023,3.75
3/31/2023,3.66
4/30/2023,3.46
5/31/2023,3.57
6/30/2023,3.75
7/31/2023,3.9
8/31/2023,4.17
9/30/2023,4.38
10/31/2023,4.8
11/30/2023,4.5
12/31/2023,4.02
1/31/2024,4.06
2/29/2024,4.21
3/31/2024,4.21
4/30/2024,4.54
5/31/2024,4.48
6/30/2024,4.31
7/31/2024,4.25
8/31/2024,3.87
9/30/2024,3.72
10/31/2024,4.1
