rank,Company,Symbol,Weight (Percentage),Price,Chg,Change (Percentage)
1,Apple Inc,AAPL,8.59,228.45,0.17,0.07
2,NVIDIA Corp,NVDA,8.51,144.3,-2.71,-1.84
3,Microsoft Corp,MSFT,7.65,415.08,-2.71,-0.65
4,Amazon.com Inc,AMZN,5.24,202.61,-2.0,-0.98
5,Broadcom Inc,AVGO,4.91,162.91,-2.44,-1.48
6,Meta Platforms Inc,META,4.77,564.9,3.81,0.68
7,Tesla Inc,TSLA,4.06,340.73,-5.27,-1.52
8,Costco Wholesale Corp,COST,2.61,927.18,-2.97,-0.32
9,Alphabet Inc,GOOGL,2.54,176.11,-2.01,-1.13
10,Alphabet Inc,GOOG,2.45,177.53,-2.05,-1.14
11,Netflix Inc,NFLX,2.33,884.25,12.93,1.48
12,T-Mobile US Inc,TMUS,1.77,235.74,2.54,1.09
13,Cisco Systems Inc,CSCO,1.48,57.49,0.48,0.84
14,Advanced Micro Devices Inc,AMD,1.44,136.75,-2.64,-1.9
15,Adobe Inc,ADBE,1.42,498.15,-1.47,-0.29
16,PepsiCo Inc,PEP,1.39,159.24,2.52,1.6
17,Linde PLC,LIN,1.37,450.11,6.05,1.36
18,Intuit Inc,INTU,1.21,650.28,6.11,0.95
19,Texas Instruments Inc,TXN,1.21,197.12,-3.95,-1.97
20,Intuitive Surgical Inc,ISRG,1.21,545.18,6.36,1.18
21,QUALCOMM Inc,QCOM,1.17,153.51,-11.2,-6.8
22,Booking Holdings Inc,BKNG,1.08,5015.33,38.34,0.77
23,Comcast Corp,CMCSA,1.06,43.1,0.78,1.84
24,Amgen Inc,AMGN,0.96,287.84,7.88,2.82
25,Honeywell International Inc,HON,0.95,227.15,-1.05,-0.46
26,Applied Materials Inc,AMAT,0.9,169.02,-0.29,-0.17
27,Palo Alto Networks Inc,PANW,0.8,370.5,-17.56,-4.52
28,Automatic Data Processing Inc,ADP,0.78,299.63,2.09,0.7
29,Vertex Pharmaceuticals Inc,VRTX,0.77,455.6,7.59,1.7
30,Starbucks Corp,SBUX,0.73,98.4,0.05,0.05
31,Gilead Sciences Inc,GILD,0.7,88.93,1.18,1.35
32,Micron Technology Inc,MU,0.69,98.19,0.46,0.47
33,Intel Corp,INTC,0.68,23.9,-0.3,-1.26
34,Analog Devices Inc,ADI,0.67,211.76,1.32,0.63
35,MercadoLibre Inc,MELI,0.62,1909.0,-7.51,-0.39
36,Lam Research Corp,LRCX,0.59,70.11,-0.06,-0.09
37,AppLovin Corp,APP,0.57,326.42,5.23,1.63
38,Cintas Corp,CTAS,0.56,218.72,0.75,0.34
39,PayPal Holdings Inc,PYPL,0.55,84.73,0.64,0.76
