rank,Company,Symbol,Weight (Percentage),Price,Chg,Change (Percentage)
1,Nvidia Corp,NVDA,7.22,144.03,-2.98,-2.02
2,Apple Inc.,AAPL,6.93,228.49,0.21,0.09
3,Microsoft Corp,MSFT,6.2,416.41,-1.38,-0.33
4,Amazon.com Inc,AMZN,3.81,202.68,-1.93,-0.94
5,Meta Platforms Inc. Class A,META,2.45,567.87,6.77,1.21
6,Alphabet Inc. Class A,GOOGL,2.08,176.04,-2.08,-1.17
7,Tesla Inc.,TSLA,1.92,341.32,-4.68,-1.35
8,Alphabet Inc. Class C,GOOG,1.72,177.41,-2.18,-1.21
9,Berkshire Hathaway Class B,BRK.B,1.71,468.89,0.02,0.01
10,Broadcom Inc.,AVGO,1.54,163.13,-2.22,-1.35
11,Jpmorgan Chase & Co.,JPM,1.38,241.4,-1.69,-0.7
12,Eli Lilly & Co.,LLY,1.15,754.26,24.52,3.36
13,Unitedhealth Group Incorporated,UNH,1.06,598.83,21.83,3.78
14,Exxon Mobil Corporation,XOM,1.05,120.26,1.63,1.37
15,Visa Inc.,V,1.04,307.6,-4.25,-1.36
16,Mastercard Incorporated,MA,0.86,512.64,-6.82,-1.31
17,Costco Wholesale Corp,COST,0.82,927.75,-2.4,-0.26
18,Home Depot Inc.,HD,0.8,399.95,-6.85,-1.68
19,Procter & Gamble Company,PG,0.8,170.91,0.15,0.09
20,Walmart Inc.,WMT,0.75,87.1,0.5,0.57
21,Netflix Inc,NFLX,0.75,884.0,12.68,1.46
22,Johnson & Johnson,JNJ,0.73,152.66,-0.34,-0.22
23,Salesforce Inc.,CRM,0.63,325.71,2.28,0.7
24,Bank of America Corporation,BAC,0.63,46.1,-0.31,-0.67
25,Oracle Corp,ORCL,0.6,191.12,2.22,1.17
26,Abbvie Inc.,ABBV,0.59,167.79,1.22,0.73
27,Chevron Corporation,CVX,0.54,161.34,1.74,1.09
28,Wells Fargo & Co.,WFC,0.5,73.64,0.21,0.29
29,Merck & Co. Inc.,MRK,0.49,96.97,0.43,0.45
30,Coca-Cola Company,KO,0.48,63.08,0.48,0.77
31,Cisco Systems Inc.,CSCO,0.46,57.59,0.58,1.02
32,Advanced Micro Devices,AMD,0.45,137.15,-2.24,-1.61
33,Accenture Plc,ACN,0.44,354.17,0.22,0.06
34,Adobe Inc.,ADBE,0.44,500.0,0.39,0.08
35,Pepsico Inc.,PEP,0.43,159.17,2.45,1.56
36,Linde Plc,LIN,0.43,450.11,6.05,1.36
37,Servicenow Inc.,NOW,0.42,1022.5,0.4,0.04
38,Mcdonald's Corporation,MCD,0.42,290.9,0.17,0.06
39,The Walt Disney Company,DIS,0.41,114.15,1.72,1.53
40,Abbott Laboratories,ABT,0.41,115.61,-1.52,-1.3
41,Philip Morris International Inc.,PM,0.4,130.39,0.84,0.65
42,Thermo Fisher Scientific Inc.,TMO,0.39,514.5,5.38,1.06
43,International Business Machines Corporation,IBM,0.39,213.92,3.66,1.74
44,Ge Aerospace,GE,0.38,177.75,0.19,0.11
45,Intuitive Surgical Inc.,ISRG,0.38,543.97,5.14,0.95
46,Caterpillar Inc.,CAT,0.37,381.96,-0.38,-0.1
47,Texas Instruments Incorporated,TXN,0.37,197.85,-3.22,-1.6
48,Goldman Sachs Group Inc.,GS,0.37,582.81,1.43,0.25
49,Qualcomm Inc,QCOM,0.37,153.53,-11.19,-6.79
50,Intuit Inc,INTU,0.36,650.23,6.06,0.94
51,Verizon Communications,VZ,0.35,42.08,0.15,0.36
52,Booking Holdings Inc.,BKNG,0.33,5015.33,38.34,0.77
53,Morgan Stanley,MS,0.33,132.8,0.56,0.42
54,Comcast Corp,CMCSA,0.33,43.12,0.8,1.88
55,At&t Inc.,T,0.33,22.8,0.07,0.29
56,S&p Global Inc.,SPGI,0.32,503.51,1.19,0.24
57,American Express Company,AXP,0.32,285.92,0.37,0.13
58,Nextra Energy Inc.,NEE,0.32,76.77,-0.31,-0.4
59,Rtx Corporation,RTX,0.32,118.8,-0.16,-0.13
60,Amgen Inc,AMGN,0.3,288.94,8.99,3.21
61,Progressive Corporation,PGR,0.3,256.98,2.47,0.97
62,Honeywell International Inc.,HON,0.3,228.35,0.15,0.06
63,Danaher Corporation,DHR,0.3,233.62,2.78,1.2
64,Lowe's Companies Inc.,LOW,0.29,262.26,3.0,1.16
65,Uber Technologies Inc.,UBER,0.29,69.56,0.43,0.61
66,Eaton Corporation Plcs,ETN,0.29,361.73,-1.96,-0.54
67,Blackrock Inc.,BLK,0.29,1021.89,-6.22,-0.6
68,Pfizer Inc.,PFE,0.28,24.94,-0.17,-0.66
69,Union Pacific Corp.,UNP,0.28,231.57,-1.72,-0.74
70,Applied Materials Inc,AMAT,0.28,169.95,0.64,0.38
71,Tjx Companies Inc.,TJX,0.27,119.47,-0.09,-0.08
72,Stryker Corporation,SYK,0.27,386.51,-2.17,-0.56
73,Blackstone Inc.,BX,0.27,185.0,0.09,0.05
74,Boston Scientific Corp.,BSX,0.27,90.17,-0.16,-0.18
75,Conocophillips,COP,0.26,113.88,0.78,0.69
76,Citigroup Inc.,C,0.26,68.36,-0.24,-0.36
77,Palantir Technologies Inc. Class A,PLTR,0.25,61.16,-1.82,-2.89
78,Palo Alto Networks Inc.,PANW,0.25,372.25,-15.81,-4.07
79,Fiserv Inc.,FI,0.25,218.47,3.34,1.55
80,Automatic Data Processing,ADP,0.24,299.72,2.18,0.73
81,The Charles Schwab Corporation,SCHW,0.24,80.6,0.41,0.51
82,Bristol-Myers Squibb Co.,BMY,0.24,58.29,0.06,0.1
83,Vertex Pharmaceuticals Inc,VRTX,0.23,450.67,2.66,0.59
84,T-Mobile Us Inc.,TMUS,0.23,237.17,3.97,1.7
85,Lockheed Martin Corp.,LMT,0.23,535.37,2.11,0.4
86,Starbucks Corp,SBUX,0.22,98.1,-0.25,-0.25
87,Gilead Sciences Inc,GILD,0.22,88.88,1.13,1.28
88,Medtronic Plc,MDT,0.22,84.45,-0.55,-0.65
89,Marsh & Mclennan Companies Inc.,MMC,0.22,222.06,1.33,0.6
90,Micron Technology Inc.,MU,0.22,98.32,0.59,0.6
91,Chubb Limited,CB,0.21,283.45,-0.42,-0.15
92,Prologis Inc.,PLD,0.21,115.18,0.05,0.04
93,Boeing Company,BA,0.21,146.18,0.58,0.4
94,Analog Devices Inc.,ADI,0.21,210.95,0.52,0.25
95,Intel Corp,INTC,0.21,24.0,-0.2,-0.81
96,Kkr & Co. Inc.,KKR,0.21,153.43,0.65,0.42
97,Deere & Company,DE,0.2,407.03,6.94,1.73
98,United Parcel Service Inc. Class B,UPS,0.19,132.01,-1.19,-0.9
99,Arista Networks,ANET,0.19,380.5,2.8,0.74
100,The Southern Company,SO,0.19,87.54,-0.76,-0.86
101,Altria Group Inc.,MO,0.19,55.94,0.08,0.14
102,American Tower Corporation,AMT,0.19,200.89,-0.27,-0.13
103,Ge Vernova Inc.,GEV,0.19,342.54,2.54,0.75
104,Trane Technologies Plc,TT,0.19,401.46,-11.57,-2.8
105,Elevance Health Inc.,ELV,0.18,398.37,4.17,1.06
106,Lam Research Corp,LRCX,0.18,70.06,-0.11,-0.16
107,Intercontinental Exchange Inc.,ICE,0.18,156.58,-1.35,-0.85
108,The Cigna Group,CI,0.18,323.4,0.9,0.28
109,Nike Inc.,NKE,0.18,73.34,-0.58,-0.78
110,Parker-Hannifin Corporation,PH,0.18,690.87,1.11,0.16
111,Duke Energy Corporation,DUK,0.18,113.74,0.16,0.14
112,Equinix Inc. Reit,EQIX,0.17,918.94,-4.06,-0.44
113,The Sherwin-Williams Company,SHW,0.17,371.77,-1.74,-0.46
114,Paypal Holdings Inc.,PYPL,0.17,84.78,0.69,0.81
115,Amphenol Corporation,APH,0.17,71.32,0.34,0.48
116,Mondelez International Inc. Class A,MDLZ,0.17,64.5,0.63,0.99
